Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,League,league_name,season,season_start
vs Nott'ham Forest,33,38.0,19173.0,23049.0,83.2,321940.0,107550.0,9247.0,10240.0,90.3,8016.0,9104.0,88.0,1467.0,2625.0,55.9,48.0,37.1,39.1,10.9,361.0,1597.0,365.0,73.0,1901.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Sheffield Utd,35,38.0,20553.0,24579.0,83.6,346464.0,115444.0,9841.0,10890.0,90.4,8501.0,9679.0,87.8,1669.0,2794.0,59.7,75.0,57.0,52.6,18.0,532.0,1608.0,442.0,91.0,1975.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Tottenham,29,38.0,11600.0,15111.0,76.8,215542.0,84846.0,5145.0,5896.0,87.3,4665.0,5511.0,84.6,1510.0,2763.0,54.7,39.0,42.1,33.6,-3.1,354.0,895.0,294.0,61.0,1103.0,Premier League 2023-2024,premier league,2023-2024,2023
vs West Ham,26,38.0,19795.0,23658.0,83.7,322910.0,108256.0,9922.0,10963.0,90.5,7956.0,9023.0,88.2,1393.0,2508.0,55.5,51.0,51.1,51.0,-0.1,512.0,1552.0,477.0,88.0,2015.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Wolves,27,38.0,16495.0,20265.0,81.4,276045.0,96642.0,7880.0,8824.0,89.3,6851.0,7876.0,87.0,1291.0,2449.0,52.7,43.0,48.0,47.4,-5.0,421.0,1382.0,390.0,80.0,1742.0,Premier League 2023-2024,premier league,2023-2024,2023
vs Alavés,30,38.0,16352.0,20256.0,80.7,284862.0,101637.0,7545.0,8460.0,89.2,6916.0,7981.0,86.7,1491.0,2870.0,52.0,29.0,29.8,34.6,-0.8,346.0,1223.0,282.0,76.0,1502.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Almería,35,38.0,15460.0,19368.0,79.8,269733.0,101064.0,7325.0,8212.0,89.2,6187.0,7240.0,85.5,1518.0,2848.0,53.3,56.0,45.3,45.1,10.7,467.0,1293.0,355.0,102.0,1644.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Athletic Club,27,38.0,14887.0,19081.0,78.0,268488.0,97964.0,6516.0,7486.0,87.0,6412.0,7514.0,85.3,1562.0,3003.0,52.0,27.0,32.0,29.0,-5.0,301.0,999.0,254.0,78.0,1298.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Atlético Madrid,27,38.0,16440.0,19995.0,82.2,290195.0,98965.0,7460.0,8271.0,90.2,7083.0,7986.0,88.7,1555.0,2770.0,56.1,33.0,29.7,32.7,3.3,342.0,1392.0,303.0,79.0,1544.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Barcelona,29,38.0,10455.0,13768.0,75.9,186415.0,77373.0,4978.0,5702.0,87.3,3966.0,4699.0,84.4,1202.0,2489.0,48.3,35.0,30.9,30.0,4.1,316.0,806.0,254.0,79.0,992.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Betis,35,38.0,15171.0,18933.0,80.1,260627.0,96763.0,7430.0,8311.0,89.4,6063.0,6998.0,86.6,1368.0,2619.0,52.2,23.0,32.6,32.7,-9.6,314.0,1142.0,277.0,88.0,1457.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Cádiz,34,38.0,15783.0,19905.0,79.3,271822.0,103062.0,7651.0,8676.0,88.2,6204.0,7335.0,84.6,1515.0,2819.0,53.7,37.0,40.2,38.1,-3.2,375.0,1375.0,310.0,92.0,1679.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Celta Vigo,31,38.0,16975.0,21005.0,80.8,295825.0,102419.0,7874.0,8770.0,89.8,7062.0,8158.0,86.6,1598.0,2993.0,53.4,32.0,35.9,37.3,-3.9,355.0,1256.0,297.0,95.0,1535.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Getafe,33,38.0,14502.0,18849.0,76.9,251452.0,97400.0,6843.0,7786.0,87.9,5798.0,6956.0,83.4,1413.0,2993.0,47.2,37.0,38.0,34.2,-1.0,341.0,1051.0,276.0,71.0,1325.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Girona,25,38.0,13335.0,16590.0,80.4,237377.0,89769.0,6162.0,6892.0,89.4,5439.0,6294.0,86.4,1405.0,2570.0,54.7,30.0,37.7,38.0,-7.7,374.0,1074.0,310.0,95.0,1277.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Granada,40,38.0,15485.0,19420.0,79.7,273295.0,100227.0,7146.0,7984.0,89.5,6433.0,7443.0,86.4,1530.0,2949.0,51.9,54.0,43.8,39.8,10.2,355.0,1276.0,317.0,82.0,1490.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Las Palmas,29,38.0,11893.0,15778.0,75.4,213442.0,85461.0,5555.0,6417.0,86.6,4659.0,5572.0,83.6,1355.0,2736.0,49.5,33.0,41.8,36.0,-8.8,327.0,1019.0,240.0,80.0,1207.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Mallorca,25,38.0,15384.0,19315.0,79.6,260780.0,94062.0,7559.0,8492.0,89.0,5999.0,7074.0,84.8,1408.0,2781.0,50.6,29.0,28.5,32.9,0.5,348.0,1230.0,277.0,78.0,1399.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Osasuna,29,38.0,14977.0,19141.0,78.2,259645.0,97973.0,7066.0,7947.0,88.9,6054.0,7238.0,83.6,1442.0,2865.0,50.3,44.0,38.3,36.0,5.7,315.0,1147.0,288.0,89.0,1427.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Rayo Vallecano,26,38.0,13590.0,17768.0,76.5,238089.0,96172.0,6551.0,7515.0,87.2,5230.0,6299.0,83.0,1406.0,2883.0,48.8,36.0,36.3,34.7,-0.3,354.0,1043.0,292.0,77.0,1371.0,La Liga 2023-2024,la liga,2023-2024,2023
vs Real Madrid,27,38.0,14072.0,17114.0,82.2,244643.0,88878.0,6723.0,7390.0,91.0,5703.0,6439.0,88.6,1325.0,2385.0,55.6,17.0,26.4,28.4,-9.4,299.0,995.0,259.0,92.0,1261.0,La Liga 2023-2024,la liga,2023-2024,2023
