Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,League,league_name,season,season_start
vs Udinese,32,38.0,16929.0,20763.0,81.5,301722.0,102423.0,7300.0,8169.0,89.4,7576.0,8695.0,87.1,1679.0,2873.0,58.4,35.0,33.2,33.2,1.8,359.0,1395.0,332.0,100.0,1734.0,Serie A 2023-2024,serie a,2023-2024,2023
vs Brest,25,34.0,11747.0,15176.0,77.4,210238.0,85258.0,4962.0,5928.0,83.7,5175.0,6171.0,83.9,1193.0,2207.0,54.1,24.0,27.2,28.3,-3.2,259.0,952.0,242.0,56.0,1329.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Clermont Foot,31,34.0,14270.0,17611.0,81.0,258504.0,92073.0,5888.0,6872.0,85.7,6384.0,7285.0,87.6,1545.0,2589.0,59.7,38.0,44.2,45.3,-6.2,407.0,1229.0,359.0,102.0,1577.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Le Havre,27,34.0,15710.0,19043.0,82.5,281979.0,92880.0,6432.0,7367.0,87.3,7281.0,8237.0,88.4,1523.0,2525.0,60.3,33.0,35.6,37.0,-2.6,345.0,1168.0,285.0,75.0,1527.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Lens,27,34.0,12996.0,16265.0,79.9,230907.0,81416.0,5497.0,6319.0,87.0,5757.0,6642.0,86.7,1293.0,2444.0,52.9,24.0,30.6,28.8,-6.6,285.0,858.0,220.0,54.0,1146.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Lille,28,34.0,11698.0,14728.0,79.4,220102.0,74607.0,4447.0,5189.0,85.7,5515.0,6359.0,86.7,1396.0,2445.0,57.1,22.0,25.7,26.2,-3.7,235.0,781.0,194.0,53.0,1110.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Lorient,38,34.0,15949.0,19173.0,83.2,282989.0,90649.0,6718.0,7549.0,89.0,7192.0,8084.0,89.0,1530.0,2621.0,58.4,48.0,39.2,39.5,8.8,404.0,1468.0,339.0,87.0,1647.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Lyon,35,34.0,13756.0,16844.0,81.7,238546.0,83356.0,6165.0,6985.0,88.3,5891.0,6769.0,87.0,1228.0,2275.0,54.0,38.0,37.8,34.3,0.2,343.0,1220.0,260.0,68.0,1391.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Marseille,33,34.0,12519.0,15560.0,80.5,225458.0,80616.0,5291.0,6101.0,86.7,5484.0,6330.0,86.6,1341.0,2333.0,57.5,27.0,26.5,25.4,0.5,282.0,872.0,232.0,52.0,1228.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Metz,30,34.0,18493.0,21875.0,84.5,316259.0,106330.0,8298.0,9275.0,89.5,8106.0,9107.0,89.0,1507.0,2466.0,61.1,38.0,37.0,44.0,1.0,391.0,1670.0,354.0,85.0,1944.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Monaco,30,34.0,12256.0,15731.0,77.9,219586.0,83339.0,5256.0,6125.0,85.8,5226.0,6178.0,84.6,1338.0,2506.0,53.4,26.0,30.4,29.0,-4.4,285.0,982.0,240.0,49.0,1311.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Montpellier,31,34.0,14871.0,18181.0,81.8,259126.0,95576.0,6561.0,7493.0,87.6,6376.0,7305.0,87.3,1411.0,2419.0,58.3,32.0,36.7,39.5,-4.7,411.0,1305.0,320.0,67.0,1714.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Nantes,35,34.0,15934.0,19173.0,83.1,286402.0,95949.0,6598.0,7448.0,88.6,7252.0,8238.0,88.0,1604.0,2638.0,60.8,36.0,35.9,37.3,0.1,312.0,1265.0,275.0,71.0,1613.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Nice,27,34.0,13633.0,16675.0,81.8,242182.0,80212.0,5742.0,6444.0,89.1,6207.0,6987.0,88.8,1265.0,2411.0,52.5,17.0,22.0,25.3,-5.0,264.0,1052.0,231.0,61.0,1154.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Paris S-G,29,34.0,10100.0,12950.0,78.0,180036.0,70469.0,4466.0,5177.0,86.3,4077.0,4861.0,83.9,1163.0,2154.0,54.0,23.0,28.9,27.2,-5.9,310.0,802.0,212.0,51.0,1054.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Reims,29,34.0,12888.0,16208.0,79.5,239467.0,87909.0,5112.0,5997.0,85.2,5826.0,6753.0,86.3,1530.0,2604.0,58.8,30.0,32.0,34.5,-2.0,317.0,1079.0,273.0,86.0,1410.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Rennes,29,34.0,13026.0,16224.0,80.3,232921.0,80668.0,5614.0,6457.0,86.9,5648.0,6499.0,86.9,1330.0,2430.0,54.7,22.0,29.1,30.2,-7.1,277.0,1030.0,259.0,70.0,1246.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Strasbourg,30,34.0,15611.0,18849.0,82.8,279831.0,95574.0,6387.0,7264.0,87.9,7210.0,8105.0,89.0,1511.0,2481.0,60.9,32.0,33.3,31.7,-1.3,303.0,1108.0,272.0,73.0,1536.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Toulouse,26,34.0,14170.0,17445.0,81.2,251494.0,86630.0,5878.0,6739.0,87.2,6548.0,7468.0,87.7,1302.0,2395.0,54.4,24.0,33.4,32.1,-9.4,333.0,1087.0,264.0,56.0,1343.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Ajax,35,34.0,10929.0,14185.0,77.0,198622.0,77292.0,4765.0,5473.0,87.1,4614.0,5475.0,84.3,1248.0,2406.0,51.9,44.0,39.2,36.2,4.8,327.0,871.0,260.0,74.0,1070.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Almere City,29,34.0,12341.0,17017.0,72.5,232912.0,94873.0,5103.0,6284.0,81.2,5374.0,6573.0,81.8,1563.0,3207.0,48.7,47.0,43.9,40.8,3.1,384.0,957.0,275.0,63.0,1192.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs AZ Alkmaar,33,34.0,12163.0,15506.0,78.4,230490.0,83312.0,4876.0,5608.0,86.9,5589.0,6439.0,86.8,1439.0,2673.0,53.8,22.0,27.1,29.7,-5.1,290.0,884.0,241.0,73.0,1146.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Excelsior,27,34.0,14154.0,18022.0,78.5,259356.0,94591.0,5917.0,6885.0,85.9,6292.0,7322.0,85.9,1600.0,2822.0,56.7,53.0,43.6,50.2,9.4,403.0,1367.0,390.0,92.0,1695.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Feyenoord,25,34.0,9199.0,12711.0,72.4,179493.0,72013.0,3678.0,4374.0,84.1,4122.0,4999.0,82.5,1238.0,2681.0,46.2,22.0,20.4,17.3,1.6,185.0,696.0,127.0,35.0,742.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Fortuna Sittard,32,34.0,14294.0,18040.0,79.2,259886.0,92785.0,6070.0,6948.0,87.4,6356.0,7361.0,86.3,1519.0,2803.0,54.2,35.0,30.3,36.7,4.7,309.0,1304.0,258.0,49.0,1486.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Go Ahead Eag,23,34.0,14408.0,18163.0,79.3,269741.0,95328.0,5724.0,6570.0,87.1,6761.0,7770.0,87.0,1615.0,3002.0,53.8,36.0,43.3,47.5,-7.3,455.0,1106.0,370.0,126.0,1498.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Heerenveen,26,34.0,13386.0,16789.0,79.7,248331.0,90190.0,5524.0,6316.0,87.5,5927.0,6888.0,86.0,1588.0,2725.0,58.3,43.0,38.0,38.7,5.0,325.0,1183.0,300.0,85.0,1403.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Heracles Almelo,27,34.0,13805.0,17214.0,80.2,253380.0,94236.0,5857.0,6599.0,88.8,6073.0,7026.0,86.4,1553.0,2724.0,57.0,58.0,52.7,54.7,5.3,471.0,1248.0,378.0,93.0,1584.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs NEC Nijmegen,28,34.0,13799.0,17325.0,79.6,250265.0,90131.0,6035.0,6817.0,88.5,5897.0,6877.0,85.7,1527.0,2719.0,56.2,36.0,45.2,52.0,-9.2,431.0,1242.0,380.0,90.0,1616.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs PSV Eindhoven,29,34.0,8459.0,11891.0,71.1,161223.0,70546.0,3614.0,4387.0,82.4,3513.0,4373.0,80.3,1127.0,2431.0,46.4,12.0,18.0,19.9,-6.0,194.0,583.0,161.0,39.0,767.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs RKC Waalwijk,26,34.0,14032.0,17659.0,79.5,251363.0,94533.0,6207.0,6999.0,88.7,6108.0,7132.0,85.6,1387.0,2690.0,51.6,37.0,39.5,51.3,-2.5,407.0,1208.0,381.0,92.0,1649.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Sparta R'dam,26,34.0,13829.0,17369.0,79.6,250546.0,92181.0,6035.0,6857.0,88.0,5933.0,6868.0,86.4,1509.0,2741.0,55.1,34.0,37.6,49.7,-3.6,425.0,1361.0,378.0,102.0,1679.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Twente,26,34.0,11017.0,14612.0,75.4,203503.0,79194.0,4827.0,5608.0,86.1,4624.0,5543.0,83.4,1305.0,2633.0,49.6,20.0,25.0,29.7,-5.0,258.0,882.0,206.0,58.0,1000.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Utrecht,35,34.0,13070.0,16811.0,77.7,241711.0,87761.0,5517.0,6332.0,87.1,5789.0,6789.0,85.3,1495.0,2880.0,51.9,32.0,34.6,31.9,-2.6,325.0,1024.0,257.0,70.0,1232.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Vitesse,31,34.0,12024.0,15666.0,76.8,220391.0,84809.0,4972.0,5760.0,86.3,5334.0,6320.0,84.4,1345.0,2645.0,50.9,58.0,48.9,49.6,9.1,430.0,1060.0,342.0,73.0,1368.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Volendam,37,34.0,14980.0,18576.0,80.6,275141.0,101118.0,6321.0,7152.0,88.4,6685.0,7703.0,86.8,1668.0,2834.0,58.9,71.0,60.5,60.3,10.5,518.0,1436.0,432.0,94.0,1840.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Zwolle,29,34.0,13001.0,16730.0,77.7,243672.0,91366.0,5312.0,6133.0,86.6,5756.0,6760.0,85.1,1590.0,2922.0,54.4,48.0,43.9,43.4,4.1,407.0,1138.0,333.0,91.0,1485.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Arouca,31,34.0,11439.0,14839.0,77.1,209442.0,79015.0,4989.0,5717.0,87.3,4805.0,5706.0,84.2,1362.0,2536.0,53.7,37.0,35.3,32.7,1.7,283.0,877.0,242.0,74.0,1148.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Benfica,34,34.0,11129.0,14335.0,77.6,206635.0,80780.0,4720.0,5478.0,86.2,4831.0,5661.0,85.3,1321.0,2426.0,54.5,14.0,20.6,20.0,-6.6,256.0,716.0,180.0,60.0,958.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Boavista,23,34.0,13089.0,16282.0,80.4,235418.0,88645.0,5722.0,6453.0,88.7,5739.0,6617.0,86.7,1341.0,2449.0,54.8,43.0,38.8,37.3,4.2,355.0,1068.0,273.0,74.0,1355.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Braga,25,34.0,10869.0,14224.0,76.4,198235.0,78642.0,4768.0,5546.0,86.0,4499.0,5352.0,84.1,1298.0,2486.0,52.2,33.0,34.8,27.3,-1.8,287.0,797.0,217.0,73.0,1012.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Casa Pia,32,34.0,15022.0,18311.0,82.0,273144.0,96272.0,6356.0,7093.0,89.6,6689.0,7607.0,87.9,1625.0,2702.0,60.1,40.0,36.2,35.8,3.8,367.0,1186.0,303.0,81.0,1479.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Chaves,31,34.0,13905.0,17267.0,80.5,256185.0,91969.0,5842.0,6574.0,88.9,6185.0,7131.0,86.7,1604.0,2773.0,57.8,48.0,38.4,38.9,9.6,357.0,1287.0,298.0,85.0,1454.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Estoril,31,34.0,12974.0,16262.0,79.8,237681.0,88224.0,5517.0,6203.0,88.9,5736.0,6583.0,87.1,1449.0,2672.0,54.2,41.0,39.3,37.1,1.7,365.0,999.0,286.0,81.0,1313.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Estrela,34,34.0,13268.0,16880.0,78.6,240092.0,87957.0,5657.0,6440.0,87.8,5948.0,6889.0,86.3,1354.0,2698.0,50.2,35.0,34.5,32.8,0.5,356.0,973.0,250.0,68.0,1253.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Famalicão,27,34.0,12927.0,16270.0,79.5,238994.0,86727.0,5315.0,6090.0,87.3,5881.0,6753.0,87.1,1440.0,2624.0,54.9,23.0,26.7,26.9,-3.7,289.0,986.0,243.0,72.0,1256.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Farense,25,34.0,14130.0,17887.0,79.0,253640.0,95853.0,6321.0,7190.0,87.9,6038.0,7090.0,85.2,1500.0,2733.0,54.9,32.0,39.8,39.7,-7.8,448.0,1242.0,339.0,118.0,1634.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Gil Vicente FC,31,34.0,13163.0,16617.0,79.2,245814.0,90112.0,5554.0,6342.0,87.6,5831.0,6781.0,86.0,1584.0,2822.0,56.1,31.0,31.2,33.6,-0.2,331.0,1077.0,248.0,77.0,1326.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Moreirense,29,34.0,13834.0,17410.0,79.5,254848.0,91765.0,5695.0,6439.0,88.4,6314.0,7365.0,85.7,1519.0,2757.0,55.1,27.0,24.5,25.2,2.5,287.0,1064.0,241.0,71.0,1365.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Portimonense,31,34.0,13727.0,17298.0,79.4,255975.0,98614.0,5642.0,6466.0,87.3,6227.0,7237.0,86.0,1589.0,2743.0,57.9,55.0,43.9,43.8,11.1,382.0,1258.0,334.0,104.0,1523.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Porto,32,34.0,8285.0,11357.0,73.0,157265.0,64994.0,3381.0,4016.0,84.2,3619.0,4362.0,83.0,1082.0,2285.0,47.4,16.0,19.9,17.0,-3.9,207.0,560.0,138.0,60.0,665.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Rio Ave,33,34.0,12843.0,16489.0,77.9,246676.0,84674.0,4914.0,5674.0,86.6,6056.0,6977.0,86.8,1642.0,3020.0,54.4,29.0,30.9,32.8,-1.9,334.0,974.0,244.0,74.0,1189.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Sporting CP,29,34.0,10552.0,13464.0,78.4,192418.0,75151.0,4594.0,5226.0,87.9,4535.0,5299.0,85.6,1196.0,2264.0,52.8,17.0,18.1,17.7,-1.1,189.0,699.0,137.0,36.0,843.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Vitória,27,34.0,12196.0,15850.0,76.9,222229.0,82864.0,5142.0,5953.0,86.4,5359.0,6235.0,86.0,1357.0,2728.0,49.7,26.0,28.2,26.1,-2.2,251.0,851.0,202.0,66.0,1122.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Vizela,31,34.0,12443.0,15857.0,78.5,228842.0,87322.0,5298.0,6027.0,87.9,5453.0,6386.0,85.4,1402.0,2610.0,53.7,39.0,36.4,37.7,2.6,374.0,1075.0,300.0,100.0,1337.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Birmingham City,30,46.0,19170.0,24432.0,78.5,343428.0,124924.0,8228.0,9330.0,88.2,8626.0,10046.0,85.9,1864.0,3706.0,50.3,51.0,47.0,47.1,4.0,467.0,1392.0,412.0,94.0,1948.0,Championship 2023-2024,championship,2023-2024,2023
vs Blackburn,31,46.0,18034.0,23140.0,77.9,325125.0,120248.0,7926.0,8969.0,88.4,7858.0,9254.0,84.9,1869.0,3755.0,49.8,44.0,46.0,52.2,-2.0,528.0,1441.0,386.0,74.0,1791.0,Championship 2023-2024,championship,2023-2024,2023
vs Bristol City,26,46.0,19800.0,25034.0,79.1,351997.0,124255.0,8704.0,9931.0,87.6,8852.0,10376.0,85.3,1845.0,3599.0,51.3,37.0,40.2,41.3,-3.2,413.0,1424.0,348.0,81.0,1729.0,Championship 2023-2024,championship,2023-2024,2023
vs Cardiff City,34,46.0,20689.0,25724.0,80.4,367997.0,125726.0,9049.0,10176.0,88.9,9444.0,10910.0,86.6,1827.0,3525.0,51.8,48.0,48.9,45.3,-0.9,415.0,1523.0,358.0,75.0,1889.0,Championship 2023-2024,championship,2023-2024,2023
vs Coventry City,26,46.0,18240.0,22950.0,79.5,315415.0,118343.0,8647.0,9725.0,88.9,7429.0,8708.0,85.3,1676.0,3329.0,50.3,40.0,40.8,41.3,-0.8,461.0,1420.0,328.0,86.0,1737.0,Championship 2023-2024,championship,2023-2024,2023
vs Huddersfield,33,46.0,20911.0,26298.0,79.5,360029.0,126690.0,9743.0,10962.0,88.9,8928.0,10466.0,85.3,1760.0,3565.0,49.4,60.0,47.7,51.2,12.3,501.0,1634.0,388.0,78.0,2028.0,Championship 2023-2024,championship,2023-2024,2023
vs Hull City,33,46.0,17484.0,22041.0,79.3,314452.0,112643.0,7619.0,8568.0,88.9,7778.0,8987.0,86.5,1728.0,3429.0,50.4,41.0,34.8,36.4,6.2,459.0,1249.0,367.0,89.0,1575.0,Championship 2023-2024,championship,2023-2024,2023
vs Ipswich Town,32,46.0,16617.0,21614.0,76.9,298101.0,107547.0,7301.0,8375.0,87.2,7258.0,8541.0,85.0,1686.0,3603.0,46.8,34.0,32.4,36.3,1.6,350.0,1150.0,283.0,72.0,1462.0,Championship 2023-2024,championship,2023-2024,2023
vs Leeds United,33,46.0,14656.0,19078.0,76.8,265882.0,99843.0,6405.0,7294.0,87.8,6358.0,7539.0,84.3,1547.0,3238.0,47.8,31.0,29.2,31.5,1.8,328.0,1079.0,218.0,58.0,1259.0,Championship 2023-2024,championship,2023-2024,2023
vs Leicester City,27,46.0,14737.0,18965.0,77.7,263308.0,96908.0,6531.0,7406.0,88.2,6441.0,7517.0,85.7,1445.0,3053.0,47.3,23.0,30.3,31.7,-7.3,348.0,966.0,266.0,62.0,1229.0,Championship 2023-2024,championship,2023-2024,2023
vs Middlesbrough,35,46.0,18953.0,23517.0,80.6,338611.0,117108.0,8288.0,9248.0,89.6,8498.0,9757.0,87.1,1797.0,3478.0,51.7,39.0,40.7,39.7,-1.7,405.0,1348.0,323.0,80.0,1619.0,Championship 2023-2024,championship,2023-2024,2023
vs Millwall,27,46.0,20453.0,25692.0,79.6,360412.0,123910.0,8936.0,10151.0,88.0,9162.0,10609.0,86.4,1845.0,3644.0,50.6,37.0,38.3,42.3,-1.3,407.0,1521.0,337.0,70.0,1896.0,Championship 2023-2024,championship,2023-2024,2023
vs Norwich City,31,46.0,19381.0,23966.0,80.9,353358.0,120131.0,8187.0,9214.0,88.9,8767.0,10052.0,87.2,2019.0,3645.0,55.4,40.0,47.0,47.7,-7.0,490.0,1501.0,404.0,121.0,1876.0,Championship 2023-2024,championship,2023-2024,2023
vs Plymouth Argyle,31,46.0,19233.0,24457.0,78.6,342166.0,125840.0,8599.0,9728.0,88.4,8370.0,9870.0,84.8,1838.0,3642.0,50.5,49.0,55.8,59.5,-6.8,540.0,1561.0,442.0,111.0,1912.0,Championship 2023-2024,championship,2023-2024,2023
vs Preston,28,46.0,18554.0,24196.0,76.7,315103.0,115855.0,8810.0,10181.0,86.5,7599.0,9237.0,82.3,1621.0,3426.0,47.3,45.0,41.2,43.6,3.8,447.0,1440.0,350.0,81.0,1800.0,Championship 2023-2024,championship,2023-2024,2023
vs QPR,30,46.0,19298.0,24246.0,79.6,341680.0,123716.0,8625.0,9741.0,88.5,8319.0,9691.0,85.8,1870.0,3583.0,52.2,44.0,40.5,45.8,3.5,423.0,1559.0,372.0,88.0,1945.0,Championship 2023-2024,championship,2023-2024,2023
vs Rotherham Utd,35,46.0,21866.0,27137.0,80.6,390565.0,137909.0,9831.0,11103.0,88.5,9599.0,11175.0,85.9,2102.0,3721.0,56.5,52.0,56.0,56.9,-4.0,528.0,1745.0,456.0,115.0,2207.0,Championship 2023-2024,championship,2023-2024,2023
vs Sheffield Weds,33,46.0,20142.0,25288.0,79.7,353664.0,123692.0,9298.0,10455.0,88.9,8500.0,9990.0,85.1,1942.0,3715.0,52.3,46.0,40.9,42.8,5.1,446.0,1514.0,361.0,91.0,1772.0,Championship 2023-2024,championship,2023-2024,2023
vs Southampton,28,46.0,13237.0,17178.0,77.1,242819.0,96224.0,5758.0,6649.0,86.6,5641.0,6665.0,84.6,1519.0,2930.0,51.8,42.0,36.0,31.3,6.0,379.0,957.0,273.0,88.0,1194.0,Championship 2023-2024,championship,2023-2024,2023
vs Stoke City,35,46.0,16504.0,21801.0,75.7,287880.0,112503.0,7629.0,8793.0,86.8,6874.0,8373.0,82.1,1560.0,3445.0,45.3,37.0,42.4,38.8,-5.4,394.0,1169.0,313.0,86.0,1527.0,Championship 2023-2024,championship,2023-2024,2023
vs Sunderland,32,46.0,15980.0,20507.0,77.9,286930.0,105573.0,6994.0,7970.0,87.8,7012.0,8166.0,85.9,1591.0,3296.0,48.3,35.0,33.4,33.8,1.6,350.0,1142.0,252.0,62.0,1404.0,Championship 2023-2024,championship,2023-2024,2023
vs Swansea City,30,46.0,16199.0,21103.0,76.8,287954.0,111261.0,7347.0,8392.0,87.5,6815.0,8227.0,82.8,1621.0,3314.0,48.9,47.0,52.6,49.2,-5.6,491.0,1180.0,357.0,80.0,1579.0,Championship 2023-2024,championship,2023-2024,2023
vs Watford,27,46.0,17036.0,21771.0,78.3,310739.0,115163.0,7105.0,8111.0,87.6,7789.0,9074.0,85.8,1753.0,3511.0,49.9,36.0,36.6,38.7,-0.6,425.0,1286.0,285.0,78.0,1538.0,Championship 2023-2024,championship,2023-2024,2023
vs West Brom,28,46.0,17207.0,21918.0,78.5,309940.0,101596.0,7460.0,8370.0,89.1,7720.0,8939.0,86.4,1693.0,3605.0,47.0,30.0,33.7,34.6,-3.7,360.0,1225.0,294.0,70.0,1498.0,Championship 2023-2024,championship,2023-2024,2023
vs Augsburg,34,34.0,13841.0,18024.0,76.8,252155.0,99254.0,5992.0,6995.0,85.7,5949.0,7081.0,84.0,1561.0,2925.0,53.4,46.0,45.7,49.0,0.3,400.0,1117.0,325.0,88.0,1458.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Bayern Munich,28,34.0,9411.0,12829.0,73.4,177710.0,76294.0,4054.0,4829.0,84.0,3857.0,4768.0,80.9,1260.0,2389.0,52.7,22.0,21.9,23.3,0.1,216.0,677.0,180.0,46.0,879.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Bochum,26,34.0,11742.0,16038.0,73.2,219649.0,90652.0,5106.0,6094.0,83.8,4821.0,6031.0,79.9,1535.0,3027.0,50.7,40.0,39.4,41.8,0.6,371.0,908.0,325.0,73.0,1247.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Dortmund,30,34.0,11021.0,14394.0,76.6,200711.0,80724.0,4703.0,5513.0,85.3,4799.0,5688.0,84.4,1243.0,2321.0,53.6,31.0,33.3,32.9,-2.3,316.0,868.0,227.0,65.0,1064.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Eint Frankfurt,28,34.0,12292.0,16233.0,75.7,230503.0,86018.0,4872.0,5794.0,84.1,5737.0,6783.0,84.6,1412.0,2745.0,51.4,41.0,33.6,37.2,7.4,256.0,857.0,222.0,56.0,1129.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Freiburg,27,34.0,13030.0,16835.0,77.4,235183.0,89097.0,5520.0,6460.0,85.4,5929.0,6997.0,84.7,1275.0,2512.0,50.8,28.0,35.2,37.9,-7.2,340.0,972.0,296.0,68.0,1220.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Gladbach,27,34.0,12596.0,16130.0,78.1,227403.0,84295.0,5369.0,6189.0,86.8,5568.0,6500.0,85.7,1323.0,2494.0,53.0,37.0,35.1,39.4,1.9,340.0,984.0,282.0,75.0,1349.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Hertha BSC,32,34.0,13867.0,18039.0,76.9,250228.0,93013.0,5895.0,6904.0,85.4,6118.0,7220.0,84.7,1473.0,2855.0,51.6,51.0,46.3,43.4,4.7,366.0,1058.0,307.0,78.0,1328.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Hoffenheim,31,34.0,12906.0,16768.0,77.0,235808.0,93447.0,5651.0,6568.0,86.0,5435.0,6494.0,83.7,1515.0,2776.0,54.6,45.0,41.8,43.1,3.2,371.0,945.0,325.0,98.0,1338.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Köln,27,34.0,12817.0,16789.0,76.3,242447.0,92419.0,5059.0,5978.0,84.6,5825.0,6921.0,84.2,1630.0,2902.0,56.2,37.0,31.4,34.1,5.6,269.0,885.0,225.0,71.0,1157.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Leverkusen,27,34.0,13329.0,16950.0,78.6,242909.0,88868.0,5702.0,6537.0,87.2,5954.0,6929.0,85.9,1388.0,2613.0,53.1,29.0,28.8,35.3,0.2,280.0,973.0,246.0,60.0,1254.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Mainz 05,27,34.0,13921.0,18210.0,76.4,261007.0,96394.0,5658.0,6728.0,84.1,6359.0,7558.0,84.1,1650.0,3051.0,54.1,42.0,39.0,38.1,3.0,331.0,1135.0,254.0,76.0,1279.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs RB Leipzig,25,34.0,11163.0,14800.0,75.4,208081.0,81496.0,4585.0,5447.0,84.2,4874.0,5804.0,84.0,1395.0,2609.0,53.5,23.0,23.5,26.1,-0.5,220.0,763.0,217.0,60.0,1009.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Schalke 04,35,34.0,12030.0,16016.0,75.1,223346.0,88735.0,5050.0,6046.0,83.5,5243.0,6326.0,82.9,1432.0,2742.0,52.2,50.0,40.7,43.7,9.3,376.0,947.0,311.0,78.0,1240.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Stuttgart,30,34.0,13193.0,16923.0,78.0,237955.0,87003.0,5549.0,6350.0,87.4,5894.0,6951.0,84.8,1340.0,2609.0,51.4,39.0,32.1,35.3,6.9,285.0,980.0,266.0,66.0,1226.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Union Berlin,28,34.0,14887.0,18818.0,79.1,270421.0,94604.0,6145.0,7072.0,86.9,6786.0,7869.0,86.2,1576.0,2908.0,54.2,26.0,30.5,36.0,-4.5,276.0,1053.0,237.0,65.0,1334.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
