Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League,league_name,season,season_start
Monaco,2,34.0,42,5.0,1.0,6.0,2.0,46.7,0.28,6.7,0.2,121.0,370.0,32.7,813.0,159.0,32.3,32.0,229.0,46.7,37.9,442.0,35.0,7.9,26.0,0.76,11.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Montpellier,2,34.0,48,4.0,2.0,4.0,3.0,47.7,0.25,2.7,0.08,168.0,497.0,33.8,851.0,163.0,45.9,38.0,292.0,36.3,33.2,527.0,32.0,6.1,13.0,0.38,9.6,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Nantes,3,34.0,55,9.0,0.0,3.0,0.0,55.2,0.32,0.2,0.01,175.0,515.0,34.0,965.0,175.0,37.0,40.3,259.0,61.0,45.6,505.0,41.0,8.1,33.0,0.97,7.8,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Nice,1,34.0,29,5.0,0.0,1.0,1.0,30.7,0.22,2.7,0.08,74.0,189.0,39.2,1025.0,158.0,15.2,23.9,208.0,15.9,22.3,376.0,32.0,8.5,21.0,0.62,12.2,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Paris S-G,3,34.0,33,4.0,0.0,4.0,0.0,41.0,0.25,8.0,0.24,54.0,149.0,36.2,879.0,144.0,13.8,29.6,202.0,13.9,22.6,402.0,17.0,4.2,33.0,0.97,14.8,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Reims,1,34.0,47,6.0,1.0,4.0,1.0,42.7,0.27,-3.3,-0.1,124.0,353.0,35.1,1050.0,179.0,27.0,30.1,242.0,28.5,28.2,522.0,38.0,7.3,46.0,1.35,14.2,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Rennes,1,34.0,46,3.0,0.0,5.0,3.0,38.2,0.25,-4.8,-0.14,134.0,416.0,32.2,1001.0,149.0,30.4,31.5,208.0,53.8,40.5,451.0,36.0,8.0,37.0,1.09,15.1,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Strasbourg,2,34.0,50,4.0,0.0,3.0,3.0,37.9,0.27,-9.1,-0.27,144.0,409.0,35.2,860.0,125.0,40.6,34.5,259.0,23.2,26.6,460.0,25.0,5.4,40.0,1.18,13.9,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Toulouse,1,34.0,46,4.0,2.0,6.0,0.0,45.3,0.3,-0.7,-0.02,92.0,285.0,32.3,643.0,93.0,29.9,29.3,252.0,36.9,32.3,490.0,7.0,1.4,16.0,0.47,10.7,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Ajax,3,34.0,61,2.0,0.0,2.0,1.0,57.6,0.36,-2.4,-0.07,205.0,513.0,40.0,1413.0,191.0,31.9,29.9,239.0,25.9,29.2,420.0,34.0,8.1,50.0,1.47,15.8,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Almere City,2,34.0,59,3.0,0.0,9.0,1.0,62.4,0.32,4.4,0.13,308.0,1001.0,30.8,994.0,91.0,75.2,50.0,277.0,91.7,65.2,466.0,31.0,6.7,45.0,1.32,12.8,Eredivisie 2023-2024,eredivisie,2023-2024,2023
AZ Alkmaar,3,34.0,39,4.0,1.0,3.0,1.0,40.8,0.29,2.8,0.08,203.0,437.0,46.5,1089.0,188.0,32.5,31.6,211.0,39.3,34.2,400.0,30.0,7.5,47.0,1.38,17.5,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Excelsior,1,34.0,73,2.0,0.0,18.0,1.0,60.6,0.3,-11.4,-0.33,332.0,944.0,35.2,1283.0,186.0,55.6,43.5,294.0,78.6,56.1,545.0,42.0,7.7,20.0,0.59,10.8,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Feyenoord,2,34.0,26,1.0,0.0,4.0,0.0,26.4,0.31,0.4,0.01,128.0,331.0,38.7,1255.0,149.0,22.9,29.3,159.0,27.0,28.5,312.0,39.0,12.5,91.0,2.68,19.2,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Fortuna Sittard,4,34.0,56,2.0,1.0,8.0,2.0,49.4,0.32,-4.6,-0.13,194.0,615.0,31.5,815.0,107.0,52.1,45.4,263.0,72.2,52.4,462.0,44.0,9.5,32.0,0.94,21.3,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Go Ahead Eag,1,34.0,46,2.0,0.0,4.0,1.0,46.2,0.25,1.2,0.04,219.0,651.0,33.6,1088.0,127.0,50.1,37.3,346.0,30.6,29.2,670.0,17.0,2.5,32.0,0.94,15.3,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Heerenveen,2,34.0,70,4.0,0.0,7.0,2.0,60.4,0.36,-7.6,-0.22,175.0,458.0,38.2,857.0,157.0,37.9,34.8,279.0,47.7,39.1,506.0,27.0,5.3,20.0,0.59,10.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Heracles Almelo,1,34.0,74,5.0,2.0,11.0,1.0,69.0,0.29,-4.0,-0.12,207.0,688.0,30.1,1007.0,160.0,50.8,40.0,338.0,52.1,43.9,580.0,30.0,5.2,18.0,0.53,10.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
NEC Nijmegen,2,34.0,51,5.0,1.0,4.0,0.0,51.7,0.29,0.7,0.02,206.0,579.0,35.6,886.0,162.0,46.2,37.0,349.0,48.7,40.1,623.0,38.0,6.1,26.0,0.76,12.4,Eredivisie 2023-2024,eredivisie,2023-2024,2023
PSV Eindhoven,3,34.0,21,3.0,0.0,0.0,2.0,25.0,0.29,6.0,0.18,127.0,256.0,49.6,882.0,107.0,23.4,20.7,187.0,26.7,30.0,310.0,23.0,7.4,48.0,1.41,,Eredivisie 2023-2024,eredivisie,2023-2024,2023
RKC Waalwijk,3,34.0,56,5.0,1.0,5.0,2.0,59.6,0.28,5.6,0.16,252.0,713.0,35.3,1228.0,171.0,43.5,38.6,306.0,58.5,47.9,583.0,41.0,7.0,43.0,1.27,15.5,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Sparta R'dam,1,34.0,48,3.0,1.0,4.0,1.0,49.1,0.29,2.1,0.06,307.0,731.0,42.0,1137.0,123.0,48.1,37.0,341.0,54.0,42.7,629.0,37.0,5.9,38.0,1.12,14.4,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Twente,2,34.0,36,5.0,1.0,4.0,2.0,42.0,0.28,8.0,0.24,134.0,450.0,29.8,943.0,165.0,38.5,34.2,236.0,36.9,33.3,373.0,21.0,5.6,55.0,1.62,18.6,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Utrecht,2,34.0,47,5.0,0.0,5.0,1.0,48.7,0.27,2.7,0.08,180.0,489.0,36.8,888.0,157.0,39.1,34.7,280.0,50.7,40.3,464.0,44.0,9.5,33.0,0.97,14.7,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Vitesse,1,34.0,74,5.0,0.0,11.0,1.0,70.4,0.29,-2.6,-0.08,235.0,698.0,33.7,1106.0,153.0,46.3,36.6,293.0,63.5,46.9,450.0,18.0,4.0,25.0,0.74,13.2,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Volendam,3,34.0,88,1.0,3.0,10.0,0.0,84.2,0.31,-3.8,-0.11,250.0,753.0,33.2,1162.0,178.0,44.1,40.6,325.0,73.8,53.7,556.0,45.0,8.1,43.0,1.26,10.6,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Zwolle,2,34.0,67,8.0,0.0,9.0,4.0,64.0,0.28,1.0,0.03,256.0,666.0,38.4,1132.0,198.0,46.6,32.5,322.0,43.2,38.9,585.0,38.0,6.5,36.0,1.06,15.6,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Arouca,3,34.0,50,7.0,1.0,6.0,1.0,51.4,0.3,2.4,0.07,123.0,396.0,31.1,1063.0,214.0,28.0,31.4,250.0,39.2,36.1,482.0,40.0,8.3,69.0,2.03,15.3,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Benfica,3,34.0,28,4.0,1.0,4.0,0.0,35.5,0.26,7.5,0.22,65.0,173.0,37.6,638.0,136.0,17.6,29.2,238.0,25.6,29.2,362.0,18.0,5.0,21.0,0.62,14.5,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Boavista,1,34.0,62,4.0,2.0,5.0,1.0,58.3,0.33,-2.7,-0.08,138.0,424.0,32.5,614.0,148.0,40.6,36.1,318.0,55.0,43.3,517.0,21.0,4.1,24.0,0.71,12.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Braga,1,34.0,50,6.0,1.0,4.0,2.0,46.4,0.32,-1.6,-0.05,151.0,386.0,39.1,971.0,151.0,29.0,31.2,265.0,39.2,35.4,419.0,24.0,5.7,72.0,2.12,18.5,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Casa Pia,2,34.0,50,1.0,1.0,7.0,0.0,47.6,0.3,-2.4,-0.07,155.0,485.0,32.0,830.0,132.0,34.8,34.2,326.0,60.1,45.8,562.0,35.0,6.2,22.0,0.65,11.8,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Chaves,3,34.0,72,6.0,1.0,7.0,0.0,65.3,0.32,-6.7,-0.2,224.0,574.0,39.0,713.0,170.0,45.4,37.9,329.0,76.0,54.5,580.0,35.0,6.0,15.0,0.44,10.8,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Estoril,2,34.0,58,2.0,0.0,11.0,3.0,52.8,0.3,-2.2,-0.07,95.0,336.0,28.3,708.0,182.0,29.5,29.6,329.0,38.6,37.5,482.0,15.0,3.1,38.0,1.12,20.3,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Estrela,4,34.0,53,2.0,0.0,9.0,1.0,51.1,0.34,-0.9,-0.03,126.0,361.0,34.9,848.0,175.0,24.2,33.0,285.0,54.7,45.7,473.0,37.0,7.8,48.0,1.41,16.3,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Famalicão,2,34.0,41,3.0,1.0,4.0,2.0,49.2,0.3,10.2,0.3,177.0,428.0,41.4,891.0,212.0,32.7,27.4,266.0,51.5,42.6,477.0,48.0,10.1,49.0,1.44,3.5,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Farense,2,34.0,51,6.0,0.0,8.0,1.0,62.6,0.3,12.6,0.37,198.0,646.0,30.7,719.0,142.0,53.1,34.0,385.0,68.6,51.7,734.0,43.0,5.9,18.0,0.53,10.2,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Gil Vicente FC,2,34.0,52,5.0,2.0,9.0,2.0,47.7,0.27,-2.3,-0.07,126.0,408.0,30.9,852.0,159.0,29.6,32.7,326.0,47.9,40.8,505.0,28.0,5.5,39.0,1.15,6.8,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Moreirense,3,34.0,35,1.0,0.0,7.0,1.0,35.2,0.27,1.2,0.04,208.0,519.0,40.1,964.0,146.0,38.9,37.8,291.0,49.5,41.4,548.0,36.0,6.6,18.0,0.53,9.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Portimonense,2,34.0,72,5.0,0.0,7.0,5.0,66.9,0.37,-0.1,0.0,186.0,496.0,37.5,696.0,137.0,44.0,38.3,331.0,57.4,43.7,613.0,33.0,5.4,25.0,0.74,9.8,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Porto,2,34.0,27,4.0,2.0,1.0,2.0,26.1,0.26,1.1,0.03,125.0,295.0,42.4,1060.0,132.0,22.5,30.2,213.0,26.8,31.8,374.0,26.0,7.0,57.0,1.68,17.7,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Rio Ave,3,34.0,43,2.0,0.0,6.0,1.0,47.0,0.29,5.0,0.15,125.0,368.0,34.0,928.0,183.0,25.9,29.8,286.0,44.8,40.8,526.0,37.0,7.0,32.0,0.94,16.1,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Sporting CP,4,34.0,29,4.0,3.0,4.0,0.0,24.4,0.28,-4.6,-0.13,92.0,226.0,40.7,675.0,122.0,24.7,,205.0,28.8,29.3,320.0,24.0,7.5,18.0,0.53,,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Vitória,2,34.0,38,5.0,0.0,3.0,1.0,45.5,0.32,8.5,0.25,188.0,438.0,42.9,727.0,113.0,39.8,36.1,258.0,57.8,42.9,469.0,27.0,5.8,39.0,1.15,14.7,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Vizela,2,34.0,66,5.0,2.0,5.0,2.0,54.1,0.32,-9.9,-0.29,163.0,435.0,37.5,807.0,122.0,32.8,33.3,327.0,52.0,40.0,582.0,25.0,4.3,46.0,1.35,16.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Birmingham City,2,46.0,65,0.0,1.0,8.0,2.0,59.7,0.28,-3.3,-0.07,304.0,867.0,35.1,1305.0,273.0,46.3,34.9,394.0,66.8,48.9,700.0,82.0,11.7,47.0,1.02,9.9,Championship 2023-2024,championship,2023-2024,2023
Blackburn,2,46.0,74,4.0,1.0,11.0,3.0,66.2,0.28,-4.8,-0.1,133.0,518.0,25.7,1388.0,261.0,25.0,24.5,406.0,42.1,36.2,612.0,38.0,6.2,80.0,1.74,14.4,Championship 2023-2024,championship,2023-2024,2023
Bristol City,1,46.0,51,4.0,0.0,7.0,2.0,48.8,0.24,-0.2,0.0,231.0,802.0,28.8,1405.0,262.0,48.5,36.4,337.0,35.9,32.5,584.0,37.0,6.3,73.0,1.59,16.6,Championship 2023-2024,championship,2023-2024,2023
Cardiff City,3,46.0,70,2.0,2.0,6.0,1.0,64.4,0.33,-4.6,-0.1,269.0,807.0,33.3,1256.0,181.0,45.8,40.6,377.0,61.5,48.2,624.0,24.0,3.8,29.0,0.63,13.5,Championship 2023-2024,championship,2023-2024,2023
Coventry City,2,46.0,59,3.0,1.0,7.0,4.0,52.1,0.26,-2.9,-0.06,165.0,476.0,34.7,1239.0,250.0,26.6,29.8,387.0,37.7,35.3,638.0,31.0,4.9,47.0,1.02,12.5,Championship 2023-2024,championship,2023-2024,2023
Huddersfield,3,46.0,77,3.0,2.0,9.0,2.0,72.7,0.34,-2.3,-0.05,265.0,841.0,31.5,1168.0,238.0,51.7,34.8,392.0,60.5,45.2,679.0,29.0,4.3,43.0,0.93,10.8,Championship 2023-2024,championship,2023-2024,2023
Hull City,2,46.0,60,3.0,1.0,8.0,0.0,44.7,0.24,-15.3,-0.33,134.0,584.0,22.9,2032.0,136.0,24.6,26.9,365.0,23.3,23.5,636.0,43.0,6.8,47.0,1.02,11.2,Championship 2023-2024,championship,2023-2024,2023
Ipswich Town,2,46.0,57,2.0,1.0,3.0,6.0,52.2,0.31,1.2,0.03,155.0,365.0,42.5,1515.0,174.0,20.7,36.0,321.0,16.2,20.0,599.0,33.0,5.5,105.0,2.28,,Championship 2023-2024,championship,2023-2024,2023
Leeds United,3,46.0,43,1.0,0.0,8.0,2.0,36.8,0.29,-4.2,-0.09,106.0,418.0,25.4,1715.0,202.0,20.1,29.1,267.0,27.3,30.0,518.0,24.0,4.6,50.0,1.09,12.8,Championship 2023-2024,championship,2023-2024,2023
Leicester City,2,46.0,41,0.0,1.0,8.0,1.0,46.2,0.3,6.2,0.14,128.0,419.0,30.5,1988.0,222.0,19.1,24.9,271.0,14.4,20.2,492.0,31.0,6.3,77.0,1.67,10.0,Championship 2023-2024,championship,2023-2024,2023
Middlesbrough,2,46.0,62,3.0,1.0,9.0,2.0,57.4,0.31,-2.6,-0.06,141.0,492.0,28.7,1533.0,218.0,25.4,27.9,347.0,29.7,27.8,645.0,38.0,5.9,75.0,1.63,18.0,Championship 2023-2024,championship,2023-2024,2023
Millwall,2,46.0,55,6.0,0.0,5.0,1.0,57.4,0.31,3.4,0.07,263.0,816.0,32.2,932.0,144.0,57.1,41.8,349.0,81.4,55.9,644.0,43.0,6.7,55.0,1.2,16.4,Championship 2023-2024,championship,2023-2024,2023
Norwich City,2,46.0,64,5.0,0.0,8.0,2.0,63.7,0.31,1.7,0.04,151.0,473.0,31.9,1325.0,184.0,28.2,32.4,376.0,26.3,26.8,684.0,40.0,5.8,56.0,1.22,9.8,Championship 2023-2024,championship,2023-2024,2023
Plymouth Argyle,2,46.0,70,2.0,1.0,9.0,4.0,69.1,0.32,3.1,0.07,193.0,790.0,24.4,1452.0,294.0,41.3,37.0,444.0,42.8,37.5,776.0,55.0,7.1,26.0,0.57,12.0,Championship 2023-2024,championship,2023-2024,2023
Preston,2,46.0,67,4.0,0.0,5.0,2.0,66.0,0.32,1.0,0.02,301.0,1029.0,29.3,1109.0,171.0,60.6,46.8,397.0,89.9,62.1,662.0,30.0,4.5,58.0,1.26,17.4,Championship 2023-2024,championship,2023-2024,2023
QPR,2,46.0,58,1.0,0.0,9.0,1.0,50.2,0.27,-6.8,-0.15,204.0,620.0,32.9,1092.0,247.0,41.2,33.5,421.0,40.4,35.7,652.0,51.0,7.8,24.0,0.52,6.0,Championship 2023-2024,championship,2023-2024,2023
Rotherham Utd,2,46.0,89,5.0,3.0,9.0,1.0,89.5,0.32,1.5,0.03,581.0,1469.0,39.6,1383.0,109.0,80.2,45.7,416.0,86.5,59.6,801.0,61.0,7.6,74.0,1.61,14.5,Championship 2023-2024,championship,2023-2024,2023
Sheffield Weds,3,46.0,68,5.0,1.0,10.0,3.0,58.7,0.31,-6.3,-0.14,277.0,811.0,34.2,1425.0,195.0,42.7,33.3,406.0,50.0,40.4,636.0,39.0,6.1,59.0,1.28,16.4,Championship 2023-2024,championship,2023-2024,2023
Southampton,2,46.0,63,2.0,0.0,5.0,0.0,50.2,0.29,-12.8,-0.28,173.0,396.0,43.7,1828.0,261.0,20.0,25.6,286.0,10.5,18.8,536.0,18.0,3.4,62.0,1.35,9.3,Championship 2023-2024,championship,2023-2024,2023
Stoke City,4,46.0,60,5.0,2.0,8.0,1.0,57.7,0.3,-1.3,-0.03,244.0,824.0,29.6,1329.0,222.0,44.6,43.6,355.0,65.1,50.5,653.0,48.0,7.4,48.0,1.04,17.0,Championship 2023-2024,championship,2023-2024,2023
Sunderland,2,46.0,54,2.0,0.0,6.0,2.0,54.7,0.32,2.7,0.06,143.0,407.0,35.1,1244.0,252.0,25.1,31.7,291.0,32.6,31.4,514.0,35.0,6.8,35.0,0.76,10.0,Championship 2023-2024,championship,2023-2024,2023
Swansea City,1,46.0,65,5.0,0.0,6.0,2.0,68.5,0.31,5.5,0.12,222.0,779.0,28.5,1866.0,259.0,32.3,31.3,357.0,49.3,39.9,595.0,35.0,5.9,64.0,1.39,16.3,Championship 2023-2024,championship,2023-2024,2023
Watford,2,46.0,61,3.0,3.0,8.0,3.0,62.8,0.29,4.8,0.11,123.0,466.0,26.4,1540.0,228.0,25.8,30.4,314.0,21.7,26.1,580.0,28.0,4.8,77.0,1.67,17.1,Championship 2023-2024,championship,2023-2024,2023
West Brom,1,46.0,47,3.0,1.0,11.0,0.0,46.9,0.28,-0.1,0.0,138.0,492.0,28.0,1362.0,198.0,28.4,30.1,299.0,35.1,32.1,589.0,32.0,5.4,57.0,1.24,14.7,Championship 2023-2024,championship,2023-2024,2023
Augsburg,2,34.0,63,1.0,2.0,4.0,2.0,63.4,0.31,2.4,0.07,262.0,677.0,38.7,1327.0,175.0,34.8,36.5,333.0,64.6,49.7,539.0,31.0,5.8,67.0,1.97,16.8,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Bayern Munich,3,34.0,38,9.0,1.0,2.0,0.0,40.8,0.3,2.8,0.08,96.0,223.0,43.0,1190.0,185.0,16.0,26.0,193.0,17.1,25.7,349.0,18.0,5.2,54.0,1.59,17.5,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Bochum,1,34.0,72,8.0,2.0,9.0,3.0,69.0,0.3,0.0,0.0,554.0,1175.0,47.1,1467.0,83.0,67.8,44.7,283.0,63.6,47.5,536.0,31.0,5.8,121.0,3.56,22.2,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Dortmund,2,34.0,44,1.0,0.0,7.0,1.0,41.7,0.28,-1.3,-0.04,124.0,312.0,39.7,1132.0,157.0,19.8,28.9,237.0,37.1,36.1,386.0,23.0,6.0,55.0,1.62,17.1,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Eint Frankfurt,2,34.0,52,2.0,1.0,8.0,1.0,43.3,0.31,-7.7,-0.23,81.0,329.0,24.6,680.0,135.0,38.5,29.1,228.0,29.4,33.7,416.0,18.0,4.3,25.0,0.74,11.5,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Freiburg,1,34.0,44,5.0,0.0,4.0,0.0,46.4,0.28,2.4,0.07,271.0,665.0,40.8,1195.0,121.0,41.4,37.6,267.0,63.7,52.6,434.0,32.0,7.4,43.0,1.26,15.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Gladbach,4,34.0,55,6.0,1.0,4.0,1.0,57.7,0.3,3.7,0.11,141.0,461.0,30.6,1470.0,174.0,24.9,32.7,294.0,32.3,32.8,529.0,28.0,5.3,41.0,1.21,13.1,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Hertha BSC,2,34.0,69,5.0,4.0,8.0,0.0,60.4,0.33,-8.6,-0.25,209.0,599.0,34.9,999.0,172.0,42.1,31.2,248.0,71.8,53.7,504.0,33.0,6.5,70.0,2.06,3.5,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Hoffenheim,1,34.0,57,2.0,1.0,11.0,1.0,50.4,0.31,-5.6,-0.16,206.0,525.0,39.2,1131.0,168.0,36.3,33.6,282.0,40.8,36.0,529.0,43.0,8.1,43.0,1.26,13.4,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Köln,1,34.0,54,4.0,4.0,4.0,3.0,42.3,0.3,-8.7,-0.26,154.0,404.0,38.1,1144.0,117.0,30.2,31.3,244.0,24.2,28.4,468.0,19.0,4.1,22.0,0.65,13.4,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Leverkusen,2,34.0,49,7.0,1.0,5.0,2.0,42.7,0.25,-4.3,-0.13,121.0,384.0,31.5,887.0,155.0,32.8,30.3,259.0,35.9,32.5,410.0,28.0,6.8,27.0,0.79,13.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Mainz 05,2,34.0,55,4.0,1.0,5.0,0.0,48.9,0.28,-6.1,-0.18,208.0,613.0,33.9,896.0,184.0,48.3,36.6,250.0,72.0,53.9,479.0,60.0,12.5,61.0,1.79,13.8,Bundesliga 2022-2023,bundesliga,2022-2023,2022
RB Leipzig,3,34.0,41,7.0,0.0,5.0,2.0,38.8,0.3,-0.2,-0.01,81.0,259.0,31.3,1244.0,172.0,16.2,33.6,210.0,27.1,30.2,377.0,23.0,6.1,49.0,1.44,12.5,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Schalke 04,2,34.0,71,5.0,1.0,7.0,1.0,58.2,0.28,-11.8,-0.35,279.0,658.0,42.4,1022.0,129.0,46.4,36.8,269.0,68.4,51.5,483.0,18.0,3.7,32.0,0.94,11.6,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Stuttgart,2,34.0,57,6.0,2.0,6.0,1.0,47.3,0.29,-8.7,-0.26,153.0,341.0,44.9,1099.0,184.0,23.9,29.2,227.0,34.4,35.1,463.0,18.0,3.9,43.0,1.26,18.9,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Union Berlin,2,34.0,38,7.0,0.0,6.0,0.0,44.2,0.26,6.2,0.18,288.0,713.0,40.4,1274.0,137.0,46.5,37.1,218.0,55.5,43.1,481.0,51.0,10.6,36.0,1.06,15.1,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Werder Bremen,2,34.0,64,2.0,0.0,6.0,2.0,55.1,0.29,-6.9,-0.2,214.0,530.0,40.4,942.0,165.0,40.7,41.6,291.0,50.5,43.2,496.0,25.0,5.0,42.0,1.24,16.5,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Wolfsburg,1,34.0,48,4.0,0.0,5.0,3.0,43.9,0.27,-1.1,-0.03,257.0,588.0,43.7,1291.0,183.0,34.2,33.7,293.0,50.2,43.1,489.0,29.0,5.9,51.0,1.5,16.5,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Arsenal,1,38.0,43,3.0,0.0,6.0,1.0,40.0,0.28,-2.0,-0.05,109.0,429.0,25.4,924.0,174.0,36.6,33.3,185.0,49.2,42.8,381.0,22.0,5.8,43.0,1.13,16.1,Premier League 2022-2023,premier league,2022-2023,2022
Aston Villa,2,38.0,46,5.0,1.0,9.0,4.0,42.8,0.25,0.8,0.02,214.0,585.0,36.6,1247.0,153.0,37.0,37.6,265.0,46.8,38.3,528.0,65.0,12.3,76.0,2.0,14.2,Premier League 2022-2023,premier league,2022-2023,2022
Bournemouth,2,38.0,71,6.0,0.0,16.0,3.0,63.6,0.29,-4.4,-0.11,231.0,591.0,39.1,847.0,190.0,44.0,31.9,353.0,61.8,44.1,739.0,40.0,5.4,30.0,0.79,10.5,Premier League 2022-2023,premier league,2022-2023,2022
Brentford,1,38.0,46,2.0,1.0,9.0,3.0,48.1,0.24,5.1,0.13,347.0,882.0,39.3,1361.0,160.0,50.9,39.5,275.0,68.7,51.0,598.0,53.0,8.9,54.0,1.42,15.7,Premier League 2022-2023,premier league,2022-2023,2022
Brighton,2,38.0,53,6.0,0.0,6.0,6.0,42.7,0.27,-4.3,-0.11,94.0,279.0,33.7,1067.0,151.0,21.4,28.9,247.0,20.6,23.2,355.0,27.0,7.6,32.0,0.84,12.3,Premier League 2022-2023,premier league,2022-2023,2022
Chelsea,2,38.0,47,1.0,1.0,8.0,3.0,47.0,0.3,3.0,0.08,95.0,290.0,32.8,1087.0,198.0,18.2,27.6,248.0,37.1,31.9,460.0,24.0,5.2,63.0,1.66,13.7,Premier League 2022-2023,premier league,2022-2023,2022
Crystal Palace,3,38.0,49,4.0,0.0,8.0,3.0,44.7,0.26,-1.3,-0.03,153.0,446.0,34.3,930.0,189.0,33.7,32.3,273.0,48.7,37.6,539.0,29.0,5.4,40.0,1.05,13.1,Premier League 2022-2023,premier league,2022-2023,2022
Everton,2,38.0,57,5.0,2.0,4.0,0.0,60.4,0.3,3.4,0.09,274.0,814.0,33.7,1012.0,156.0,57.7,34.9,325.0,70.8,52.4,589.0,23.0,3.9,52.0,1.37,5.0,Premier League 2022-2023,premier league,2022-2023,2022
Fulham,2,38.0,53,7.0,1.0,8.0,2.0,60.1,0.28,9.1,0.24,140.0,438.0,32.0,1176.0,193.0,28.4,46.0,280.0,37.1,35.0,490.0,36.0,7.3,48.0,1.26,14.0,Premier League 2022-2023,premier league,2022-2023,2022
Leeds United,2,38.0,78,5.0,1.0,7.0,1.0,64.1,0.32,-12.9,-0.34,124.0,520.0,23.8,883.0,214.0,40.8,41.1,275.0,58.2,44.1,475.0,36.0,7.6,69.0,1.82,11.6,Premier League 2022-2023,premier league,2022-2023,2022
Leicester City,2,38.0,68,4.0,4.0,8.0,5.0,55.4,0.29,-7.6,-0.2,132.0,497.0,26.6,1004.0,203.0,34.5,37.2,311.0,48.6,38.6,558.0,36.0,6.5,48.0,1.26,10.3,Premier League 2022-2023,premier league,2022-2023,2022
Liverpool,2,38.0,47,2.0,0.0,0.0,2.0,54.1,0.33,9.1,0.24,118.0,285.0,41.4,1258.0,217.0,18.4,24.3,215.0,24.7,29.9,400.0,23.0,5.8,89.0,2.34,9.0,Premier League 2022-2023,premier league,2022-2023,2022
Manchester City,2,38.0,33,3.0,1.0,4.0,1.0,30.3,0.3,-1.7,-0.05,128.0,287.0,44.6,1242.0,163.0,18.9,23.9,181.0,28.7,30.4,312.0,20.0,6.4,40.0,1.05,21.1,Premier League 2022-2023,premier league,2022-2023,2022
