Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League,league_name,season,season_start
Stoke City,1,46.0,62,3.0,0.0,7.0,5.0,71.4,0.33,14.4,0.31,196.0,700.0,28.0,1336.0,209.0,39.2,34.5,357.0,49.3,40.1,753.0,50.0,6.6,102.0,2.22,16.1,Championship 2024-2025,championship,2024-2025,2024
Sunderland,2,46.0,44,4.0,1.0,2.0,5.0,41.0,0.27,2.0,0.04,169.0,569.0,29.7,1264.0,212.0,31.8,34.4,350.0,47.7,40.7,612.0,27.0,4.4,32.0,0.7,12.6,Championship 2024-2025,championship,2024-2025,2024
Swansea City,1,46.0,56,4.0,0.0,6.0,3.0,54.5,0.31,1.5,0.03,310.0,965.0,32.1,1674.0,188.0,49.3,37.2,327.0,42.8,35.7,600.0,40.0,6.7,38.0,0.83,13.9,Championship 2024-2025,championship,2024-2025,2024
Watford,3,46.0,61,0.0,1.0,5.0,1.0,68.6,0.35,8.6,0.19,198.0,642.0,30.8,1187.0,192.0,40.6,28.5,375.0,42.7,34.9,678.0,26.0,3.8,45.0,0.98,15.5,Championship 2024-2025,championship,2024-2025,2024
West Brom,3,46.0,47,1.0,1.0,6.0,3.0,44.9,0.29,0.9,0.02,214.0,692.0,30.9,1480.0,217.0,37.0,36.1,313.0,46.3,38.6,685.0,42.0,6.1,55.0,1.2,13.1,Championship 2024-2025,championship,2024-2025,2024
Augsburg,2,34.0,60,7.0,0.0,12.0,2.0,56.0,0.26,-2.0,-0.06,185.0,490.0,37.8,1172.0,98.0,32.5,34.5,264.0,41.3,37.4,520.0,30.0,5.8,52.0,1.53,11.6,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Bayern Munich,3,34.0,45,3.0,2.0,3.0,0.0,41.0,0.3,-4.0,-0.12,99.0,242.0,40.9,1072.0,170.0,20.4,33.1,216.0,10.6,20.9,341.0,14.0,4.1,48.0,1.41,,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Bochum,2,34.0,74,9.0,0.0,9.0,4.0,62.3,0.28,-7.7,-0.23,450.0,1084.0,41.5,1497.0,91.0,63.5,51.3,258.0,51.9,41.2,523.0,35.0,6.7,104.0,3.06,7.7,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Darmstadt 98,2,34.0,86,1.0,2.0,9.0,2.0,74.3,0.34,-9.7,-0.29,278.0,690.0,40.3,1333.0,195.0,36.8,36.0,310.0,64.5,49.3,504.0,27.0,5.4,60.0,1.76,19.1,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Dortmund,2,34.0,43,5.0,0.0,9.0,2.0,44.6,0.28,3.6,0.1,133.0,349.0,38.1,1267.0,135.0,20.8,28.3,269.0,31.6,30.7,466.0,15.0,3.2,24.0,0.71,14.5,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Eint Frankfurt,2,34.0,50,9.0,0.0,4.0,0.0,49.7,0.27,-0.3,-0.01,106.0,390.0,27.2,976.0,152.0,30.4,34.4,277.0,33.6,31.4,485.0,20.0,4.1,34.0,1.0,15.7,Bundesliga 2023-2024,bundesliga,2023-2024,2023
Freiburg,1,34.0,58,3.0,1.0,5.0,1.0,50.0,0.3,-7.0,-0.21,193.0,568.0,34.0,1103.0,160.0,36.8,34.2,286.0,56.6,45.2,485.0,31.0,6.4,30.0,0.88,13.6,Bundesliga 2023-2024,bundesliga,2023-2024,2023
