Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,League,league_name,season,season_start
vs Napoli,29,39.1,38.0,18751.0,2750.0,7257.0,7869.0,3833.0,620.0,18747.0,606.0,291.0,48.0,263.0,43.4,9701.0,53851.0,26683.0,542.0,385.0,123.0,508.0,308.0,11260.0,1055.0,Serie A 2023-2024,serie a,2023-2024,2023
vs Roma,30,45.1,38.0,20773.0,2372.0,6481.0,9509.0,5014.0,709.0,20768.0,601.0,286.0,47.6,249.0,41.4,11805.0,66797.0,33048.0,665.0,505.0,144.0,493.0,320.0,13669.0,1288.0,Serie A 2023-2024,serie a,2023-2024,2023
vs Salernitana,39,55.5,38.0,24107.0,2081.0,6691.0,11540.0,6085.0,1010.0,24097.0,585.0,262.0,44.8,257.0,43.9,13485.0,73704.0,38086.0,778.0,550.0,177.0,539.0,279.0,16222.0,1636.0,Serie A 2023-2024,serie a,2023-2024,2023
vs Sassuolo,30,56.2,38.0,24418.0,2566.0,8341.0,10580.0,5713.0,903.0,24407.0,608.0,286.0,47.0,245.0,40.3,14077.0,75484.0,38932.0,668.0,496.0,195.0,552.0,262.0,16594.0,1555.0,Serie A 2023-2024,serie a,2023-2024,2023
vs Torino,30,48.4,38.0,20733.0,2402.0,7394.0,9196.0,4327.0,636.0,20726.0,436.0,195.0,44.7,191.0,43.8,11658.0,60931.0,28147.0,539.0,434.0,141.0,525.0,280.0,13251.0,1038.0,Serie A 2023-2024,serie a,2023-2024,2023
vs Udinese,32,60.7,38.0,24667.0,2030.0,6755.0,12129.0,6004.0,858.0,24658.0,643.0,272.0,42.3,299.0,46.5,14385.0,77678.0,39949.0,694.0,518.0,162.0,607.0,307.0,16772.0,1716.0,Serie A 2023-2024,serie a,2023-2024,2023
vs Brest,25,46.4,34.0,19138.0,2227.0,6465.0,8820.0,4099.0,626.0,19135.0,762.0,409.0,53.7,306.0,40.2,12854.0,78100.0,37002.0,578.0,466.0,139.0,578.0,373.0,11598.0,1322.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Clermont Foot,31,51.1,34.0,21388.0,1955.0,6056.0,10203.0,5361.0,841.0,21379.0,665.0,321.0,48.3,312.0,46.9,15503.0,87754.0,41427.0,635.0,565.0,161.0,538.0,269.0,14154.0,1561.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Le Havre,27,55.3,34.0,22612.0,2049.0,6446.0,11167.0,5229.0,734.0,22608.0,608.0,289.0,47.5,283.0,46.5,16774.0,93031.0,43084.0,617.0,611.0,146.0,504.0,277.0,15571.0,1515.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Lens,27,47.1,34.0,20095.0,2471.0,7041.0,9292.0,4001.0,640.0,20087.0,617.0,278.0,45.1,291.0,47.2,14231.0,80032.0,35649.0,519.0,446.0,137.0,520.0,263.0,12862.0,1130.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Lille,28,43.4,34.0,18257.0,2185.0,6741.0,8087.0,3679.0,561.0,18252.0,616.0,302.0,49.0,278.0,45.1,12952.0,76175.0,34274.0,532.0,415.0,130.0,459.0,316.0,11583.0,1103.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Lorient,38,53.7,34.0,22851.0,1952.0,5906.0,11148.0,6048.0,869.0,22843.0,579.0,279.0,48.2,252.0,43.5,17046.0,94852.0,45149.0,648.0,623.0,177.0,484.0,286.0,15793.0,1632.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Lyon,35,48.2,34.0,20720.0,2193.0,6186.0,9915.0,4852.0,732.0,20714.0,612.0,328.0,53.6,250.0,40.8,14943.0,85944.0,39810.0,648.0,575.0,147.0,516.0,288.0,13604.0,1369.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Marseille,33,46.3,34.0,19426.0,2302.0,6720.0,8711.0,4262.0,628.0,19423.0,615.0,295.0,48.0,292.0,47.5,13701.0,81287.0,38791.0,630.0,569.0,144.0,564.0,312.0,12399.0,1216.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Metz,30,64.5,34.0,25406.0,1773.0,6023.0,13185.0,6432.0,871.0,25400.0,545.0,276.0,50.6,238.0,43.7,19361.0,109820.0,52869.0,739.0,724.0,151.0,482.0,324.0,18327.0,1931.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Monaco,30,46.4,34.0,19752.0,2425.0,7066.0,8687.0,4253.0,672.0,19746.0,743.0,364.0,49.0,322.0,43.3,13560.0,78413.0,34929.0,602.0,471.0,151.0,557.0,342.0,12150.0,1296.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Montpellier,31,55.4,34.0,22267.0,2128.0,6110.0,10662.0,5755.0,860.0,22262.0,741.0,381.0,51.4,310.0,41.8,16071.0,93731.0,45022.0,770.0,685.0,185.0,596.0,309.0,14717.0,1698.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Nantes,35,55.2,34.0,22696.0,2046.0,6322.0,11430.0,5176.0,738.0,22686.0,661.0,318.0,48.1,298.0,45.1,16967.0,93973.0,44646.0,617.0,557.0,144.0,490.0,284.0,15777.0,1599.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Nice,27,47.6,34.0,20328.0,2372.0,6753.0,9456.0,4342.0,576.0,20320.0,532.0,220.0,41.4,285.0,53.6,14785.0,81423.0,34756.0,494.0,512.0,119.0,455.0,253.0,13530.0,1148.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Paris S-G,29,34.8,34.0,16780.0,2288.0,6075.0,6819.0,4104.0,675.0,16775.0,646.0,319.0,49.4,283.0,43.8,11342.0,66103.0,28495.0,488.0,430.0,168.0,481.0,302.0,9998.0,1044.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Reims,29,49.6,34.0,20100.0,2163.0,6439.0,9239.0,4647.0,756.0,20093.0,678.0,319.0,47.1,320.0,47.2,13973.0,80742.0,36737.0,608.0,472.0,150.0,582.0,320.0,12744.0,1394.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Rennes,29,47.9,34.0,19920.0,2237.0,6613.0,8988.0,4543.0,690.0,19917.0,557.0,245.0,44.0,280.0,50.3,14101.0,80068.0,37902.0,536.0,502.0,139.0,489.0,246.0,12889.0,1228.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Strasbourg,30,55.7,34.0,22457.0,2058.0,6853.0,10942.0,4852.0,766.0,22452.0,617.0,264.0,42.8,308.0,49.9,16620.0,93058.0,43511.0,553.0,514.0,153.0,520.0,312.0,15461.0,1521.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Toulouse,26,51.6,34.0,21145.0,2261.0,6727.0,9823.0,4832.0,736.0,21141.0,689.0,332.0,48.2,294.0,42.7,15176.0,87106.0,38428.0,607.0,585.0,144.0,495.0,318.0,14012.0,1333.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
vs Ajax,35,40.4,34.0,18009.0,2391.0,6738.0,7411.0,4054.0,747.0,18006.0,561.0,255.0,45.5,271.0,48.3,9314.0,53556.0,26822.0,530.0,352.0,163.0,496.0,262.0,10836.0,1061.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Almere City,29,56.0,34.0,21312.0,2435.0,7806.0,9177.0,4514.0,791.0,21308.0,663.0,308.0,46.5,294.0,44.3,10310.0,57402.0,29094.0,556.0,352.0,179.0,635.0,329.0,12143.0,1174.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs AZ Alkmaar,33,45.5,34.0,19350.0,2496.0,7364.0,8229.0,3950.0,626.0,19346.0,575.0,253.0,44.0,279.0,48.5,10226.0,55920.0,28073.0,478.0,333.0,139.0,534.0,273.0,12031.0,1138.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Excelsior,27,54.4,34.0,21797.0,1930.0,5809.0,10179.0,6006.0,964.0,21795.0,606.0,284.0,46.9,283.0,46.7,12128.0,69065.0,36744.0,731.0,478.0,193.0,550.0,319.0,14025.0,1688.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Feyenoord,25,38.2,34.0,16829.0,3153.0,7927.0,6284.0,2815.0,390.0,16828.0,530.0,240.0,45.3,262.0,49.4,8187.0,42791.0,20616.0,351.0,240.0,97.0,513.0,318.0,9093.0,735.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Fortuna Sittard,32,56.8,34.0,21987.0,2343.0,6584.0,10214.0,5353.0,643.0,21985.0,680.0,305.0,44.9,321.0,47.2,11977.0,64577.0,33151.0,590.0,406.0,100.0,508.0,306.0,14165.0,1474.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Go Ahead Eag,23,55.1,34.0,22230.0,2543.0,7608.0,9574.0,5208.0,972.0,22228.0,526.0,246.0,46.8,251.0,47.7,12093.0,67642.0,34162.0,735.0,472.0,208.0,533.0,251.0,14223.0,1481.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Heerenveen,26,50.3,34.0,20736.0,2422.0,6639.0,9155.0,5102.0,852.0,20732.0,557.0,263.0,47.2,259.0,46.5,11469.0,62598.0,31427.0,619.0,424.0,180.0,562.0,246.0,13276.0,1392.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Heracles Almelo,27,53.7,34.0,21105.0,1959.0,5915.0,9419.0,5952.0,1037.0,21100.0,651.0,302.0,46.4,295.0,45.3,11435.0,62997.0,33178.0,693.0,450.0,212.0,549.0,303.0,13670.0,1576.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs NEC Nijmegen,28,51.6,34.0,21442.0,2273.0,6318.0,9242.0,6080.0,989.0,21436.0,722.0,339.0,47.0,307.0,42.5,11949.0,66573.0,34385.0,748.0,527.0,192.0,563.0,317.0,13667.0,1600.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs PSV Eindhoven,29,35.5,34.0,15883.0,2941.0,6912.0,6005.0,3136.0,505.0,15880.0,525.0,231.0,44.0,261.0,49.7,7591.0,42033.0,19668.0,393.0,304.0,109.0,530.0,286.0,8374.0,757.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs RKC Waalwijk,26,54.7,34.0,21634.0,2071.0,6396.0,9508.0,5969.0,1023.0,21627.0,655.0,286.0,43.7,308.0,47.0,12161.0,69797.0,37714.0,735.0,528.0,216.0,567.0,313.0,13854.0,1634.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Sparta R'dam,26,53.0,34.0,21306.0,2213.0,6062.0,9098.0,6343.0,954.0,21301.0,583.0,270.0,46.3,275.0,47.2,11851.0,65180.0,34488.0,683.0,496.0,166.0,540.0,257.0,13669.0,1662.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Twente,26,43.8,34.0,18768.0,2772.0,7091.0,7950.0,3943.0,553.0,18762.0,675.0,331.0,49.0,294.0,43.6,9448.0,52958.0,27308.0,475.0,320.0,112.0,536.0,247.0,10906.0,990.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Utrecht,35,51.6,34.0,20773.0,2543.0,7169.0,9264.0,4526.0,757.0,20767.0,632.0,290.0,45.9,287.0,45.4,11260.0,62694.0,32010.0,565.0,410.0,153.0,556.0,286.0,12899.0,1217.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Vitesse,31,49.7,34.0,19689.0,2227.0,6319.0,8729.0,4851.0,947.0,19682.0,582.0,279.0,47.9,238.0,40.9,10552.0,61460.0,33901.0,687.0,431.0,207.0,538.0,289.0,11849.0,1355.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Volendam,37,58.6,34.0,22409.0,1958.0,6280.0,9965.0,6380.0,1167.0,22408.0,715.0,343.0,48.0,322.0,45.0,13319.0,75907.0,41325.0,819.0,522.0,261.0,514.0,291.0,14829.0,1825.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Zwolle,29,51.0,34.0,20428.0,2121.0,6107.0,9274.0,5264.0,912.0,20418.0,673.0,300.0,44.6,314.0,46.7,11398.0,64213.0,33390.0,672.0,465.0,199.0,540.0,245.0,12839.0,1463.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
vs Arouca,31,46.3,34.0,18477.0,1938.0,6387.0,8190.0,4114.0,672.0,18468.0,652.0,313.0,48.0,291.0,44.6,9665.0,50350.0,25417.0,506.0,342.0,130.0,487.0,239.0,11350.0,1134.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Benfica,34,40.9,34.0,18560.0,2768.0,7759.0,7481.0,3530.0,518.0,18553.0,698.0,314.0,45.0,343.0,49.1,9585.0,50043.0,25206.0,520.0,404.0,128.0,542.0,314.0,11045.0,950.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Boavista,23,51.8,34.0,20087.0,1854.0,6142.0,9331.0,4792.0,749.0,20081.0,621.0,273.0,44.0,281.0,45.2,10914.0,57918.0,29880.0,560.0,412.0,137.0,547.0,273.0,12985.0,1341.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Braga,25,43.2,34.0,18095.0,2305.0,6680.0,7803.0,3807.0,626.0,18088.0,577.0,285.0,49.4,251.0,43.5,9416.0,51413.0,26144.0,538.0,379.0,137.0,541.0,268.0,10746.0,998.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Casa Pia,32,56.2,34.0,21870.0,1745.0,6592.0,10353.0,5128.0,726.0,21869.0,622.0,290.0,46.6,270.0,43.4,12811.0,64574.0,32437.0,600.0,445.0,147.0,526.0,229.0,14914.0,1473.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Chaves,31,56.2,34.0,20975.0,1912.0,6137.0,9687.0,5346.0,789.0,20967.0,554.0,251.0,45.3,254.0,45.8,11509.0,59392.0,29850.0,597.0,433.0,134.0,556.0,219.0,13801.0,1445.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Estoril,31,51.3,34.0,19977.0,2046.0,6694.0,8985.0,4467.0,731.0,19974.0,577.0,278.0,48.2,261.0,45.2,10347.0,55980.0,28162.0,517.0,338.0,141.0,517.0,277.0,12884.0,1298.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Estrela,34,53.0,34.0,20761.0,1986.0,6408.0,9946.0,4590.0,716.0,20757.0,633.0,268.0,42.3,314.0,49.6,11217.0,59930.0,30172.0,577.0,355.0,151.0,555.0,260.0,13150.0,1244.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Famalicão,27,52.9,34.0,19864.0,1945.0,6466.0,8992.0,4604.0,620.0,19856.0,588.0,264.0,44.9,270.0,45.9,11058.0,57059.0,28832.0,488.0,394.0,107.0,509.0,278.0,12836.0,1251.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Farense,25,57.6,34.0,21653.0,1884.0,6105.0,9924.0,5829.0,992.0,21646.0,565.0,275.0,48.7,244.0,43.2,12086.0,65726.0,36246.0,696.0,472.0,170.0,548.0,271.0,14003.0,1622.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Gil Vicente FC,31,50.7,34.0,20511.0,1982.0,6912.0,9171.0,4627.0,708.0,20503.0,588.0,250.0,42.5,289.0,49.1,10583.0,55263.0,28206.0,554.0,393.0,122.0,568.0,251.0,13063.0,1314.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Moreirense,29,53.8,34.0,20889.0,1939.0,6831.0,9701.0,4568.0,592.0,20888.0,550.0,258.0,46.9,242.0,44.0,11253.0,60795.0,31212.0,522.0,398.0,102.0,554.0,290.0,13661.0,1352.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Portimonense,31,55.3,34.0,21069.0,1880.0,6234.0,9458.0,5560.0,834.0,21063.0,649.0,282.0,43.5,312.0,48.1,11159.0,60701.0,31244.0,587.0,424.0,142.0,585.0,349.0,13593.0,1515.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Porto,32,36.9,34.0,15154.0,2607.0,6617.0,5884.0,2802.0,434.0,15148.0,545.0,247.0,45.3,245.0,45.0,6983.0,37362.0,18173.0,364.0,235.0,95.0,500.0,239.0,8203.0,656.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Rio Ave,33,51.3,34.0,20093.0,1952.0,6507.0,9267.0,4516.0,716.0,20089.0,637.0,294.0,46.2,283.0,44.4,10437.0,52867.0,24085.0,507.0,319.0,135.0,508.0,258.0,12756.0,1179.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Sporting CP,29,40.9,34.0,17160.0,2592.0,6981.0,7269.0,3082.0,369.0,17156.0,539.0,239.0,44.3,257.0,47.7,8684.0,46863.0,21756.0,398.0,321.0,74.0,534.0,305.0,10459.0,830.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Vitória,27,51.4,34.0,19635.0,2383.0,7164.0,8846.0,3817.0,558.0,19629.0,599.0,272.0,45.4,283.0,47.2,10276.0,53764.0,26935.0,475.0,335.0,100.0,524.0,222.0,12107.0,1112.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Vizela,31,50.4,34.0,19727.0,1958.0,6279.0,8839.0,4805.0,793.0,19721.0,573.0,279.0,48.7,257.0,44.9,10566.0,53829.0,27982.0,562.0,393.0,155.0,546.0,264.0,12339.0,1329.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
vs Birmingham City,30,55.9,46.0,29723.0,3168.0,10156.0,12695.0,7128.0,1117.0,29723.0,825.0,364.0,44.1,390.0,47.3,16299.0,80872.0,38945.0,780.0,501.0,230.0,745.0,426.0,19008.0,1925.0,Championship 2023-2024,championship,2023-2024,2023
vs Blackburn,31,48.4,46.0,28464.0,3117.0,9536.0,12475.0,6757.0,1116.0,28458.0,891.0,417.0,46.8,400.0,44.9,15756.0,87120.0,44277.0,937.0,581.0,261.0,747.0,422.0,17852.0,1771.0,Championship 2023-2024,championship,2023-2024,2023
vs Bristol City,26,52.2,46.0,30037.0,3184.0,10693.0,13416.0,6203.0,965.0,30032.0,850.0,406.0,47.8,389.0,45.8,16407.0,85719.0,41816.0,790.0,509.0,233.0,791.0,347.0,19583.0,1705.0,Championship 2023-2024,championship,2023-2024,2023
vs Cardiff City,34,54.5,46.0,30623.0,2799.0,9660.0,14594.0,6623.0,971.0,30619.0,752.0,330.0,43.9,389.0,51.7,17054.0,89956.0,46317.0,787.0,517.0,188.0,782.0,387.0,20490.0,1864.0,Championship 2023-2024,championship,2023-2024,2023
vs Coventry City,26,48.6,46.0,28224.0,3143.0,9296.0,12635.0,6572.0,1061.0,28221.0,774.0,336.0,43.4,362.0,46.8,15482.0,84680.0,42901.0,894.0,598.0,262.0,716.0,455.0,18050.0,1722.0,Championship 2023-2024,championship,2023-2024,2023
vs Huddersfield,33,60.0,46.0,31276.0,2957.0,9799.0,14445.0,7297.0,1075.0,31272.0,722.0,325.0,45.0,328.0,45.4,17909.0,92855.0,47474.0,915.0,576.0,283.0,763.0,393.0,20660.0,2003.0,Championship 2023-2024,championship,2023-2024,2023
vs Hull City,33,44.6,46.0,26943.0,3202.0,9921.0,11047.0,6251.0,1074.0,26940.0,678.0,333.0,49.1,293.0,43.2,14700.0,77763.0,38527.0,857.0,533.0,256.0,640.0,313.0,17338.0,1563.0,Championship 2023-2024,championship,2023-2024,2023
vs Ipswich Town,32,47.0,46.0,26720.0,3389.0,10045.0,11356.0,5594.0,813.0,26717.0,856.0,398.0,46.5,376.0,43.9,14283.0,71590.0,34629.0,648.0,460.0,190.0,706.0,367.0,16493.0,1441.0,Championship 2023-2024,championship,2023-2024,2023
vs Leeds United,33,41.8,46.0,24293.0,3268.0,9339.0,10163.0,5000.0,718.0,24292.0,733.0,289.0,39.4,388.0,52.9,12320.0,67360.0,33510.0,639.0,416.0,155.0,679.0,395.0,14515.0,1243.0,Championship 2023-2024,championship,2023-2024,2023
vs Leicester City,27,38.4,46.0,23775.0,3421.0,9395.0,9488.0,5163.0,761.0,23774.0,733.0,317.0,43.2,371.0,50.6,12897.0,67247.0,32508.0,632.0,452.0,159.0,680.0,393.0,14585.0,1217.0,Championship 2023-2024,championship,2023-2024,2023
vs Middlesbrough,35,47.1,46.0,28690.0,3357.0,10500.0,12254.0,6191.0,909.0,28687.0,786.0,361.0,45.9,358.0,45.5,16297.0,81567.0,40912.0,758.0,517.0,209.0,704.0,350.0,18788.0,1596.0,Championship 2023-2024,championship,2023-2024,2023
vs Millwall,27,57.7,46.0,30852.0,2871.0,9724.0,14517.0,6870.0,959.0,30844.0,872.0,346.0,39.7,442.0,50.7,17262.0,89275.0,44574.0,791.0,556.0,192.0,768.0,415.0,20262.0,1880.0,Championship 2023-2024,championship,2023-2024,2023
vs Norwich City,31,50.7,46.0,28981.0,3000.0,9087.0,13021.0,7090.0,1058.0,28976.0,770.0,381.0,49.5,348.0,45.2,16463.0,81452.0,39466.0,820.0,551.0,222.0,701.0,435.0,19237.0,1858.0,Championship 2023-2024,championship,2023-2024,2023
vs Plymouth Argyle,31,55.0,46.0,29310.0,2800.0,9171.0,12910.0,7519.0,1246.0,29307.0,690.0,337.0,48.8,306.0,44.3,16265.0,89175.0,45709.0,942.0,607.0,322.0,684.0,337.0,19020.0,1889.0,Championship 2023-2024,championship,2023-2024,2023
vs Preston,28,55.4,46.0,29270.0,2777.0,9376.0,13165.0,7006.0,958.0,29266.0,913.0,416.0,45.6,430.0,47.1,15527.0,87316.0,45197.0,917.0,600.0,228.0,788.0,413.0,18362.0,1778.0,Championship 2023-2024,championship,2023-2024,2023
vs QPR,30,53.7,46.0,29299.0,3010.0,9558.0,12764.0,7202.0,964.0,29298.0,693.0,285.0,41.1,350.0,50.5,16623.0,85033.0,43839.0,806.0,502.0,214.0,765.0,394.0,19127.0,1924.0,Championship 2023-2024,championship,2023-2024,2023
vs Rotherham Utd,35,62.8,46.0,31983.0,2587.0,9574.0,14618.0,8011.0,1215.0,31977.0,719.0,337.0,46.9,335.0,46.6,17563.0,91528.0,46724.0,869.0,544.0,239.0,778.0,403.0,21660.0,2193.0,Championship 2023-2024,championship,2023-2024,2023
vs Sheffield Weds,33,56.6,46.0,30422.0,3054.0,9855.0,13790.0,7016.0,993.0,30415.0,852.0,396.0,46.5,391.0,45.9,15473.0,81624.0,40452.0,794.0,548.0,231.0,791.0,380.0,19959.0,1750.0,Championship 2023-2024,championship,2023-2024,2023
vs Southampton,28,34.5,46.0,22201.0,3472.0,9109.0,8535.0,4793.0,853.0,22198.0,618.0,261.0,42.2,300.0,48.5,11641.0,62144.0,30826.0,708.0,456.0,215.0,577.0,351.0,13117.0,1188.0,Championship 2023-2024,championship,2023-2024,2023
vs Stoke City,35,49.4,46.0,27145.0,3182.0,9858.0,11581.0,5983.0,892.0,27139.0,760.0,334.0,43.9,358.0,47.1,14377.0,76100.0,37401.0,774.0,511.0,216.0,791.0,446.0,16349.0,1512.0,Championship 2023-2024,championship,2023-2024,2023
vs Sunderland,32,44.6,46.0,25634.0,3272.0,9480.0,11136.0,5327.0,793.0,25631.0,813.0,362.0,44.5,382.0,47.0,13623.0,74076.0,35874.0,646.0,449.0,180.0,666.0,406.0,15838.0,1379.0,Championship 2023-2024,championship,2023-2024,2023
vs Swansea City,30,45.3,46.0,25986.0,3003.0,9374.0,10963.0,5937.0,1101.0,25981.0,774.0,337.0,43.5,378.0,48.8,13805.0,72724.0,37005.0,827.0,473.0,274.0,687.0,350.0,15994.0,1554.0,Championship 2023-2024,championship,2023-2024,2023
vs Watford,27,48.1,46.0,26978.0,3181.0,9574.0,11620.0,6047.0,882.0,26971.0,824.0,337.0,40.9,398.0,48.3,14390.0,73749.0,37372.0,679.0,479.0,201.0,752.0,359.0,16858.0,1520.0,Championship 2023-2024,championship,2023-2024,2023
vs West Brom,28,47.8,46.0,26683.0,2908.0,9171.0,12123.0,5614.0,839.0,26676.0,603.0,273.0,45.3,287.0,47.6,14480.0,72617.0,35122.0,676.0,457.0,169.0,636.0,300.0,17038.0,1484.0,Championship 2023-2024,championship,2023-2024,2023
vs Augsburg,34,58.3,34.0,21973.0,2268.0,7071.0,9769.0,5326.0,920.0,21969.0,568.0,247.0,43.5,232.0,40.8,12276.0,62096.0,30586.0,597.0,438.0,190.0,580.0,290.0,13659.0,1448.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Bayern Munich,28,35.8,34.0,16907.0,2576.0,6902.0,6685.0,3516.0,545.0,16897.0,586.0,251.0,42.8,287.0,49.0,8570.0,43346.0,20006.0,354.0,309.0,89.0,500.0,336.0,9334.0,872.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Bochum,26,53.9,34.0,19950.0,2379.0,7250.0,8213.0,4698.0,921.0,19936.0,714.0,325.0,45.5,310.0,43.4,10351.0,55225.0,28349.0,525.0,303.0,149.0,537.0,316.0,11607.0,1234.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Dortmund,30,41.8,34.0,18449.0,2399.0,6827.0,7857.0,3970.0,644.0,18448.0,612.0,264.0,43.1,287.0,46.9,9359.0,49154.0,25267.0,452.0,333.0,126.0,485.0,293.0,10935.0,1052.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Eint Frankfurt,28,47.1,34.0,20346.0,2465.0,7506.0,8958.0,4084.0,718.0,20344.0,658.0,320.0,48.6,265.0,40.3,11183.0,54759.0,26288.0,435.0,301.0,120.0,549.0,297.0,12192.0,1121.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Freiburg,27,51.9,34.0,20454.0,2263.0,7358.0,8846.0,4448.0,801.0,20448.0,511.0,244.0,47.7,207.0,40.5,11386.0,59821.0,30624.0,527.0,382.0,152.0,475.0,291.0,12868.0,1210.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Gladbach,27,46.3,34.0,19733.0,1984.0,6287.0,8706.0,4915.0,837.0,19727.0,600.0,269.0,44.8,267.0,44.5,11138.0,57381.0,29794.0,600.0,364.0,187.0,420.0,230.0,12466.0,1333.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Hertha BSC,32,58.0,34.0,21919.0,2129.0,7146.0,9934.0,5053.0,796.0,21913.0,584.0,270.0,46.2,251.0,43.0,12197.0,61488.0,30902.0,535.0,411.0,153.0,554.0,325.0,13753.0,1314.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Hoffenheim,31,51.7,34.0,20608.0,2116.0,6832.0,9102.0,4900.0,842.0,20605.0,548.0,238.0,43.4,236.0,43.1,11555.0,57257.0,28924.0,604.0,418.0,165.0,550.0,307.0,12765.0,1325.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Köln,27,50.1,34.0,20809.0,2572.0,7931.0,8676.0,4413.0,695.0,20804.0,754.0,356.0,47.2,311.0,41.2,11381.0,56114.0,26165.0,470.0,342.0,121.0,516.0,305.0,12723.0,1144.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Leverkusen,27,48.0,34.0,20578.0,2068.0,6534.0,9823.0,4414.0,688.0,20571.0,478.0,185.0,38.7,236.0,49.4,11852.0,58640.0,28581.0,481.0,374.0,132.0,515.0,258.0,13202.0,1246.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
vs Mainz 05,27,55.2,34.0,22189.0,2407.0,7587.0,10213.0,4603.0,679.0,22181.0,626.0,289.0,46.2,270.0,43.1,12526.0,64082.0,31610.0,595.0,418.0,116.0,535.0,277.0,13791.0,1261.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
