Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,League,league_name,season,season_start
vs Paris S-G,28,32.0,34.0,15926.0,2513.0,6411.0,6303.0,3420.0,561.0,15923.0,638.0,282.0,44.2,325.0,50.9,8255.0,43399.0,20700.0,467.0,318.0,125.0,510.0,294.0,9268.0,868.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Reims,34,55.9,34.0,22485.0,1994.0,6180.0,10380.0,6116.0,936.0,22480.0,575.0,266.0,46.3,285.0,49.6,12935.0,67208.0,36523.0,663.0,521.0,187.0,497.0,273.0,15499.0,1620.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Rennes,35,49.1,34.0,20140.0,2247.0,6943.0,9019.0,4349.0,697.0,20134.0,543.0,214.0,39.4,296.0,54.5,11095.0,55664.0,28097.0,575.0,365.0,162.0,499.0,300.0,13134.0,1136.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Saint-Étienne,32,52.9,34.0,21882.0,1767.0,6492.0,10179.0,5407.0,980.0,21867.0,627.0,298.0,47.5,296.0,47.2,12700.0,64548.0,34226.0,714.0,481.0,235.0,532.0,285.0,15019.0,1453.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Strasbourg,30,49.9,34.0,20748.0,2028.0,6897.0,9204.0,4819.0,823.0,20739.0,489.0,202.0,41.3,257.0,52.6,11921.0,59250.0,27519.0,537.0,395.0,164.0,494.0,280.0,14145.0,1349.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Toulouse,27,55.0,34.0,22354.0,2367.0,7535.0,10508.0,4524.0,615.0,22352.0,651.0,290.0,44.5,318.0,48.8,12597.0,64349.0,31370.0,589.0,403.0,128.0,548.0,287.0,15275.0,1320.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Ajax,37,42.4,34.0,18868.0,2706.0,7173.0,8092.0,3796.0,548.0,18868.0,445.0,182.0,40.9,238.0,53.5,10168.0,53174.0,25779.0,469.0,399.0,117.0,455.0,231.0,11792.0,945.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Almere City,33,57.1,34.0,22400.0,2359.0,7427.0,9684.0,5474.0,890.0,22400.0,521.0,236.0,45.3,248.0,47.6,11991.0,63880.0,33230.0,675.0,466.0,205.0,586.0,276.0,14394.0,1492.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs AZ Alkmaar,30,47.3,34.0,20052.0,2619.0,7458.0,8887.0,3881.0,611.0,20049.0,621.0,276.0,44.4,300.0,48.3,11123.0,56284.0,27958.0,514.0,335.0,123.0,518.0,318.0,12606.0,1146.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Feyenoord,40,42.7,34.0,17630.0,2857.0,7582.0,6983.0,3267.0,540.0,17627.0,446.0,177.0,39.7,237.0,53.1,8978.0,47468.0,23288.0,443.0,313.0,121.0,511.0,275.0,10342.0,878.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Fortuna Sittard,30,55.6,34.0,21323.0,1996.0,5847.0,9677.0,5968.0,861.0,21318.0,598.0,272.0,45.5,298.0,49.8,11730.0,62738.0,33420.0,672.0,556.0,147.0,603.0,259.0,13660.0,1459.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Go Ahead Eag,28,48.6,34.0,20058.0,2326.0,6338.0,8258.0,5639.0,901.0,20054.0,429.0,195.0,45.5,206.0,48.0,10526.0,57018.0,29248.0,665.0,476.0,194.0,526.0,246.0,12663.0,1411.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Groningen,29,53.1,34.0,21391.0,2368.0,7659.0,9367.0,4545.0,724.0,21385.0,566.0,215.0,38.0,316.0,55.8,11855.0,58611.0,28108.0,521.0,377.0,135.0,513.0,287.0,13397.0,1269.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Heerenveen,30,46.8,34.0,19829.0,2463.0,7292.0,8446.0,4306.0,706.0,19825.0,657.0,298.0,45.4,316.0,48.1,10826.0,54065.0,24849.0,472.0,332.0,142.0,585.0,301.0,12031.0,1125.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Heracles Almelo,24,54.6,34.0,21116.0,2093.0,6803.0,9331.0,5201.0,862.0,21110.0,578.0,266.0,46.0,269.0,46.5,11240.0,61721.0,31417.0,560.0,407.0,151.0,569.0,339.0,13477.0,1437.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs NAC Breda,30,55.0,34.0,21925.0,2173.0,6318.0,10096.0,5727.0,925.0,21918.0,584.0,261.0,44.7,298.0,51.0,12768.0,70969.0,37473.0,741.0,520.0,187.0,545.0,306.0,14243.0,1483.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
