Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,League,league_name,season,season_start
Ipswich Town,32,46.0,743.0,495.0,311.0,314.0,118.0,376.0,774.0,48.6,398.0,547.0,149.0,398.0,416.0,1159.0,809.0,14.0,Championship 2023-2024,championship,2023-2024,2023
Leeds United,33,46.0,783.0,504.0,338.0,315.0,130.0,388.0,677.0,57.3,289.0,478.0,143.0,335.0,390.0,1173.0,793.0,5.0,Championship 2023-2024,championship,2023-2024,2023
Leicester City,27,46.0,764.0,490.0,349.0,323.0,92.0,371.0,688.0,53.9,317.0,494.0,157.0,337.0,409.0,1173.0,770.0,24.0,Championship 2023-2024,championship,2023-2024,2023
Middlesbrough,35,46.0,708.0,445.0,310.0,292.0,106.0,358.0,719.0,49.8,361.0,484.0,141.0,343.0,403.0,1111.0,824.0,16.0,Championship 2023-2024,championship,2023-2024,2023
Millwall,27,46.0,857.0,520.0,422.0,354.0,81.0,442.0,788.0,56.1,346.0,526.0,169.0,357.0,491.0,1348.0,987.0,10.0,Championship 2023-2024,championship,2023-2024,2023
Norwich City,31,46.0,783.0,475.0,378.0,327.0,78.0,348.0,729.0,47.7,381.0,541.0,194.0,347.0,430.0,1213.0,1014.0,15.0,Championship 2023-2024,championship,2023-2024,2023
Plymouth Argyle,31,46.0,643.0,420.0,326.0,249.0,68.0,306.0,643.0,47.6,337.0,574.0,234.0,340.0,410.0,1053.0,1079.0,8.0,Championship 2023-2024,championship,2023-2024,2023
Preston,28,46.0,843.0,521.0,385.0,359.0,99.0,430.0,846.0,50.8,416.0,621.0,174.0,447.0,536.0,1379.0,1005.0,18.0,Championship 2023-2024,championship,2023-2024,2023
QPR,30,46.0,744.0,460.0,381.0,276.0,87.0,350.0,635.0,55.1,285.0,507.0,153.0,354.0,442.0,1186.0,983.0,7.0,Championship 2023-2024,championship,2023-2024,2023
Rotherham Utd,35,46.0,738.0,461.0,400.0,269.0,69.0,335.0,672.0,49.9,337.0,576.0,193.0,383.0,459.0,1197.0,1092.0,9.0,Championship 2023-2024,championship,2023-2024,2023
Sheffield Weds,33,46.0,771.0,484.0,393.0,287.0,91.0,391.0,787.0,49.7,396.0,570.0,177.0,393.0,433.0,1204.0,924.0,11.0,Championship 2023-2024,championship,2023-2024,2023
Southampton,28,46.0,651.0,406.0,262.0,261.0,128.0,300.0,561.0,53.5,261.0,459.0,151.0,308.0,388.0,1039.0,681.0,15.0,Championship 2023-2024,championship,2023-2024,2023
Stoke City,35,46.0,804.0,509.0,364.0,327.0,113.0,358.0,692.0,51.7,334.0,518.0,153.0,365.0,461.0,1265.0,876.0,7.0,Championship 2023-2024,championship,2023-2024,2023
Sunderland,32,46.0,788.0,497.0,362.0,333.0,93.0,382.0,744.0,51.3,362.0,508.0,157.0,351.0,399.0,1187.0,758.0,9.0,Championship 2023-2024,championship,2023-2024,2023
Swansea City,30,46.0,728.0,443.0,291.0,341.0,96.0,378.0,715.0,52.9,337.0,516.0,187.0,329.0,446.0,1174.0,850.0,17.0,Championship 2023-2024,championship,2023-2024,2023
Watford,27,46.0,757.0,482.0,382.0,300.0,75.0,398.0,735.0,54.1,337.0,519.0,164.0,355.0,431.0,1188.0,851.0,18.0,Championship 2023-2024,championship,2023-2024,2023
West Brom,28,46.0,587.0,364.0,279.0,223.0,85.0,287.0,560.0,51.3,273.0,469.0,167.0,302.0,388.0,975.0,863.0,13.0,Championship 2023-2024,championship,2023-2024,2023
Augsburg,34,34.0,522.0,299.0,251.0,202.0,69.0,232.0,479.0,48.4,247.0,428.0,125.0,303.0,286.0,808.0,755.0,14.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Bayern Munich,28,34.0,623.0,387.0,263.0,258.0,102.0,287.0,538.0,53.3,251.0,381.0,77.0,304.0,287.0,910.0,477.0,19.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Bochum,26,34.0,626.0,386.0,301.0,247.0,78.0,310.0,635.0,48.8,325.0,402.0,118.0,284.0,337.0,963.0,776.0,13.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Dortmund,30,34.0,580.0,334.0,246.0,241.0,93.0,287.0,551.0,52.1,264.0,382.0,95.0,287.0,298.0,878.0,491.0,9.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Eint Frankfurt,28,34.0,562.0,357.0,244.0,248.0,70.0,265.0,585.0,45.3,320.0,415.0,88.0,327.0,284.0,846.0,687.0,5.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Freiburg,27,34.0,498.0,289.0,223.0,211.0,64.0,207.0,451.0,45.9,244.0,375.0,106.0,269.0,325.0,823.0,612.0,10.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Gladbach,27,34.0,497.0,275.0,274.0,171.0,52.0,267.0,536.0,49.8,269.0,405.0,104.0,301.0,267.0,764.0,728.0,7.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Hertha BSC,32,34.0,576.0,344.0,307.0,215.0,54.0,251.0,521.0,48.2,270.0,416.0,132.0,284.0,366.0,942.0,797.0,8.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Hoffenheim,31,34.0,543.0,323.0,254.0,231.0,58.0,236.0,474.0,49.8,238.0,428.0,119.0,309.0,285.0,828.0,665.0,8.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Köln,27,34.0,615.0,370.0,287.0,263.0,65.0,310.0,666.0,46.5,356.0,423.0,99.0,324.0,372.0,987.0,716.0,5.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Leverkusen,27,34.0,494.0,280.0,242.0,206.0,46.0,236.0,421.0,56.1,185.0,358.0,99.0,259.0,294.0,788.0,599.0,12.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Mainz 05,27,34.0,547.0,341.0,268.0,206.0,73.0,270.0,559.0,48.3,289.0,419.0,98.0,321.0,433.0,980.0,673.0,9.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
RB Leipzig,25,34.0,534.0,312.0,237.0,231.0,66.0,253.0,512.0,49.4,259.0,428.0,94.0,334.0,310.0,844.0,552.0,3.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Schalke 04,35,34.0,542.0,329.0,240.0,246.0,56.0,253.0,551.0,45.9,298.0,397.0,110.0,287.0,306.0,848.0,723.0,12.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Stuttgart,30,34.0,528.0,316.0,255.0,207.0,66.0,268.0,524.0,51.1,256.0,421.0,113.0,308.0,308.0,836.0,666.0,10.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Union Berlin,28,34.0,494.0,278.0,217.0,216.0,61.0,239.0,525.0,45.5,286.0,356.0,101.0,255.0,262.0,756.0,704.0,6.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Werder Bremen,25,34.0,595.0,349.0,269.0,273.0,53.0,300.0,617.0,48.6,317.0,371.0,103.0,268.0,321.0,916.0,789.0,7.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Wolfsburg,28,34.0,543.0,324.0,255.0,206.0,82.0,265.0,521.0,50.9,256.0,443.0,116.0,327.0,292.0,835.0,701.0,9.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Arsenal,26,38.0,568.0,343.0,238.0,212.0,118.0,249.0,510.0,48.8,261.0,362.0,86.0,276.0,237.0,805.0,599.0,23.0,Premier League 2022-2023,premier league,2022-2023,2022
Aston Villa,26,38.0,632.0,338.0,305.0,251.0,76.0,312.0,648.0,48.1,336.0,438.0,118.0,320.0,324.0,956.0,714.0,14.0,Premier League 2022-2023,premier league,2022-2023,2022
Bournemouth,31,38.0,618.0,371.0,316.0,249.0,53.0,256.0,614.0,41.7,358.0,499.0,170.0,329.0,353.0,971.0,1027.0,11.0,Premier League 2022-2023,premier league,2022-2023,2022
Brentford,25,38.0,588.0,338.0,271.0,228.0,89.0,253.0,597.0,42.4,344.0,456.0,168.0,288.0,341.0,929.0,822.0,14.0,Premier League 2022-2023,premier league,2022-2023,2022
Brighton,29,38.0,616.0,340.0,270.0,242.0,104.0,266.0,561.0,47.4,295.0,392.0,104.0,288.0,303.0,919.0,432.0,15.0,Premier League 2022-2023,premier league,2022-2023,2022
Chelsea,32,38.0,740.0,445.0,363.0,267.0,110.0,333.0,656.0,50.8,323.0,466.0,108.0,358.0,341.0,1081.0,661.0,21.0,Premier League 2022-2023,premier league,2022-2023,2022
Crystal Palace,26,38.0,690.0,421.0,354.0,246.0,90.0,281.0,532.0,52.8,251.0,463.0,119.0,344.0,359.0,1049.0,807.0,7.0,Premier League 2022-2023,premier league,2022-2023,2022
Everton,28,38.0,708.0,424.0,362.0,257.0,89.0,309.0,619.0,49.9,310.0,510.0,180.0,330.0,390.0,1098.0,874.0,17.0,Premier League 2022-2023,premier league,2022-2023,2022
Fulham,29,38.0,625.0,350.0,295.0,229.0,101.0,299.0,588.0,50.9,289.0,455.0,125.0,330.0,340.0,965.0,749.0,15.0,Premier League 2022-2023,premier league,2022-2023,2022
Leeds United,29,38.0,840.0,480.0,376.0,343.0,121.0,412.0,870.0,47.4,458.0,536.0,131.0,405.0,392.0,1232.0,734.0,18.0,Premier League 2022-2023,premier league,2022-2023,2022
Leicester City,28,38.0,699.0,412.0,345.0,291.0,63.0,308.0,677.0,45.5,369.0,517.0,170.0,347.0,367.0,1066.0,777.0,12.0,Premier League 2022-2023,premier league,2022-2023,2022
Liverpool,28,38.0,590.0,370.0,228.0,250.0,112.0,281.0,651.0,43.2,370.0,350.0,74.0,276.0,333.0,923.0,568.0,20.0,Premier League 2022-2023,premier league,2022-2023,2022
Manchester City,24,38.0,471.0,272.0,185.0,198.0,88.0,212.0,462.0,45.9,250.0,339.0,95.0,244.0,223.0,694.0,402.0,9.0,Premier League 2022-2023,premier league,2022-2023,2022
Manchester Utd,26,38.0,657.0,400.0,343.0,231.0,83.0,300.0,600.0,50.0,300.0,496.0,146.0,350.0,352.0,1009.0,771.0,11.0,Premier League 2022-2023,premier league,2022-2023,2022
Newcastle Utd,27,38.0,607.0,360.0,268.0,254.0,85.0,307.0,642.0,47.8,335.0,448.0,116.0,332.0,333.0,940.0,680.0,10.0,Premier League 2022-2023,premier league,2022-2023,2022
Nott'ham Forest,33,38.0,659.0,387.0,380.0,201.0,78.0,296.0,589.0,50.3,293.0,500.0,156.0,344.0,349.0,1008.0,944.0,7.0,Premier League 2022-2023,premier league,2022-2023,2022
Southampton,36,38.0,714.0,426.0,378.0,279.0,57.0,297.0,612.0,48.5,315.0,542.0,165.0,377.0,427.0,1141.0,852.0,11.0,Premier League 2022-2023,premier league,2022-2023,2022
Tottenham,29,38.0,619.0,353.0,325.0,215.0,79.0,275.0,574.0,47.9,299.0,428.0,148.0,280.0,340.0,959.0,762.0,20.0,Premier League 2022-2023,premier league,2022-2023,2022
West Ham,25,38.0,608.0,336.0,290.0,226.0,92.0,270.0,563.0,48.0,293.0,415.0,139.0,276.0,408.0,1016.0,810.0,10.0,Premier League 2022-2023,premier league,2022-2023,2022
Wolves,32,38.0,660.0,370.0,363.0,222.0,75.0,285.0,616.0,46.3,331.0,497.0,175.0,322.0,279.0,939.0,817.0,19.0,Premier League 2022-2023,premier league,2022-2023,2022
Almería,29,38.0,557.0,322.0,292.0,202.0,63.0,280.0,623.0,44.9,343.0,435.0,122.0,313.0,322.0,879.0,855.0,13.0,La Liga 2022-2023,la liga,2022-2023,2022
Athletic Club,26,38.0,608.0,369.0,267.0,254.0,87.0,322.0,642.0,50.2,320.0,415.0,95.0,320.0,310.0,918.0,598.0,14.0,La Liga 2022-2023,la liga,2022-2023,2022
Atlético Madrid,27,38.0,667.0,408.0,332.0,245.0,90.0,334.0,685.0,48.8,351.0,396.0,103.0,293.0,304.0,971.0,704.0,9.0,La Liga 2022-2023,la liga,2022-2023,2022
Barcelona,29,38.0,522.0,324.0,211.0,216.0,95.0,227.0,498.0,45.6,271.0,353.0,82.0,271.0,253.0,775.0,439.0,17.0,La Liga 2022-2023,la liga,2022-2023,2022
Betis,30,38.0,665.0,421.0,373.0,238.0,54.0,338.0,701.0,48.2,363.0,411.0,112.0,299.0,364.0,1029.0,857.0,7.0,La Liga 2022-2023,la liga,2022-2023,2022
Cádiz,38,38.0,623.0,410.0,358.0,205.0,60.0,320.0,671.0,47.7,351.0,425.0,128.0,297.0,270.0,893.0,853.0,13.0,La Liga 2022-2023,la liga,2022-2023,2022
Celta Vigo,26,38.0,664.0,413.0,319.0,269.0,76.0,295.0,676.0,43.6,381.0,393.0,84.0,309.0,368.0,1032.0,666.0,5.0,La Liga 2022-2023,la liga,2022-2023,2022
Elche,32,38.0,633.0,363.0,367.0,212.0,54.0,280.0,603.0,46.4,323.0,413.0,131.0,282.0,323.0,956.0,766.0,13.0,La Liga 2022-2023,la liga,2022-2023,2022
Espanyol,33,38.0,652.0,379.0,330.0,239.0,83.0,301.0,600.0,50.2,299.0,416.0,134.0,282.0,338.0,990.0,788.0,9.0,La Liga 2022-2023,la liga,2022-2023,2022
Getafe,25,38.0,541.0,339.0,282.0,199.0,60.0,285.0,619.0,46.0,334.0,404.0,113.0,291.0,320.0,861.0,794.0,10.0,La Liga 2022-2023,la liga,2022-2023,2022
Girona,29,38.0,551.0,321.0,271.0,213.0,67.0,244.0,532.0,45.9,288.0,379.0,111.0,268.0,266.0,817.0,662.0,20.0,La Liga 2022-2023,la liga,2022-2023,2022
Mallorca,31,38.0,583.0,344.0,318.0,213.0,52.0,283.0,581.0,48.7,298.0,402.0,146.0,256.0,318.0,901.0,859.0,7.0,La Liga 2022-2023,la liga,2022-2023,2022
Osasuna,26,38.0,534.0,328.0,256.0,196.0,82.0,266.0,588.0,45.2,322.0,392.0,97.0,295.0,315.0,849.0,749.0,10.0,La Liga 2022-2023,la liga,2022-2023,2022
Rayo Vallecano,28,38.0,636.0,393.0,262.0,276.0,98.0,281.0,664.0,42.3,383.0,428.0,92.0,336.0,309.0,945.0,680.0,11.0,La Liga 2022-2023,la liga,2022-2023,2022
Real Madrid,26,38.0,542.0,353.0,242.0,212.0,88.0,259.0,565.0,45.8,306.0,365.0,105.0,260.0,296.0,838.0,469.0,5.0,La Liga 2022-2023,la liga,2022-2023,2022
Real Sociedad,30,38.0,660.0,395.0,304.0,254.0,102.0,285.0,613.0,46.5,328.0,399.0,103.0,296.0,271.0,931.0,624.0,13.0,La Liga 2022-2023,la liga,2022-2023,2022
Sevilla,35,38.0,587.0,367.0,261.0,230.0,96.0,281.0,591.0,47.5,310.0,361.0,127.0,234.0,339.0,926.0,633.0,9.0,La Liga 2022-2023,la liga,2022-2023,2022
Valencia,28,38.0,678.0,428.0,340.0,254.0,84.0,311.0,645.0,48.2,334.0,370.0,75.0,295.0,288.0,966.0,643.0,21.0,La Liga 2022-2023,la liga,2022-2023,2022
Valladolid,36,38.0,671.0,396.0,334.0,251.0,86.0,296.0,628.0,47.1,332.0,432.0,149.0,283.0,345.0,1016.0,767.0,8.0,La Liga 2022-2023,la liga,2022-2023,2022
Villarreal,32,38.0,578.0,370.0,276.0,201.0,101.0,270.0,534.0,50.6,264.0,372.0,125.0,247.0,262.0,840.0,691.0,16.0,La Liga 2022-2023,la liga,2022-2023,2022
Atalanta,27,38.0,636.0,364.0,291.0,272.0,73.0,312.0,634.0,49.2,322.0,455.0,93.0,362.0,421.0,1057.0,613.0,12.0,Serie A 2022-2023,serie a,2022-2023,2022
Bologna,27,38.0,648.0,373.0,310.0,255.0,83.0,297.0,618.0,48.1,321.0,414.0,131.0,283.0,302.0,950.0,652.0,7.0,Serie A 2022-2023,serie a,2022-2023,2022
Cremonese,33,38.0,704.0,400.0,403.0,228.0,73.0,364.0,729.0,49.9,365.0,432.0,136.0,296.0,393.0,1097.0,771.0,13.0,Serie A 2022-2023,serie a,2022-2023,2022
Empoli,32,38.0,606.0,364.0,316.0,218.0,72.0,254.0,538.0,47.2,284.0,449.0,183.0,266.0,280.0,886.0,910.0,4.0,Serie A 2022-2023,serie a,2022-2023,2022
Fiorentina,30,38.0,581.0,337.0,232.0,260.0,89.0,282.0,531.0,53.1,249.0,356.0,84.0,272.0,260.0,841.0,473.0,11.0,Serie A 2022-2023,serie a,2022-2023,2022
Hellas Verona,36,38.0,605.0,357.0,319.0,228.0,58.0,296.0,562.0,52.7,266.0,445.0,143.0,302.0,337.0,942.0,745.0,12.0,Serie A 2022-2023,serie a,2022-2023,2022
Inter,25,38.0,572.0,325.0,247.0,241.0,84.0,258.0,523.0,49.3,265.0,385.0,110.0,275.0,315.0,887.0,541.0,7.0,Serie A 2022-2023,serie a,2022-2023,2022
Juventus,29,38.0,594.0,352.0,296.0,219.0,79.0,288.0,558.0,51.6,270.0,421.0,131.0,290.0,307.0,901.0,704.0,10.0,Serie A 2022-2023,serie a,2022-2023,2022
Lazio,24,38.0,582.0,349.0,261.0,234.0,87.0,277.0,625.0,44.3,348.0,437.0,126.0,311.0,310.0,892.0,606.0,8.0,Serie A 2022-2023,serie a,2022-2023,2022
Lecce,29,38.0,705.0,427.0,347.0,259.0,99.0,319.0,619.0,51.5,300.0,486.0,112.0,374.0,368.0,1073.0,826.0,4.0,Serie A 2022-2023,serie a,2022-2023,2022
Milan,30,38.0,690.0,422.0,327.0,295.0,68.0,300.0,563.0,53.3,263.0,387.0,126.0,261.0,289.0,979.0,542.0,9.0,Serie A 2022-2023,serie a,2022-2023,2022
Monza,31,38.0,595.0,355.0,323.0,214.0,58.0,260.0,551.0,47.2,291.0,380.0,120.0,260.0,334.0,929.0,661.0,13.0,Serie A 2022-2023,serie a,2022-2023,2022
Napoli,27,38.0,569.0,313.0,236.0,227.0,106.0,255.0,521.0,48.9,266.0,374.0,96.0,278.0,287.0,856.0,490.0,7.0,Serie A 2022-2023,serie a,2022-2023,2022
Roma,30,38.0,624.0,340.0,301.0,257.0,66.0,289.0,617.0,46.8,328.0,392.0,113.0,279.0,368.0,992.0,590.0,9.0,Serie A 2022-2023,serie a,2022-2023,2022
Salernitana,30,38.0,587.0,337.0,309.0,220.0,58.0,259.0,569.0,45.5,310.0,409.0,157.0,252.0,329.0,916.0,740.0,13.0,Serie A 2022-2023,serie a,2022-2023,2022
Sampdoria,40,38.0,589.0,351.0,290.0,240.0,59.0,261.0,558.0,46.8,297.0,428.0,152.0,276.0,317.0,906.0,688.0,7.0,Serie A 2022-2023,serie a,2022-2023,2022
Sassuolo,31,38.0,502.0,281.0,237.0,186.0,79.0,216.0,461.0,46.9,245.0,371.0,122.0,249.0,278.0,780.0,658.0,16.0,Serie A 2022-2023,serie a,2022-2023,2022
Spezia,34,38.0,622.0,359.0,290.0,236.0,96.0,254.0,569.0,44.6,315.0,457.0,161.0,296.0,301.0,923.0,830.0,7.0,Serie A 2022-2023,serie a,2022-2023,2022
Torino,28,38.0,473.0,265.0,231.0,187.0,55.0,199.0,367.0,54.2,168.0,337.0,110.0,227.0,292.0,765.0,627.0,9.0,Serie A 2022-2023,serie a,2022-2023,2022
Udinese,30,38.0,651.0,365.0,363.0,228.0,60.0,326.0,632.0,51.6,306.0,437.0,128.0,309.0,314.0,965.0,712.0,8.0,Serie A 2022-2023,serie a,2022-2023,2022
Ajaccio,36,38.0,637.0,382.0,321.0,236.0,80.0,313.0,694.0,45.1,381.0,359.0,85.0,274.0,420.0,1057.0,670.0,10.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Angers,33,38.0,652.0,386.0,311.0,268.0,73.0,310.0,610.0,50.8,300.0,402.0,99.0,303.0,375.0,1027.0,605.0,13.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Auxerre,33,38.0,674.0,378.0,337.0,263.0,74.0,313.0,678.0,46.2,365.0,441.0,118.0,323.0,454.0,1128.0,782.0,11.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Brest,29,38.0,705.0,417.0,348.0,289.0,68.0,356.0,740.0,48.1,384.0,435.0,115.0,320.0,475.0,1180.0,686.0,13.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Clermont Foot,28,38.0,685.0,398.0,350.0,250.0,85.0,351.0,779.0,45.1,428.0,424.0,126.0,298.0,440.0,1125.0,571.0,17.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Lens,29,38.0,540.0,323.0,225.0,238.0,77.0,262.0,570.0,46.0,308.0,401.0,112.0,289.0,339.0,879.0,559.0,7.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Lille,26,38.0,635.0,370.0,266.0,265.0,104.0,314.0,658.0,47.7,344.0,390.0,74.0,316.0,301.0,936.0,543.0,13.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Lorient,30,38.0,736.0,420.0,409.0,244.0,83.0,315.0,690.0,45.7,375.0,484.0,141.0,343.0,369.0,1105.0,849.0,17.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Lyon,29,38.0,723.0,423.0,306.0,282.0,135.0,367.0,771.0,47.6,404.0,433.0,107.0,326.0,481.0,1204.0,542.0,12.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Marseille,30,38.0,685.0,404.0,271.0,304.0,110.0,301.0,593.0,50.8,292.0,366.0,101.0,265.0,420.0,1105.0,570.0,11.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Monaco,27,38.0,696.0,400.0,284.0,310.0,102.0,323.0,701.0,46.1,378.0,459.0,120.0,339.0,426.0,1122.0,549.0,14.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Montpellier,31,38.0,684.0,413.0,362.0,249.0,73.0,361.0,745.0,48.5,384.0,448.0,121.0,327.0,404.0,1088.0,686.0,9.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Nantes,29,38.0,709.0,431.0,367.0,249.0,93.0,367.0,730.0,50.3,363.0,427.0,107.0,320.0,431.0,1140.0,731.0,8.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Nice,34,38.0,818.0,467.0,415.0,295.0,108.0,382.0,680.0,56.2,298.0,419.0,115.0,304.0,413.0,1231.0,588.0,9.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Paris S-G,26,38.0,612.0,362.0,253.0,255.0,104.0,339.0,693.0,48.9,354.0,378.0,109.0,269.0,296.0,908.0,432.0,20.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Reims,34,38.0,703.0,407.0,338.0,259.0,106.0,339.0,747.0,45.4,408.0,468.0,127.0,341.0,397.0,1100.0,633.0,15.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Rennes,32,38.0,600.0,335.0,255.0,251.0,94.0,289.0,616.0,46.9,327.0,392.0,91.0,301.0,341.0,941.0,587.0,10.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Strasbourg,29,38.0,690.0,409.0,316.0,284.0,90.0,344.0,666.0,51.7,322.0,423.0,98.0,325.0,437.0,1127.0,688.0,5.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Toulouse,29,38.0,716.0,406.0,349.0,264.0,103.0,368.0,842.0,43.7,474.0,476.0,138.0,338.0,409.0,1125.0,656.0,15.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Troyes,32,38.0,608.0,361.0,333.0,207.0,68.0,272.0,606.0,44.9,334.0,416.0,144.0,272.0,398.0,1006.0,779.0,5.0,Ligue 1 2022-2023,ligue 1,2022-2023,2022
Ajax,30,34.0,569.0,348.0,244.0,219.0,106.0,268.0,465.0,57.6,197.0,314.0,68.0,246.0,259.0,828.0,393.0,9.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
AZ Alkmaar,29,34.0,543.0,320.0,244.0,227.0,72.0,252.0,509.0,49.5,257.0,352.0,120.0,232.0,315.0,858.0,590.0,5.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Cambuur,31,34.0,599.0,353.0,313.0,224.0,62.0,302.0,618.0,48.9,316.0,375.0,134.0,241.0,293.0,892.0,755.0,10.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Emmen,30,34.0,595.0,362.0,298.0,221.0,76.0,305.0,606.0,50.3,301.0,404.0,141.0,263.0,311.0,906.0,756.0,4.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Excelsior,28,34.0,615.0,384.0,344.0,202.0,69.0,300.0,628.0,47.8,328.0,414.0,127.0,287.0,370.0,985.0,884.0,9.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Feyenoord,30,34.0,597.0,340.0,231.0,267.0,99.0,278.0,517.0,53.8,239.0,331.0,71.0,260.0,289.0,886.0,500.0,6.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Fortuna Sittard,28,34.0,571.0,355.0,332.0,189.0,50.0,258.0,572.0,45.1,314.0,454.0,160.0,294.0,370.0,941.0,841.0,8.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Go Ahead Eag,27,34.0,549.0,331.0,253.0,220.0,76.0,235.0,482.0,48.8,247.0,428.0,130.0,298.0,332.0,881.0,747.0,8.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Groningen,36,34.0,631.0,384.0,304.0,250.0,77.0,269.0,589.0,45.7,320.0,437.0,144.0,293.0,312.0,943.0,712.0,9.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Heerenveen,26,34.0,527.0,317.0,282.0,179.0,66.0,271.0,511.0,53.0,240.0,330.0,108.0,222.0,362.0,889.0,680.0,5.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
NEC Nijmegen,22,34.0,517.0,290.0,267.0,188.0,62.0,238.0,471.0,50.5,233.0,381.0,139.0,242.0,256.0,773.0,620.0,9.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
PSV Eindhoven,32,34.0,601.0,354.0,286.0,242.0,73.0,279.0,563.0,49.6,284.0,381.0,91.0,290.0,304.0,905.0,549.0,11.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
RKC Waalwijk,27,34.0,574.0,333.0,322.0,176.0,76.0,294.0,598.0,49.2,304.0,422.0,133.0,289.0,312.0,886.0,713.0,12.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Sparta R'dam,30,34.0,526.0,290.0,274.0,200.0,52.0,263.0,572.0,46.0,309.0,379.0,145.0,234.0,315.0,841.0,713.0,11.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Twente,26,34.0,617.0,373.0,288.0,237.0,92.0,309.0,641.0,48.2,332.0,385.0,95.0,290.0,318.0,935.0,493.0,8.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Utrecht,33,34.0,583.0,350.0,285.0,233.0,65.0,282.0,602.0,46.8,320.0,360.0,97.0,263.0,340.0,923.0,705.0,6.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Vitesse,30,34.0,524.0,321.0,236.0,208.0,80.0,246.0,550.0,44.7,304.0,349.0,103.0,246.0,315.0,839.0,686.0,14.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Volendam,31,34.0,647.0,381.0,358.0,226.0,63.0,300.0,645.0,46.5,345.0,420.0,129.0,291.0,336.0,983.0,806.0,13.0,Eredivisie 2022-2023,eredivisie,2022-2023,2022
Arouca,29,34.0,568.0,342.0,305.0,211.0,52.0,282.0,594.0,47.5,312.0,369.0,114.0,255.0,355.0,923.0,777.0,7.0,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
Benfica,32,34.0,660.0,395.0,243.0,305.0,112.0,365.0,654.0,55.8,289.0,327.0,52.0,275.0,364.0,1024.0,390.0,7.0,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
Boavista,30,34.0,562.0,333.0,293.0,222.0,47.0,271.0,550.0,49.3,279.0,282.0,69.0,213.0,362.0,924.0,636.0,4.0,Primeira Liga 2022-2023,primeira liga,2022-2023,2022
