Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,League,league_name,season,season_start
vs Augsburg,29,34.0,19055.0,17433.0,1565.0,386.0,62.0,100.0,712.0,667.0,172.0,85.0,49.0,4.0,15484.0,57.0,345.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Bayern Munich,29,34.0,12083.0,10634.0,1405.0,345.0,24.0,49.0,334.0,513.0,88.0,48.0,32.0,1.0,9140.0,44.0,278.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Bochum,27,34.0,17796.0,16058.0,1675.0,500.0,55.0,88.0,595.0,675.0,185.0,88.0,58.0,6.0,14057.0,63.0,368.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Dortmund,28,34.0,14210.0,12657.0,1460.0,353.0,44.0,74.0,551.0,593.0,134.0,62.0,45.0,0.0,10934.0,93.0,313.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Eint Frankfurt,26,34.0,17664.0,15994.0,1571.0,377.0,67.0,73.0,677.0,642.0,172.0,67.0,75.0,2.0,14160.0,99.0,335.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Freiburg,26,34.0,17514.0,16046.0,1425.0,356.0,35.0,83.0,604.0,624.0,147.0,80.0,43.0,0.0,14111.0,43.0,328.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Gladbach,26,34.0,17850.0,16292.0,1501.0,378.0,48.0,67.0,750.0,650.0,180.0,89.0,55.0,0.0,14473.0,57.0,325.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Heidenheim,27,34.0,19390.0,17744.0,1614.0,414.0,69.0,66.0,634.0,711.0,166.0,85.0,63.0,1.0,15818.0,32.0,382.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Hoffenheim,35,34.0,17470.0,15827.0,1602.0,437.0,66.0,99.0,626.0,651.0,189.0,74.0,72.0,1.0,14007.0,41.0,342.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Holstein Kiel,27,34.0,18342.0,16528.0,1752.0,432.0,53.0,86.0,852.0,795.0,224.0,115.0,67.0,0.0,14775.0,62.0,305.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Leverkusen,23,34.0,14768.0,13319.0,1386.0,368.0,39.0,63.0,443.0,533.0,116.0,61.0,45.0,1.0,11597.0,63.0,255.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Mainz 05,25,34.0,16234.0,14482.0,1703.0,469.0,48.0,58.0,656.0,691.0,173.0,84.0,72.0,0.0,12368.0,49.0,314.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs RB Leipzig,29,34.0,16691.0,15060.0,1563.0,440.0,50.0,76.0,660.0,633.0,187.0,83.0,69.0,0.0,13082.0,68.0,394.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs St. Pauli,28,34.0,19511.0,17842.0,1595.0,396.0,58.0,86.0,562.0,732.0,154.0,90.0,38.0,0.0,16017.0,74.0,349.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Stuttgart,29,34.0,14746.0,13145.0,1519.0,402.0,50.0,54.0,531.0,602.0,161.0,89.0,50.0,0.0,11408.0,82.0,331.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Union Berlin,28,34.0,20253.0,18532.0,1679.0,466.0,47.0,78.0,723.0,717.0,167.0,69.0,61.0,3.0,16465.0,42.0,352.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Werder Bremen,23,34.0,17808.0,16227.0,1509.0,375.0,64.0,50.0,593.0,634.0,162.0,84.0,50.0,2.0,14300.0,72.0,348.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Wolfsburg,27,34.0,17731.0,16046.0,1617.0,373.0,42.0,72.0,646.0,719.0,178.0,81.0,57.0,6.0,14240.0,68.0,340.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Arsenal,25,38.0,15255.0,13697.0,1520.0,461.0,47.0,74.0,534.0,526.0,118.0,70.0,25.0,2.0,12192.0,38.0,251.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Aston Villa,28,38.0,17377.0,15839.0,1445.0,441.0,66.0,96.0,683.0,474.0,172.0,112.0,30.0,5.0,14438.0,93.0,276.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Bournemouth,29,38.0,18037.0,16003.0,1992.0,569.0,68.0,59.0,601.0,800.0,184.0,103.0,44.0,4.0,14072.0,42.0,372.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Brentford,28,38.0,18708.0,17074.0,1576.0,363.0,63.0,74.0,793.0,615.0,242.0,131.0,61.0,4.0,15047.0,58.0,331.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Brighton,32,38.0,17647.0,15881.0,1678.0,460.0,53.0,82.0,543.0,634.0,182.0,130.0,23.0,4.0,14240.0,88.0,334.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Chelsea,29,38.0,16240.0,14557.0,1595.0,461.0,55.0,59.0,543.0,583.0,139.0,81.0,36.0,1.0,13008.0,88.0,297.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Crystal Palace,29,38.0,21227.0,19439.0,1741.0,473.0,66.0,78.0,716.0,717.0,214.0,135.0,44.0,7.0,17325.0,47.0,399.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Everton,26,38.0,21623.0,19822.0,1750.0,489.0,68.0,106.0,731.0,708.0,229.0,146.0,42.0,7.0,17944.0,51.0,304.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Fulham,26,38.0,18069.0,16368.0,1618.0,445.0,75.0,96.0,632.0,613.0,172.0,122.0,26.0,3.0,14692.0,83.0,310.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Ipswich Town,32,38.0,21940.0,20230.0,1668.0,459.0,82.0,104.0,778.0,680.0,249.0,136.0,31.0,6.0,18380.0,42.0,301.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Leicester City,32,38.0,21079.0,19351.0,1667.0,453.0,60.0,133.0,751.0,686.0,230.0,130.0,48.0,1.0,17576.0,61.0,363.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Liverpool,24,38.0,15957.0,14217.0,1644.0,465.0,66.0,73.0,500.0,569.0,139.0,81.0,21.0,5.0,12622.0,96.0,312.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Manchester City,30,38.0,15459.0,14002.0,1372.0,323.0,67.0,92.0,455.0,521.0,123.0,80.0,19.0,8.0,12668.0,85.0,273.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Manchester Utd,31,38.0,17770.0,16138.0,1575.0,451.0,61.0,73.0,598.0,605.0,180.0,114.0,29.0,4.0,14277.0,57.0,323.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Newcastle Utd,24,38.0,17858.0,16153.0,1662.0,449.0,71.0,73.0,651.0,595.0,202.0,100.0,51.0,1.0,14333.0,43.0,344.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Nott'ham Forest,23,38.0,20627.0,18867.0,1724.0,473.0,45.0,87.0,886.0,653.0,241.0,156.0,48.0,1.0,16965.0,36.0,328.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Southampton,36,38.0,19683.0,18108.0,1526.0,474.0,73.0,70.0,758.0,570.0,242.0,151.0,40.0,4.0,16575.0,49.0,287.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Tottenham,31,38.0,16529.0,14781.0,1661.0,490.0,63.0,100.0,697.0,593.0,206.0,121.0,47.0,2.0,13104.0,87.0,350.0,Premier League 2024-2025,premier league,2024-2025,2024
vs West Ham,27,38.0,19489.0,17708.0,1726.0,494.0,79.0,79.0,811.0,701.0,208.0,108.0,44.0,7.0,15814.0,55.0,324.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Wolves,32,38.0,19341.0,17527.0,1738.0,510.0,62.0,78.0,714.0,659.0,217.0,133.0,43.0,0.0,15875.0,76.0,353.0,Premier League 2024-2025,premier league,2024-2025,2024
vs Alavés,29,38.0,18138.0,15935.0,2139.0,672.0,52.0,139.0,722.0,913.0,177.0,62.0,61.0,1.0,14251.0,64.0,340.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Athletic Club,31,38.0,18891.0,16899.0,1908.0,528.0,52.0,139.0,592.0,796.0,155.0,54.0,61.0,1.0,14953.0,84.0,323.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Atlético Madrid,24,38.0,19538.0,17845.0,1656.0,460.0,33.0,124.0,656.0,664.0,144.0,41.0,56.0,0.0,16246.0,37.0,304.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Barcelona,28,38.0,11890.0,10010.0,1699.0,417.0,62.0,135.0,482.0,636.0,149.0,62.0,57.0,1.0,8511.0,181.0,317.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Betis,36,38.0,17627.0,15754.0,1781.0,466.0,51.0,107.0,683.0,756.0,162.0,73.0,62.0,3.0,13910.0,92.0,339.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Celta Vigo,30,38.0,18445.0,16682.0,1688.0,504.0,57.0,102.0,667.0,680.0,159.0,69.0,53.0,1.0,14946.0,75.0,323.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Espanyol,27,38.0,21580.0,19688.0,1839.0,529.0,49.0,143.0,858.0,759.0,227.0,97.0,95.0,5.0,17987.0,53.0,350.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Getafe,30,38.0,18284.0,16088.0,2111.0,659.0,52.0,111.0,626.0,910.0,147.0,66.0,45.0,1.0,13966.0,85.0,364.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Girona,30,38.0,16818.0,15144.0,1630.0,488.0,40.0,84.0,607.0,626.0,166.0,61.0,62.0,2.0,13798.0,44.0,260.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Las Palmas,34,38.0,17854.0,15927.0,1828.0,472.0,69.0,118.0,740.0,812.0,198.0,86.0,63.0,3.0,14104.0,99.0,350.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Leganés,26,38.0,20203.0,18149.0,2007.0,568.0,52.0,128.0,879.0,865.0,242.0,101.0,101.0,2.0,16312.0,47.0,335.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Mallorca,28,38.0,18666.0,16782.0,1843.0,526.0,43.0,136.0,821.0,723.0,241.0,113.0,55.0,3.0,14980.0,41.0,306.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Osasuna,25,38.0,18864.0,16877.0,1884.0,540.0,89.0,123.0,704.0,784.0,189.0,72.0,78.0,1.0,15229.0,103.0,324.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Rayo Vallecano,26,38.0,16724.0,14603.0,2071.0,579.0,55.0,139.0,678.0,882.0,191.0,81.0,80.0,1.0,12793.0,50.0,379.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Real Madrid,30,38.0,15895.0,14331.0,1521.0,397.0,40.0,120.0,554.0,533.0,161.0,78.0,49.0,0.0,12981.0,43.0,293.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Real Sociedad,31,38.0,16415.0,14418.0,1912.0,550.0,54.0,115.0,610.0,808.0,179.0,69.0,58.0,3.0,12635.0,85.0,345.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Sevilla,35,38.0,17994.0,16003.0,1929.0,541.0,62.0,132.0,661.0,828.0,165.0,66.0,63.0,1.0,14301.0,62.0,329.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Valencia,32,38.0,18992.0,17048.0,1837.0,485.0,78.0,139.0,691.0,801.0,190.0,79.0,57.0,2.0,15307.0,107.0,328.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Valladolid,38,38.0,20501.0,18714.0,1727.0,489.0,62.0,99.0,743.0,751.0,195.0,76.0,80.0,0.0,17117.0,60.0,353.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Villarreal,31,38.0,19916.0,18105.0,1769.0,495.0,40.0,191.0,782.0,655.0,180.0,70.0,59.0,0.0,16617.0,42.0,377.0,La Liga 2024-2025,la liga,2024-2025,2024
vs Atalanta,32,38.0,16956.0,15197.0,1709.0,474.0,63.0,51.0,458.0,664.0,124.0,59.0,39.0,1.0,13516.0,50.0,298.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Bologna,30,38.0,14028.0,12108.0,1869.0,578.0,41.0,56.0,421.0,755.0,121.0,45.0,50.0,1.0,10464.0,51.0,336.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Cagliari,28,38.0,19649.0,17808.0,1769.0,540.0,62.0,71.0,692.0,690.0,190.0,74.0,85.0,1.0,16100.0,72.0,261.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Como,38,38.0,16090.0,14221.0,1795.0,532.0,40.0,132.0,571.0,730.0,146.0,65.0,63.0,1.0,12785.0,74.0,293.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Empoli,34,38.0,19935.0,17913.0,1983.0,601.0,48.0,93.0,714.0,848.0,194.0,80.0,84.0,1.0,16105.0,39.0,317.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Fiorentina,34,38.0,17215.0,15466.0,1706.0,508.0,33.0,91.0,639.0,680.0,157.0,72.0,54.0,0.0,13849.0,43.0,276.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Genoa,37,38.0,18823.0,16947.0,1817.0,527.0,38.0,83.0,682.0,766.0,202.0,71.0,73.0,0.0,15111.0,59.0,346.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Hellas Verona,32,38.0,21566.0,19534.0,1984.0,604.0,48.0,93.0,687.0,814.0,201.0,79.0,91.0,0.0,17933.0,48.0,311.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Inter,26,38.0,15118.0,13487.0,1593.0,492.0,25.0,105.0,581.0,536.0,140.0,57.0,55.0,0.0,12179.0,38.0,278.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Juventus,29,38.0,15648.0,13854.0,1755.0,505.0,28.0,83.0,679.0,677.0,172.0,89.0,57.0,2.0,12602.0,39.0,315.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Lazio,27,38.0,16062.0,14421.0,1607.0,449.0,30.0,94.0,655.0,606.0,168.0,74.0,68.0,0.0,13007.0,34.0,291.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Lecce,31,38.0,19450.0,17577.0,1792.0,486.0,51.0,103.0,775.0,732.0,229.0,87.0,69.0,0.0,15740.0,81.0,329.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Milan,35,38.0,16519.0,14811.0,1613.0,453.0,60.0,122.0,590.0,588.0,159.0,64.0,60.0,0.0,13716.0,95.0,232.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Monza,36,38.0,18811.0,17102.0,1668.0,541.0,47.0,89.0,680.0,650.0,195.0,82.0,84.0,1.0,15588.0,41.0,281.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Napoli,27,38.0,16831.0,15220.0,1572.0,446.0,26.0,103.0,577.0,593.0,148.0,52.0,65.0,1.0,13635.0,39.0,255.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Parma,32,38.0,19940.0,18184.0,1637.0,412.0,57.0,117.0,856.0,661.0,223.0,82.0,82.0,2.0,16404.0,119.0,345.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Roma,28,38.0,17333.0,15720.0,1566.0,443.0,38.0,75.0,617.0,599.0,152.0,66.0,58.0,0.0,14165.0,47.0,259.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Torino,31,38.0,18718.0,16969.0,1699.0,519.0,53.0,100.0,767.0,678.0,194.0,80.0,66.0,0.0,15347.0,50.0,269.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Udinese,31,38.0,18221.0,16283.0,1854.0,569.0,53.0,86.0,677.0,730.0,203.0,89.0,68.0,0.0,14788.0,84.0,320.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Venezia,36,38.0,18608.0,16715.0,1830.0,531.0,46.0,95.0,765.0,760.0,223.0,106.0,81.0,1.0,14934.0,63.0,354.0,Serie A 2024-2025,serie a,2024-2025,2024
vs Angers,30,34.0,20419.0,18893.0,1500.0,434.0,52.0,113.0,719.0,641.0,160.0,76.0,66.0,0.0,17341.0,26.0,298.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Auxerre,29,34.0,19181.0,17456.0,1642.0,423.0,104.0,89.0,660.0,704.0,202.0,92.0,87.0,1.0,15891.0,83.0,305.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Brest,30,34.0,17260.0,15604.0,1597.0,453.0,56.0,109.0,639.0,638.0,167.0,74.0,71.0,1.0,14071.0,59.0,313.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Le Havre,31,34.0,18901.0,17311.0,1546.0,413.0,59.0,84.0,687.0,645.0,186.0,84.0,75.0,1.0,15963.0,44.0,285.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Lens,33,34.0,15716.0,14079.0,1605.0,554.0,37.0,51.0,473.0,602.0,127.0,52.0,36.0,0.0,12550.0,32.0,307.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Lille,27,34.0,14644.0,13118.0,1471.0,443.0,37.0,97.0,482.0,584.0,142.0,66.0,51.0,0.0,11769.0,55.0,256.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Lyon,31,34.0,14734.0,13176.0,1504.0,455.0,57.0,106.0,549.0,566.0,159.0,73.0,63.0,0.0,11925.0,54.0,265.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Marseille,32,34.0,13334.0,11915.0,1327.0,423.0,62.0,77.0,385.0,450.0,106.0,45.0,39.0,0.0,10643.0,92.0,216.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Monaco,28,34.0,14908.0,13223.0,1636.0,517.0,45.0,121.0,498.0,619.0,118.0,63.0,34.0,0.0,11573.0,49.0,315.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Montpellier,35,34.0,17484.0,15960.0,1486.0,459.0,49.0,66.0,564.0,582.0,174.0,63.0,74.0,0.0,14766.0,38.0,272.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Nantes,30,34.0,21062.0,19434.0,1586.0,424.0,28.0,113.0,740.0,685.0,212.0,86.0,96.0,0.0,17979.0,42.0,337.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Nice,31,34.0,17860.0,16268.0,1564.0,425.0,38.0,67.0,604.0,605.0,180.0,72.0,64.0,1.0,14744.0,28.0,333.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Paris S-G,28,34.0,12016.0,10625.0,1318.0,343.0,39.0,71.0,386.0,451.0,111.0,55.0,33.0,0.0,9330.0,73.0,281.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Reims,34,34.0,18726.0,17172.0,1498.0,432.0,67.0,82.0,707.0,565.0,197.0,84.0,73.0,2.0,15620.0,56.0,295.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Rennes,35,34.0,16323.0,14708.0,1526.0,468.0,51.0,107.0,510.0,630.0,128.0,53.0,52.0,0.0,13238.0,89.0,280.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Saint-Étienne,32,34.0,18133.0,16515.0,1560.0,457.0,67.0,158.0,692.0,641.0,195.0,85.0,70.0,0.0,15120.0,58.0,311.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Strasbourg,30,34.0,17314.0,15791.0,1455.0,418.0,56.0,117.0,700.0,588.0,164.0,55.0,81.0,0.0,14255.0,68.0,312.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Toulouse,27,34.0,18518.0,16981.0,1496.0,469.0,42.0,73.0,556.0,577.0,128.0,47.0,51.0,0.0,15399.0,41.0,273.0,Ligue 1 2024-2025,ligue 1,2024-2025,2024
vs Ajax,37,34.0,14994.0,13576.0,1382.0,384.0,23.0,59.0,502.0,525.0,108.0,63.0,32.0,0.0,11914.0,36.0,267.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Almere City,33,34.0,18188.0,16567.0,1567.0,379.0,53.0,96.0,692.0,667.0,206.0,103.0,54.0,1.0,14563.0,54.0,242.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs AZ Alkmaar,30,34.0,16080.0,14499.0,1542.0,374.0,25.0,83.0,490.0,636.0,130.0,65.0,34.0,0.0,12723.0,39.0,295.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Feyenoord,40,34.0,13587.0,12097.0,1441.0,304.0,43.0,71.0,435.0,593.0,114.0,65.0,25.0,0.0,10451.0,49.0,273.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Fortuna Sittard,30,34.0,17305.0,15531.0,1718.0,417.0,34.0,153.0,699.0,779.0,191.0,87.0,50.0,2.0,13780.0,56.0,304.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Go Ahead Eag,28,34.0,16121.0,14616.0,1480.0,336.0,16.0,93.0,779.0,601.0,185.0,105.0,51.0,1.0,12815.0,25.0,245.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Groningen,29,34.0,17275.0,15694.0,1518.0,343.0,42.0,101.0,586.0,714.0,154.0,79.0,43.0,1.0,13596.0,63.0,290.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Heerenveen,30,34.0,15534.0,13916.0,1562.0,425.0,62.0,84.0,534.0,655.0,150.0,78.0,43.0,1.0,12165.0,56.0,292.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Heracles Almelo,24,34.0,17000.0,15303.0,1666.0,454.0,42.0,110.0,639.0,737.0,168.0,91.0,57.0,0.0,13637.0,31.0,317.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs NAC Breda,30,34.0,17857.0,16191.0,1641.0,361.0,50.0,71.0,676.0,756.0,193.0,99.0,55.0,2.0,14425.0,25.0,298.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs NEC Nijmegen,25,34.0,16820.0,15226.0,1554.0,380.0,33.0,106.0,663.0,648.0,194.0,97.0,59.0,0.0,13410.0,40.0,298.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs PSV Eindhoven,32,34.0,10981.0,9534.0,1409.0,305.0,46.0,63.0,387.0,480.0,103.0,52.0,34.0,0.0,7890.0,38.0,261.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs RKC Waalwijk,29,34.0,18383.0,16826.0,1517.0,327.0,43.0,93.0,723.0,699.0,228.0,120.0,70.0,2.0,15008.0,40.0,306.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Sparta R'dam,29,34.0,17079.0,15517.0,1548.0,350.0,33.0,96.0,722.0,663.0,193.0,96.0,52.0,0.0,13471.0,14.0,331.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Twente,29,34.0,15364.0,13713.0,1595.0,392.0,35.0,109.0,570.0,678.0,146.0,76.0,41.0,0.0,11871.0,56.0,315.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Utrecht,27,34.0,17358.0,15736.0,1582.0,367.0,42.0,102.0,569.0,664.0,175.0,87.0,53.0,0.0,13927.0,40.0,246.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Willem II,26,34.0,18766.0,17219.0,1511.0,354.0,41.0,136.0,774.0,661.0,228.0,118.0,56.0,0.0,15425.0,36.0,301.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Zwolle,26,34.0,16375.0,14578.0,1747.0,406.0,47.0,102.0,682.0,824.0,175.0,107.0,47.0,1.0,12658.0,50.0,312.0,Eredivisie 2024-2025,eredivisie,2024-2025,2024
vs Arouca,28,34.0,14640.0,12783.0,1788.0,528.0,49.0,117.0,649.0,749.0,181.0,80.0,76.0,1.0,11359.0,69.0,276.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs AVS Futebol,33,34.0,17661.0,15848.0,1757.0,498.0,62.0,132.0,655.0,786.0,172.0,83.0,54.0,1.0,14274.0,56.0,318.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Benfica,35,34.0,13484.0,11793.0,1662.0,464.0,35.0,97.0,389.0,658.0,100.0,56.0,34.0,0.0,10482.0,29.0,273.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Boavista,32,34.0,18157.0,16390.0,1708.0,489.0,54.0,117.0,631.0,735.0,180.0,87.0,45.0,0.0,14910.0,59.0,262.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Braga,35,34.0,14340.0,12494.0,1766.0,533.0,71.0,102.0,489.0,728.0,127.0,75.0,35.0,1.0,11031.0,80.0,280.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Casa Pia,32,34.0,16057.0,14278.0,1714.0,512.0,43.0,103.0,635.0,714.0,185.0,100.0,55.0,1.0,12677.0,65.0,285.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Estoril,28,34.0,16001.0,14115.0,1788.0,554.0,73.0,133.0,586.0,725.0,172.0,100.0,44.0,2.0,12503.0,98.0,269.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Estrela,40,34.0,15594.0,13644.0,1887.0,560.0,41.0,99.0,600.0,821.0,199.0,109.0,50.0,1.0,12121.0,63.0,317.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Famalicão,31,34.0,15016.0,13136.0,1802.0,493.0,48.0,103.0,595.0,792.0,168.0,101.0,48.0,0.0,11696.0,78.0,265.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Farense,37,34.0,16706.0,14771.0,1891.0,558.0,45.0,94.0,720.0,811.0,201.0,120.0,53.0,0.0,13168.0,44.0,329.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Gil Vicente FC,34,34.0,15745.0,14120.0,1582.0,412.0,34.0,97.0,655.0,688.0,173.0,75.0,56.0,3.0,12517.0,43.0,292.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Moreirense,31,34.0,16271.0,14426.0,1801.0,531.0,36.0,121.0,706.0,791.0,178.0,97.0,40.0,4.0,12832.0,44.0,266.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Nacional,31,34.0,14689.0,12864.0,1783.0,491.0,43.0,94.0,663.0,739.0,194.0,107.0,62.0,1.0,11335.0,42.0,285.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Porto,32,34.0,11941.0,10299.0,1564.0,509.0,37.0,93.0,413.0,532.0,113.0,45.0,45.0,1.0,9064.0,78.0,255.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Rio Ave,36,34.0,16110.0,14313.0,1717.0,532.0,51.0,118.0,654.0,699.0,191.0,80.0,71.0,1.0,12800.0,80.0,275.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Santa Clara,25,34.0,16273.0,14336.0,1903.0,590.0,51.0,107.0,595.0,841.0,143.0,78.0,46.0,1.0,12759.0,34.0,306.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Sporting CP,34,34.0,12597.0,11020.0,1525.0,415.0,36.0,68.0,435.0,554.0,102.0,51.0,34.0,0.0,9717.0,52.0,273.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Vitória,31,34.0,13386.0,11583.0,1749.0,529.0,54.0,104.0,507.0,699.0,134.0,64.0,42.0,1.0,10104.0,54.0,285.0,Primeira Liga 2024-2025,primeira liga,2024-2025,2024
vs Blackburn,33,46.0,21600.0,19201.0,2332.0,652.0,24.0,111.0,923.0,1044.0,251.0,125.0,83.0,6.0,16597.0,67.0,431.0,Championship 2024-2025,championship,2024-2025,2024
