Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,League,league_name,season,season_start
Paris S-G,29,34.0,21536.0,24396.0,88.3,366597.0,106542.0,9423.0,10335.0,91.2,9980.0,10802.0,92.4,1507.0,2177.0,69.2,61,51.6,48.4,9.4,425.0,1763.0,365.0,53.0,1915.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Reims,29,34.0,12995.0,16365.0,79.4,243795.0,83980.0,4942.0,5830.0,84.8,6140.0,7027.0,87.4,1553.0,2684.0,57.9,28,33.3,34.9,-5.3,318.0,1098.0,241.0,76.0,1425.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Rennes,29,34.0,14481.0,17580.0,82.4,266518.0,91799.0,5645.0,6490.0,87.0,6806.0,7723.0,88.1,1575.0,2513.0,62.7,29,31.8,34.5,-2.8,351.0,1257.0,311.0,61.0,1639.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Strasbourg,30,34.0,12021.0,15031.0,80.0,225581.0,77797.0,4556.0,5286.0,86.2,5863.0,6761.0,86.7,1315.0,2383.0,55.2,24,31.7,28.7,-7.7,280.0,903.0,218.0,67.0,1152.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Toulouse,26,34.0,13014.0,16304.0,79.8,231736.0,82869.0,5571.0,6480.0,86.0,5860.0,6824.0,85.9,1239.0,2195.0,56.4,30,26.4,30.8,3.6,301.0,1057.0,259.0,60.0,1405.0,Ligue 1 2023-2024,ligue 1,2023-2024,2023
Ajax,35,34.0,17709.0,21028.0,84.2,308261.0,106502.0,7989.0,8804.0,90.7,7818.0,8712.0,89.7,1510.0,2613.0,57.8,60,52.5,61.1,7.5,426.0,1350.0,413.0,69.0,1646.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Almere City,29,34.0,8594.0,13273.0,64.7,163206.0,74009.0,3770.0,4806.0,78.4,3330.0,4571.0,72.9,1202.0,2983.0,40.3,27,27.1,29.4,-0.1,278.0,870.0,237.0,59.0,1117.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
AZ Alkmaar,33,34.0,15168.0,18546.0,81.8,273906.0,95895.0,6592.0,7415.0,88.9,6614.0,7507.0,88.1,1609.0,2683.0,60.0,49,41.6,45.6,7.4,361.0,1232.0,360.0,74.0,1561.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Excelsior,27,34.0,11216.0,14901.0,75.3,226424.0,85852.0,4234.0,5005.0,84.6,4908.0,5804.0,84.6,1826.0,3348.0,54.5,43,37.7,33.6,5.3,297.0,911.0,220.0,76.0,1037.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Feyenoord,25,34.0,17206.0,20703.0,83.1,292765.0,101319.0,7894.0,8809.0,89.6,7654.0,8681.0,88.2,1258.0,2221.0,56.6,69,69.6,71.1,-0.6,554.0,1651.0,496.0,69.0,2088.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Fortuna Sittard,32,34.0,9749.0,13539.0,72.0,187095.0,73730.0,3896.0,4717.0,82.6,4250.0,5280.0,80.5,1300.0,2725.0,47.7,24,28.7,32.2,-4.7,331.0,823.0,267.0,114.0,1097.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Go Ahead Eag,23,34.0,10970.0,14668.0,74.8,202858.0,85504.0,4702.0,5501.0,85.5,4694.0,5668.0,82.8,1321.0,2686.0,49.2,30,34.4,35.0,-4.4,355.0,993.0,293.0,70.0,1234.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Heerenveen,26,34.0,13187.0,16529.0,79.8,239223.0,86442.0,5746.0,6454.0,89.0,5616.0,6547.0,85.8,1480.0,2639.0,56.1,27,29.9,34.3,-2.9,369.0,1019.0,280.0,59.0,1320.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Heracles Almelo,27,34.0,11267.0,14644.0,76.9,216423.0,78065.0,4488.0,5157.0,87.0,5108.0,5972.0,85.5,1456.0,2828.0,51.5,30,29.4,31.1,0.6,269.0,919.0,213.0,81.0,1083.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
NEC Nijmegen,28,34.0,12699.0,16102.0,78.9,230560.0,85781.0,5452.0,6211.0,87.8,5438.0,6364.0,85.4,1444.0,2649.0,54.5,42,32.0,34.9,10.0,326.0,964.0,245.0,69.0,1215.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
PSV Eindhoven,29,34.0,18147.0,21518.0,84.3,323577.0,113677.0,7954.0,8803.0,90.4,7844.0,8821.0,88.9,1894.0,2837.0,66.8,88,77.2,80.7,10.8,639.0,1803.0,540.0,116.0,2159.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
RKC Waalwijk,26,34.0,10858.0,14454.0,75.1,211948.0,81794.0,4114.0,4857.0,84.7,5007.0,5945.0,84.2,1497.0,2863.0,52.3,26,33.3,31.8,-7.3,317.0,975.0,230.0,69.0,1174.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Sparta R'dam,26,34.0,11702.0,15343.0,76.3,223627.0,85051.0,4639.0,5497.0,84.4,5349.0,6299.0,84.9,1439.0,2718.0,52.9,37,33.2,37.6,3.8,332.0,990.0,305.0,93.0,1278.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Twente,26,34.0,14631.0,18551.0,78.9,264863.0,94392.0,6265.0,7209.0,86.9,6527.0,7497.0,87.1,1490.0,2824.0,52.8,46,42.6,54.5,3.4,428.0,1336.0,415.0,82.0,1655.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Utrecht,35,34.0,11848.0,15721.0,75.4,222561.0,87103.0,4768.0,5602.0,85.1,5411.0,6542.0,82.7,1405.0,2698.0,52.1,33,35.9,37.2,-2.9,344.0,1043.0,299.0,90.0,1403.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Vitesse,31,34.0,12139.0,15826.0,76.7,226451.0,88010.0,5123.0,5955.0,86.0,5278.0,6205.0,85.1,1448.0,2808.0,51.6,24,28.9,32.6,-4.9,339.0,983.0,237.0,64.0,1210.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Volendam,37,34.0,9415.0,12951.0,72.7,185124.0,72591.0,3660.0,4370.0,83.8,4245.0,5173.0,82.1,1326.0,2762.0,48.0,22,26.8,24.8,-4.8,257.0,776.0,163.0,57.0,936.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Zwolle,29,34.0,12385.0,15989.0,77.5,231154.0,90542.0,5068.0,5930.0,85.5,5656.0,6630.0,85.3,1411.0,2653.0,53.2,31,31.0,32.0,0.0,322.0,912.0,256.0,88.0,1239.0,Eredivisie 2023-2024,eredivisie,2023-2024,2023
Arouca,31,34.0,13911.0,17348.0,80.2,254209.0,90188.0,5780.0,6488.0,89.1,6322.0,7260.0,87.1,1537.0,2768.0,55.5,38,32.1,27.4,5.9,332.0,1040.0,217.0,56.0,1317.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Benfica,34,34.0,17244.0,20589.0,83.8,289741.0,101234.0,8474.0,9361.0,90.5,6851.0,7778.0,88.1,1495.0,2396.0,62.4,59,59.0,58.6,0.0,455.0,1509.0,424.0,75.0,1880.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Boavista,23,34.0,11747.0,15162.0,77.5,220400.0,80189.0,4863.0,5541.0,87.8,5184.0,6054.0,85.6,1439.0,2813.0,51.2,18,24.8,22.8,-6.8,242.0,841.0,195.0,83.0,1008.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Braga,25,34.0,15375.0,18817.0,81.7,280854.0,100241.0,6381.0,7127.0,89.5,6919.0,7798.0,88.7,1696.0,2966.0,57.2,49,48.1,44.0,0.9,422.0,1291.0,382.0,112.0,1678.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Casa Pia,32,34.0,10877.0,14094.0,77.2,198436.0,79271.0,4751.0,5423.0,87.6,4736.0,5551.0,85.3,1183.0,2413.0,49.0,27,19.5,21.8,7.5,256.0,877.0,165.0,55.0,985.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Chaves,31,34.0,10054.0,13419.0,74.9,191781.0,77406.0,4192.0,4877.0,86.0,4215.0,5065.0,83.2,1389.0,2716.0,51.1,18,22.5,22.5,-4.5,268.0,769.0,157.0,74.0,925.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Estoril,31,34.0,12142.0,15367.0,79.0,228158.0,82076.0,4855.0,5565.0,87.2,5628.0,6507.0,86.5,1408.0,2554.0,55.1,27,26.5,25.8,0.5,281.0,875.0,203.0,51.0,1060.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Estrela,34,34.0,11061.0,14750.0,75.0,210850.0,84151.0,4434.0,5279.0,84.0,5054.0,6040.0,83.7,1371.0,2681.0,51.1,18,29.7,27.2,-11.7,281.0,777.0,219.0,67.0,1057.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Famalicão,27,34.0,11238.0,14426.0,77.9,228716.0,86213.0,4055.0,4718.0,85.9,5130.0,5967.0,86.0,1838.0,3025.0,60.8,23,24.2,24.3,-1.2,316.0,822.0,207.0,107.0,976.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Farense,25,34.0,9386.0,13093.0,71.7,191166.0,75812.0,3328.0,4026.0,82.7,4425.0,5375.0,82.3,1464.0,3009.0,48.7,26,27.6,22.3,-1.6,260.0,769.0,185.0,72.0,944.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Gil Vicente FC,31,34.0,12524.0,16065.0,78.0,228900.0,82263.0,5114.0,5925.0,86.3,5807.0,6806.0,85.3,1314.0,2487.0,52.8,28,25.4,26.7,2.6,271.0,820.0,209.0,37.0,1144.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Moreirense,29,34.0,11609.0,14914.0,77.8,217860.0,82989.0,4737.0,5459.0,86.8,5294.0,6138.0,86.2,1350.0,2596.0,52.0,30,25.6,21.7,4.4,297.0,816.0,194.0,72.0,1054.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Portimonense,31,34.0,10389.0,13854.0,75.0,196527.0,77344.0,4227.0,4947.0,85.4,4593.0,5481.0,83.8,1290.0,2611.0,49.4,30,23.8,20.3,6.2,273.0,782.0,178.0,74.0,976.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Porto,32,34.0,16207.0,19449.0,83.3,293647.0,97602.0,6826.0,7672.0,89.0,7471.0,8324.0,89.8,1632.0,2600.0,62.8,46,46.8,57.7,-0.8,430.0,1425.0,407.0,95.0,1869.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Rio Ave,33,34.0,12306.0,15665.0,78.6,229619.0,83476.0,4928.0,5704.0,86.4,5663.0,6566.0,86.2,1448.0,2583.0,56.1,22,25.5,24.3,-3.5,250.0,800.0,219.0,74.0,1085.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Sporting CP,29,34.0,16356.0,19452.0,84.1,275295.0,97248.0,7904.0,8649.0,91.4,6873.0,7791.0,88.2,1239.0,2134.0,58.1,67,55.5,52.6,11.5,431.0,1481.0,374.0,89.0,1669.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Vitória,27,34.0,11319.0,15030.0,75.3,207172.0,85898.0,4900.0,5756.0,85.1,4798.0,5871.0,81.7,1324.0,2531.0,52.3,35,32.3,32.6,2.7,336.0,1002.0,289.0,88.0,1361.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Vizela,31,34.0,12050.0,15405.0,78.2,210202.0,85979.0,5678.0,6410.0,88.6,4782.0,5659.0,84.5,1248.0,2445.0,51.0,25,28.8,30.0,-3.8,317.0,993.0,251.0,93.0,1244.0,Primeira Liga 2023-2024,primeira liga,2023-2024,2023
Birmingham City,30,46.0,13841.0,18735.0,73.9,263465.0,103801.0,5603.0,6618.0,84.7,6178.0,7501.0,82.4,1733.0,3536.0,49.0,30,35.3,32.2,-5.3,434.0,1019.0,272.0,60.0,1398.0,Championship 2023-2024,championship,2023-2024,2023
Blackburn,31,46.0,19583.0,24775.0,79.0,344055.0,126106.0,8905.0,10110.0,88.1,8277.0,9699.0,85.3,1931.0,3631.0,53.2,48,47.8,45.1,0.2,426.0,1490.0,443.0,63.0,2022.0,Championship 2023-2024,championship,2023-2024,2023
Bristol City,26,46.0,17301.0,22755.0,76.0,315277.0,109040.0,7332.0,8338.0,87.9,8061.0,9635.0,83.7,1662.0,3770.0,44.1,28,32.5,34.8,-4.5,378.0,1233.0,299.0,83.0,1523.0,Championship 2023-2024,championship,2023-2024,2023
Cardiff City,34,46.0,16255.0,21236.0,76.5,302783.0,110655.0,6834.0,7932.0,86.2,7032.0,8425.0,83.5,1982.0,3787.0,52.3,34,32.1,30.0,1.9,364.0,1036.0,216.0,77.0,1312.0,Championship 2023-2024,championship,2023-2024,2023
Coventry City,26,46.0,19310.0,24079.0,80.2,334493.0,126027.0,8743.0,9880.0,88.5,8462.0,9801.0,86.3,1641.0,3252.0,50.5,39,43.6,45.0,-4.6,456.0,1545.0,400.0,88.0,1964.0,Championship 2023-2024,championship,2023-2024,2023
Huddersfield,33,46.0,11676.0,16992.0,68.7,223744.0,93924.0,4673.0,5745.0,81.3,5154.0,6625.0,77.8,1564.0,3601.0,43.4,34,36.6,35.3,-2.6,389.0,1026.0,290.0,102.0,1331.0,Championship 2023-2024,championship,2023-2024,2023
Hull City,33,46.0,22942.0,27360.0,83.9,389189.0,131068.0,10552.0,11504.0,91.7,10142.0,11293.0,89.8,1663.0,3242.0,51.3,41,38.5,41.8,2.5,471.0,1447.0,327.0,65.0,1648.0,Championship 2023-2024,championship,2023-2024,2023
Ipswich Town,32,46.0,19178.0,24162.0,79.4,338365.0,126693.0,8521.0,9690.0,87.9,8617.0,10133.0,85.0,1691.0,3239.0,52.2,63,55.7,52.2,7.3,556.0,1570.0,408.0,104.0,1917.0,Championship 2023-2024,championship,2023-2024,2023
Leeds United,33,46.0,22112.0,26394.0,83.8,379353.0,127241.0,9829.0,10940.0,89.8,10251.0,11427.0,89.7,1552.0,2789.0,55.6,56,57.4,62.1,-1.4,544.0,1628.0,420.0,57.0,2123.0,Championship 2023-2024,championship,2023-2024,2023
Leicester City,27,46.0,26494.0,30645.0,86.5,444849.0,144692.0,12846.0,13800.0,93.1,11281.0,12536.0,90.0,1893.0,3185.0,59.4,57,59.2,64.6,-2.2,515.0,2014.0,471.0,100.0,2227.0,Championship 2023-2024,championship,2023-2024,2023
Middlesbrough,35,46.0,21724.0,26339.0,82.5,370056.0,127944.0,10171.0,11269.0,90.3,9172.0,10446.0,87.8,1811.0,3256.0,55.6,56,53.2,50.6,2.8,487.0,1627.0,451.0,71.0,2050.0,Championship 2023-2024,championship,2023-2024,2023
Millwall,27,46.0,13156.0,18531.0,71.0,245683.0,96942.0,5745.0,6909.0,83.2,5419.0,6870.0,78.9,1676.0,3702.0,45.3,30,31.3,34.7,-1.3,345.0,1057.0,249.0,81.0,1291.0,Championship 2023-2024,championship,2023-2024,2023
Norwich City,31,46.0,18601.0,23143.0,80.4,334414.0,116452.0,8005.0,8926.0,89.7,8402.0,9665.0,86.9,1829.0,3436.0,53.2,52,45.7,44.9,6.3,449.0,1237.0,329.0,102.0,1581.0,Championship 2023-2024,championship,2023-2024,2023
Plymouth Argyle,31,46.0,15006.0,19985.0,75.1,282408.0,104162.0,5845.0,6928.0,84.4,7183.0,8456.0,84.9,1688.0,3609.0,46.8,39,37.7,33.4,1.3,441.0,1080.0,267.0,52.0,1467.0,Championship 2023-2024,championship,2023-2024,2023
Preston,28,46.0,13628.0,19423.0,70.2,253336.0,98162.0,5900.0,7072.0,83.4,5639.0,7200.0,78.3,1702.0,3987.0,42.7,38,28.0,31.2,10.0,304.0,1185.0,240.0,67.0,1323.0,Championship 2023-2024,championship,2023-2024,2023
QPR,30,46.0,15578.0,20655.0,75.4,285009.0,109272.0,6837.0,7869.0,86.9,6640.0,8060.0,82.4,1758.0,3721.0,47.2,30,31.3,33.4,-1.3,390.0,1122.0,279.0,100.0,1333.0,Championship 2023-2024,championship,2023-2024,2023
Rotherham Utd,35,46.0,10489.0,15707.0,66.8,207042.0,93140.0,4624.0,5721.0,80.8,3936.0,5203.0,75.6,1634.0,3819.0,42.8,23,21.6,25.7,1.4,254.0,905.0,192.0,79.0,961.0,Championship 2023-2024,championship,2023-2024,2023
Sheffield Weds,33,46.0,13604.0,18742.0,72.6,248373.0,100063.0,5986.0,7050.0,84.9,5693.0,7101.0,80.2,1558.0,3539.0,44.0,33,38.0,34.5,-5.0,363.0,942.0,245.0,87.0,1253.0,Championship 2023-2024,championship,2023-2024,2023
Southampton,28,46.0,28747.0,32772.0,87.7,462760.0,149315.0,14712.0,15706.0,93.7,11691.0,12875.0,90.8,1730.0,2855.0,60.6,58,56.5,70.9,1.5,561.0,2086.0,594.0,78.0,2556.0,Championship 2023-2024,championship,2023-2024,2023
Stoke City,35,46.0,16532.0,22108.0,74.8,310800.0,117789.0,6891.0,8153.0,84.5,7306.0,8822.0,82.8,1991.0,3960.0,50.3,35,39.9,45.1,-4.9,446.0,1446.0,417.0,90.0,1879.0,Championship 2023-2024,championship,2023-2024,2023
Sunderland,32,46.0,20990.0,25420.0,82.6,363102.0,119345.0,9487.0,10549.0,89.9,9200.0,10440.0,88.1,1809.0,3183.0,56.8,34,43.1,46.6,-9.1,492.0,1554.0,351.0,66.0,2009.0,Championship 2023-2024,championship,2023-2024,2023
Swansea City,30,46.0,20096.0,25094.0,80.1,349482.0,121799.0,9067.0,10129.0,89.5,8926.0,10234.0,87.2,1660.0,3565.0,46.6,40,42.3,40.6,-2.3,402.0,1392.0,323.0,106.0,1686.0,Championship 2023-2024,championship,2023-2024,2023
Watford,27,46.0,18473.0,23331.0,79.2,346829.0,120391.0,7254.0,8334.0,87.0,8627.0,10035.0,86.0,2199.0,3899.0,56.4,45,42.4,41.1,2.6,486.0,1470.0,369.0,96.0,1867.0,Championship 2023-2024,championship,2023-2024,2023
West Brom,28,46.0,19065.0,23670.0,80.5,332688.0,113585.0,8658.0,9670.0,89.5,8348.0,9687.0,86.2,1661.0,3194.0,52.0,45,42.6,43.3,2.4,402.0,1315.0,321.0,116.0,1693.0,Championship 2023-2024,championship,2023-2024,2023
Augsburg,34,34.0,8422.0,12742.0,66.1,169408.0,75215.0,3104.0,4032.0,77.0,3844.0,5050.0,76.1,1253.0,2819.0,44.4,29,24.3,24.6,4.7,240.0,662.0,191.0,44.0,847.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Bayern Munich,28,34.0,19404.0,22716.0,85.4,335478.0,115394.0,8781.0,9678.0,90.7,8580.0,9490.0,90.4,1653.0,2553.0,64.7,67,56.6,63.6,10.4,488.0,1561.0,474.0,70.0,2041.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Bochum,26,34.0,9209.0,13549.0,68.0,185905.0,86106.0,3742.0,4704.0,79.5,3734.0,4954.0,75.4,1534.0,3145.0,48.8,28,28.4,31.4,-0.4,289.0,856.0,225.0,73.0,1022.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Dortmund,30,34.0,16445.0,19889.0,82.7,290786.0,100043.0,7277.0,8180.0,89.0,6704.0,7585.0,88.4,1853.0,2872.0,64.5,61,51.9,50.6,9.1,423.0,1265.0,341.0,78.0,1628.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Eint Frankfurt,28,34.0,13930.0,17975.0,77.5,240605.0,87723.0,6239.0,7247.0,86.1,6164.0,7319.0,84.2,1196.0,2423.0,49.4,33,36.2,40.1,-3.2,289.0,1003.0,263.0,64.0,1372.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Freiburg,27,34.0,11653.0,15533.0,75.0,224503.0,85849.0,4532.0,5503.0,82.4,5212.0,6241.0,83.5,1565.0,2829.0,55.3,34,28.5,33.2,5.5,288.0,884.0,237.0,67.0,1039.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Gladbach,27,34.0,15516.0,18854.0,82.3,267610.0,95706.0,7012.0,7776.0,90.2,6828.0,7668.0,89.0,1280.0,2371.0,54.0,39,41.2,39.9,-2.2,327.0,885.0,247.0,50.0,1168.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Hertha BSC,32,34.0,8876.0,12800.0,69.3,165190.0,72608.0,3726.0,4615.0,80.7,3761.0,4869.0,77.2,1117.0,2467.0,45.3,23,25.3,26.7,-2.3,247.0,665.0,161.0,42.0,914.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Hoffenheim,31,34.0,11754.0,15564.0,75.5,218184.0,88463.0,4941.0,5830.0,84.8,5108.0,6136.0,83.2,1405.0,2668.0,52.7,30,32.4,39.6,-2.4,294.0,928.0,260.0,77.0,1175.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Köln,27,34.0,12242.0,16367.0,74.8,229690.0,84892.0,4634.0,5485.0,84.5,6017.0,7208.0,83.5,1352.0,2725.0,49.6,31,35.1,37.6,-4.1,307.0,840.0,259.0,84.0,1247.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Leverkusen,27,34.0,14683.0,18206.0,80.6,247352.0,87593.0,7075.0,8019.0,88.2,5908.0,6837.0,86.4,1279.0,2372.0,53.9,44,38.9,36.4,5.1,349.0,926.0,230.0,48.0,1243.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Mainz 05,27,34.0,10075.0,14492.0,69.5,186572.0,81107.0,4418.0,5434.0,81.3,4059.0,5270.0,77.0,1293.0,2828.0,45.7,35,30.0,33.8,5.0,278.0,872.0,270.0,80.0,1155.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
RB Leipzig,25,34.0,16911.0,20529.0,82.4,297606.0,99659.0,7461.0,8392.0,88.9,7606.0,8572.0,88.7,1511.0,2537.0,59.6,39,43.2,48.2,-4.2,376.0,1237.0,320.0,53.0,1450.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Schalke 04,35,34.0,9234.0,13360.0,69.1,182759.0,80288.0,3511.0,4414.0,79.5,4162.0,5223.0,79.7,1331.0,2803.0,47.5,24,28.7,31.4,-4.7,282.0,698.0,250.0,110.0,934.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Stuttgart,30,34.0,13460.0,16987.0,79.2,253792.0,92829.0,5463.0,6341.0,86.2,6101.0,7070.0,86.3,1637.0,2756.0,59.4,34,38.1,38.2,-4.1,361.0,970.0,260.0,78.0,1278.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Union Berlin,28,34.0,10312.0,14418.0,71.5,197596.0,82612.0,4140.0,5021.0,82.5,4555.0,5629.0,80.9,1359.0,2892.0,47.0,38,25.9,30.5,12.1,272.0,878.0,255.0,115.0,1012.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Werder Bremen,25,34.0,12443.0,16554.0,75.2,236998.0,93050.0,5048.0,6006.0,84.0,5399.0,6523.0,82.8,1688.0,3071.0,55.0,37,29.0,34.6,8.0,274.0,922.0,274.0,66.0,1140.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Wolfsburg,28,34.0,12571.0,16129.0,77.9,245765.0,94282.0,4610.0,5453.0,84.5,6097.0,7016.0,86.9,1638.0,2876.0,57.0,44,39.2,40.4,4.8,303.0,1009.0,272.0,67.0,1306.0,Bundesliga 2022-2023,bundesliga,2022-2023,2022
Arsenal,26,38.0,18281.0,21969.0,83.2,310206.0,100635.0,8542.0,9478.0,90.1,7825.0,8821.0,88.7,1454.0,2548.0,57.1,64,53.5,46.8,10.5,443.0,1637.0,459.0,62.0,2049.0,Premier League 2022-2023,premier league,2022-2023,2022
Aston Villa,26,38.0,13782.0,17396.0,79.2,244073.0,87581.0,6111.0,6947.0,88.0,5979.0,6934.0,86.2,1345.0,2579.0,52.2,35,38.8,31.6,-3.8,318.0,964.0,268.0,80.0,1242.0,Premier League 2022-2023,premier league,2022-2023,2022
Bournemouth,31,38.0,11715.0,15381.0,76.2,206704.0,82672.0,5412.0,6278.0,86.2,4751.0,5644.0,84.2,1192.0,2491.0,47.9,24,28.4,26.3,-4.4,261.0,850.0,237.0,75.0,1006.0,Premier League 2022-2023,premier league,2022-2023,2022
Brentford,25,38.0,11317.0,15551.0,72.8,209962.0,87002.0,5142.0,6116.0,84.1,4475.0,5602.0,79.9,1438.0,2947.0,48.8,36,38.4,30.5,-2.4,284.0,922.0,279.0,87.0,1131.0,Premier League 2022-2023,premier league,2022-2023,2022
Brighton,29,38.0,19210.0,22888.0,83.9,319736.0,106474.0,9346.0,10305.0,90.7,7892.0,8919.0,88.5,1463.0,2462.0,59.4,46,52.2,44.7,-6.2,480.0,1459.0,391.0,78.0,1849.0,Premier League 2022-2023,premier league,2022-2023,2022
Chelsea,32,38.0,19147.0,22836.0,83.8,316440.0,104718.0,9510.0,10494.0,90.6,7700.0,8709.0,88.4,1461.0,2499.0,58.5,27,38.6,35.3,-11.6,376.0,1426.0,370.0,68.0,1737.0,Premier League 2022-2023,premier league,2022-2023,2022
Crystal Palace,26,38.0,13395.0,17308.0,77.4,238779.0,88389.0,6005.0,6901.0,87.0,5794.0,6772.0,85.6,1309.0,2751.0,47.6,29,29.0,23.8,0.0,316.0,1013.0,239.0,51.0,1243.0,Premier League 2022-2023,premier league,2022-2023,2022
Everton,28,38.0,11790.0,15783.0,74.7,214056.0,82478.0,5336.0,6174.0,86.4,4771.0,5750.0,83.0,1366.0,2947.0,46.4,24,32.4,26.9,-8.4,308.0,964.0,224.0,67.0,1052.0,Premier League 2022-2023,premier league,2022-2023,2022
Fulham,29,38.0,13974.0,18014.0,77.6,255629.0,89303.0,5867.0,6818.0,86.1,6222.0,7333.0,84.8,1551.0,2860.0,54.2,33,28.5,23.7,4.5,306.0,1044.0,284.0,97.0,1326.0,Premier League 2022-2023,premier league,2022-2023,2022
Leeds United,29,38.0,12437.0,16924.0,73.5,206567.0,84295.0,6115.0,7225.0,84.6,4782.0,5973.0,80.1,1072.0,2528.0,42.4,31,31.8,27.3,-0.8,337.0,1086.0,270.0,70.0,1429.0,Premier League 2022-2023,premier league,2022-2023,2022
Leicester City,28,38.0,14887.0,18871.0,78.9,249219.0,89055.0,7245.0,8221.0,88.1,6087.0,7165.0,85.0,1165.0,2422.0,48.1,36,38.4,26.3,-2.4,319.0,1142.0,220.0,52.0,1304.0,Premier League 2022-2023,premier league,2022-2023,2022
Liverpool,28,38.0,20043.0,24361.0,82.3,352929.0,120466.0,9023.0,10114.0,89.2,8561.0,9758.0,87.7,1962.0,3283.0,59.8,58,55.6,52.3,2.4,458.0,1615.0,452.0,85.0,1992.0,Premier League 2022-2023,premier league,2022-2023,2022
Manchester City,24,38.0,23263.0,26642.0,87.3,396454.0,114920.0,11020.0,11888.0,92.7,9848.0,10836.0,90.9,1932.0,2849.0,67.8,69,57.5,57.6,11.5,464.0,1770.0,445.0,75.0,2073.0,Premier League 2022-2023,premier league,2022-2023,2022
Manchester Utd,26,38.0,16603.0,20525.0,80.9,276625.0,97026.0,8273.0,9294.0,89.0,6359.0,7306.0,87.0,1438.0,2651.0,54.2,42,52.2,44.6,-10.2,478.0,1268.0,398.0,57.0,1595.0,Premier League 2022-2023,premier league,2022-2023,2022
Newcastle Utd,27,38.0,13925.0,17837.0,78.1,246297.0,90893.0,6433.0,7370.0,87.3,5580.0,6605.0,84.5,1523.0,2774.0,54.9,42,51.8,45.0,-9.8,435.0,1083.0,403.0,64.0,1618.0,Premier League 2022-2023,premier league,2022-2023,2022
