Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,League,league_name,season,season_start
Bristol City,24,46.0,17083.0,22337.0,76.5,306276.0,108273.0,7291.0,8424.0,86.6,7841.0,9334.0,84.0,1573.0,3490.0,45.1,39,43.0,49.2,-4.0,460.0,1542.0,383.0,103.0,1776.0,Championship 2024-2025,championship,2024-2025,2024
Burnley,38,46.0,20211.0,24704.0,81.8,361498.0,113528.0,8619.0,9586.0,89.9,9360.0,10607.0,88.2,1824.0,3463.0,52.7,45,41.1,44.2,3.9,416.0,1420.0,347.0,91.0,1739.0,Championship 2024-2025,championship,2024-2025,2024
Cardiff City,33,46.0,14573.0,19561.0,74.5,264154.0,100822.0,6390.0,7474.0,85.5,6254.0,7723.0,81.0,1608.0,3332.0,48.3,31,33.0,34.0,-2.0,404.0,1235.0,273.0,94.0,1494.0,Championship 2024-2025,championship,2024-2025,2024
Coventry City,26,46.0,17595.0,22467.0,78.3,305069.0,110319.0,8074.0,9157.0,88.2,7538.0,8801.0,85.6,1523.0,3369.0,45.2,45,49.8,52.5,-4.8,457.0,1440.0,358.0,133.0,1703.0,Championship 2024-2025,championship,2024-2025,2024
Derby County,33,46.0,11757.0,17017.0,69.1,229053.0,89888.0,4576.0,5573.0,82.1,5283.0,6732.0,78.5,1632.0,3657.0,44.6,29,29.2,30.9,-0.2,311.0,931.0,247.0,110.0,1225.0,Championship 2024-2025,championship,2024-2025,2024
Hull City,37,46.0,17093.0,21724.0,78.7,297745.0,101163.0,7529.0,8537.0,88.2,7658.0,8916.0,85.9,1438.0,3059.0,47.0,25,38.2,38.9,-13.2,385.0,1196.0,349.0,112.0,1434.0,Championship 2024-2025,championship,2024-2025,2024
Leeds United,28,46.0,22829.0,27268.0,83.7,379483.0,125664.0,10764.0,11890.0,90.5,10067.0,11346.0,88.7,1456.0,2704.0,53.8,65,67.7,64.6,-2.7,562.0,1839.0,486.0,81.0,2236.0,Championship 2024-2025,championship,2024-2025,2024
Luton Town,37,46.0,12033.0,17305.0,69.5,228425.0,98109.0,5075.0,6142.0,82.6,4936.0,6253.0,78.9,1602.0,3778.0,42.4,30,36.1,39.7,-6.1,375.0,1061.0,337.0,94.0,1311.0,Championship 2024-2025,championship,2024-2025,2024
Middlesbrough,33,46.0,21092.0,25398.0,83.0,358742.0,119228.0,9913.0,10882.0,91.1,9058.0,10213.0,88.7,1660.0,3156.0,52.6,46,49.0,45.4,-3.0,525.0,1644.0,441.0,63.0,2109.0,Championship 2024-2025,championship,2024-2025,2024
Millwall,34,46.0,11166.0,16497.0,67.7,209601.0,85482.0,4677.0,5829.0,80.2,4601.0,5941.0,77.4,1492.0,3561.0,41.9,31,37.4,36.2,-6.4,381.0,965.0,271.0,101.0,1327.0,Championship 2024-2025,championship,2024-2025,2024
Norwich City,35,46.0,21888.0,26188.0,83.6,365797.0,121268.0,10522.0,11450.0,91.9,9405.0,10575.0,88.9,1506.0,3005.0,50.1,55,49.6,46.5,5.4,401.0,1336.0,328.0,64.0,1610.0,Championship 2024-2025,championship,2024-2025,2024
Oxford United,34,46.0,13729.0,18679.0,73.5,255325.0,94555.0,5638.0,6563.0,85.9,6204.0,7477.0,83.0,1570.0,3700.0,42.4,36,32.2,27.0,3.8,321.0,907.0,186.0,61.0,1032.0,Championship 2024-2025,championship,2024-2025,2024
Plymouth Argyle,34,46.0,12584.0,17416.0,72.3,238901.0,91266.0,4995.0,5965.0,83.7,5925.0,7212.0,82.2,1431.0,3386.0,42.3,28,27.6,26.3,0.4,304.0,903.0,212.0,53.0,1133.0,Championship 2024-2025,championship,2024-2025,2024
Portsmouth,37,46.0,11670.0,17391.0,67.1,223793.0,91737.0,4850.0,6034.0,80.4,5104.0,6681.0,76.4,1467.0,3745.0,39.2,35,35.1,35.4,-0.1,335.0,1055.0,273.0,104.0,1241.0,Championship 2024-2025,championship,2024-2025,2024
Preston,28,46.0,14756.0,19861.0,74.3,271838.0,108243.0,6390.0,7482.0,85.4,6335.0,7667.0,82.6,1691.0,3675.0,46.0,35,40.6,38.2,-5.6,378.0,1149.0,287.0,78.0,1377.0,Championship 2024-2025,championship,2024-2025,2024
QPR,30,46.0,14888.0,19648.0,75.8,268502.0,100767.0,6534.0,7570.0,86.3,6393.0,7682.0,83.2,1591.0,3409.0,46.7,34,35.5,34.3,-1.5,384.0,928.0,242.0,79.0,1210.0,Championship 2024-2025,championship,2024-2025,2024
Sheffield Utd,33,46.0,17024.0,21569.0,78.9,306523.0,114773.0,7522.0,8535.0,88.1,7355.0,8550.0,86.0,1764.0,3434.0,51.4,38,46.4,46.4,-8.4,431.0,1318.0,334.0,62.0,1632.0,Championship 2024-2025,championship,2024-2025,2024
Sheffield Weds,28,46.0,14615.0,19367.0,75.5,256847.0,99507.0,6683.0,7754.0,86.2,5995.0,7286.0,82.3,1472.0,3112.0,47.3,43,47.2,47.9,-4.2,446.0,949.0,374.0,107.0,1507.0,Championship 2024-2025,championship,2024-2025,2024
Stoke City,32,46.0,14510.0,19226.0,75.5,263762.0,96110.0,6014.0,6954.0,86.5,6685.0,7947.0,84.1,1452.0,3328.0,43.6,29,35.1,31.1,-6.1,319.0,1052.0,256.0,60.0,1299.0,Championship 2024-2025,championship,2024-2025,2024
Sunderland,30,46.0,16603.0,20874.0,79.5,306199.0,104184.0,6465.0,7485.0,86.4,7940.0,8976.0,88.5,1721.0,3228.0,53.3,37,40.3,40.9,-3.3,441.0,1475.0,361.0,86.0,1837.0,Championship 2024-2025,championship,2024-2025,2024
