Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,League
Le Havre,27,44.7,34.0,18820.0,2058.0,6332.0,8458.0,4240.0,620.0,18813.0,586.0,260.0,44.4,286.0,48.8,12860.0,70472.0,31489.0,457.0,446.0,114.0,453.0,284.0,11638.0,1189.0,Ligue 1 2023-2024
Lens,27,52.9,34.0,21677.0,1936.0,5779.0,10394.0,5721.0,811.0,21670.0,487.0,226.0,46.4,220.0,45.2,15840.0,89132.0,41093.0,609.0,612.0,113.0,527.0,317.0,14549.0,1611.0,Ligue 1 2023-2024
Lille,28,56.6,34.0,22824.0,2050.0,6613.0,11596.0,4827.0,761.0,22821.0,680.0,336.0,49.4,293.0,43.1,17241.0,94800.0,44141.0,650.0,532.0,190.0,468.0,310.0,16106.0,1453.0,Ligue 1 2023-2024
Lorient,38,46.3,34.0,20198.0,2448.0,6962.0,9140.0,4345.0,640.0,20197.0,691.0,341.0,49.3,316.0,45.7,14463.0,87600.0,40467.0,632.0,548.0,117.0,535.0,315.0,13141.0,1283.0,Ligue 1 2023-2024
Lyon,35,51.8,34.0,21623.0,2216.0,6779.0,9649.0,5437.0,865.0,21619.0,742.0,375.0,50.5,317.0,42.7,15991.0,90353.0,42599.0,683.0,550.0,196.0,525.0,352.0,14665.0,1577.0,Ligue 1 2023-2024
Marseille,33,53.7,34.0,21671.0,1889.0,6061.0,10285.0,5532.0,815.0,21667.0,548.0,260.0,47.4,244.0,44.5,15835.0,90152.0,42162.0,635.0,595.0,156.0,478.0,303.0,14559.0,1609.0,Ligue 1 2023-2024
Metz,30,35.6,34.0,15895.0,2067.0,5771.0,7135.0,3258.0,451.0,15889.0,655.0,290.0,44.3,336.0,51.3,10009.0,63084.0,27228.0,458.0,422.0,96.0,507.0,267.0,8739.0,899.0,Ligue 1 2023-2024
Monaco,30,53.6,34.0,22252.0,1983.0,5837.0,11000.0,5665.0,893.0,22247.0,593.0,301.0,50.8,255.0,43.0,16173.0,89004.0,38754.0,614.0,593.0,179.0,575.0,325.0,14692.0,1713.0,Ligue 1 2023-2024
Montpellier,31,44.6,34.0,18599.0,2267.0,6560.0,8239.0,4047.0,672.0,18592.0,621.0,293.0,47.2,283.0,45.6,12397.0,73315.0,34699.0,553.0,489.0,166.0,561.0,291.0,11076.0,1155.0,Ligue 1 2023-2024
Nantes,35,44.8,34.0,18988.0,2268.0,6241.0,8774.0,4159.0,639.0,18983.0,468.0,220.0,47.0,212.0,45.3,13293.0,73735.0,33515.0,569.0,438.0,141.0,520.0,254.0,12078.0,1229.0,Ligue 1 2023-2024
Nice,27,52.4,34.0,22006.0,2245.0,7341.0,10584.0,4353.0,741.0,21999.0,752.0,371.0,49.3,342.0,45.5,16643.0,94005.0,44283.0,661.0,624.0,153.0,553.0,341.0,15354.0,1226.0,Ligue 1 2023-2024
Paris S-G,29,65.2,34.0,27994.0,2331.0,7124.0,13880.0,7239.0,974.0,27985.0,815.0,401.0,49.2,364.0,44.7,22605.0,117789.0,57147.0,845.0,772.0,284.0,474.0,288.0,21336.0,1901.0,Ligue 1 2023-2024
Reims,29,50.4,34.0,20300.0,2235.0,6510.0,9331.0,4713.0,700.0,20296.0,660.0,329.0,49.8,297.0,45.0,14199.0,84533.0,39985.0,625.0,477.0,157.0,577.0,299.0,12862.0,1410.0,Ligue 1 2023-2024
Rennes,29,52.1,34.0,21300.0,2090.0,6252.0,9861.0,5426.0,794.0,21289.0,689.0,351.0,50.9,289.0,41.9,15567.0,92352.0,44323.0,606.0,634.0,144.0,500.0,334.0,14324.0,1625.0,Ligue 1 2023-2024
Strasbourg,30,44.3,34.0,18797.0,2315.0,6649.0,8525.0,3874.0,559.0,18793.0,639.0,318.0,49.8,277.0,43.3,13154.0,79743.0,36753.0,548.0,514.0,108.0,489.0,313.0,11914.0,1142.0,Ligue 1 2023-2024
Toulouse,26,48.4,34.0,20087.0,2092.0,6116.0,9591.0,4602.0,735.0,20078.0,592.0,289.0,48.8,265.0,44.8,13929.0,76303.0,35079.0,549.0,474.0,153.0,501.0,267.0,12883.0,1395.0,Ligue 1 2023-2024
Ajax,35,59.6,34.0,24780.0,2584.0,7457.0,11440.0,6102.0,1038.0,24774.0,683.0,333.0,48.8,294.0,43.0,15044.0,80162.0,40431.0,735.0,552.0,242.0,556.0,286.0,17518.0,1626.0,Eredivisie 2023-2024
Almere City,29,44.0,34.0,17586.0,2022.0,5730.0,7212.0,4861.0,702.0,17583.0,641.0,302.0,47.1,303.0,47.3,7732.0,41518.0,18337.0,421.0,289.0,155.0,642.0,331.0,8482.0,1105.0,Eredivisie 2023-2024
AZ Alkmaar,33,54.5,34.0,22329.0,2213.0,6732.0,10204.0,5596.0,949.0,22327.0,599.0,288.0,48.1,280.0,46.7,12758.0,70061.0,37853.0,656.0,469.0,206.0,557.0,292.0,15035.0,1548.0,Eredivisie 2023-2024
Excelsior,27,45.6,34.0,18982.0,2682.0,7586.0,7652.0,3947.0,601.0,18981.0,620.0,310.0,50.0,275.0,44.4,9995.0,57492.0,28533.0,574.0,366.0,167.0,522.0,277.0,11096.0,1026.0,Eredivisie 2023-2024
Feyenoord,25,61.8,34.0,24653.0,1672.0,6007.0,11485.0,7370.0,1359.0,24646.0,776.0,395.0,50.9,331.0,42.7,14844.0,81135.0,45943.0,924.0,609.0,318.0,561.0,351.0,17021.0,2075.0,Eredivisie 2023-2024
Fortuna Sittard,32,43.2,34.0,17477.0,1947.0,5954.0,7389.0,4346.0,758.0,17470.0,634.0,285.0,45.0,287.0,45.3,8619.0,50177.0,25523.0,547.0,366.0,118.0,502.0,250.0,9645.0,1089.0,Eredivisie 2023-2024
Go Ahead Eag,23,44.9,34.0,18725.0,2753.0,6629.0,7528.0,4728.0,798.0,18720.0,574.0,249.0,43.4,277.0,48.3,8916.0,47798.0,24380.0,521.0,306.0,160.0,541.0,272.0,10858.0,1223.0,Eredivisie 2023-2024
Heerenveen,26,49.7,34.0,20396.0,2438.0,6862.0,8883.0,4846.0,798.0,20388.0,693.0,300.0,43.3,321.0,46.3,11164.0,64864.0,35035.0,678.0,474.0,179.0,507.0,291.0,13029.0,1308.0,Eredivisie 2023-2024
Heracles Almelo,27,46.3,34.0,18640.0,2677.0,7162.0,7789.0,3879.0,598.0,18634.0,607.0,236.0,38.9,320.0,52.7,10043.0,58468.0,30708.0,576.0,386.0,142.0,519.0,264.0,11142.0,1070.0,Eredivisie 2023-2024
NEC Nijmegen,28,48.4,34.0,20289.0,2622.0,7085.0,9134.0,4276.0,692.0,20283.0,634.0,276.0,43.5,308.0,48.6,10653.0,60691.0,30846.0,555.0,405.0,136.0,587.0,312.0,12541.0,1202.0,Eredivisie 2023-2024
PSV Eindhoven,29,64.5,34.0,25496.0,1850.0,6233.0,11921.0,7556.0,1370.0,25487.0,789.0,404.0,51.2,317.0,40.2,14977.0,82491.0,45235.0,960.0,653.0,277.0,545.0,305.0,17953.0,2137.0,Eredivisie 2023-2024
RKC Waalwijk,26,45.3,34.0,18631.0,2738.0,7044.0,7496.0,4276.0,643.0,18626.0,588.0,254.0,43.2,276.0,46.9,9570.0,55896.0,29863.0,583.0,368.0,154.0,538.0,313.0,10716.0,1164.0,Eredivisie 2023-2024
Sparta R'dam,26,47.0,34.0,19212.0,2520.0,6900.0,8055.0,4452.0,759.0,19207.0,509.0,220.0,43.2,253.0,49.7,10366.0,59791.0,31122.0,523.0,341.0,123.0,506.0,233.0,11562.0,1265.0,Eredivisie 2023-2024
Twente,26,56.2,34.0,22297.0,2022.0,6541.0,9521.0,6398.0,1031.0,22294.0,567.0,245.0,43.2,281.0,49.6,11958.0,62681.0,31848.0,635.0,407.0,169.0,523.0,291.0,14479.0,1643.0,Eredivisie 2023-2024
Utrecht,35,48.4,34.0,19513.0,2199.0,6055.0,8874.0,4759.0,772.0,19512.0,500.0,238.0,47.6,217.0,43.4,10249.0,56240.0,28569.0,552.0,363.0,130.0,570.0,263.0,11744.0,1392.0,Eredivisie 2023-2024
Vitesse,31,50.3,34.0,19818.0,2463.0,6919.0,8644.0,4476.0,764.0,19817.0,684.0,307.0,44.9,330.0,48.2,10718.0,60754.0,29826.0,590.0,390.0,186.0,585.0,290.0,11975.0,1192.0,Eredivisie 2023-2024
Volendam,37,41.4,34.0,16966.0,2567.0,6618.0,6943.0,3572.0,561.0,16965.0,566.0,270.0,47.7,256.0,45.2,8446.0,51571.0,26116.0,510.0,372.0,108.0,504.0,265.0,9277.0,928.0,Eredivisie 2023-2024
Zwolle,29,49.0,34.0,19897.0,2822.0,7530.0,8507.0,4006.0,636.0,19895.0,447.0,213.0,47.7,195.0,43.6,10616.0,55573.0,27288.0,520.0,394.0,116.0,499.0,252.0,12275.0,1229.0,Eredivisie 2023-2024
Arouca,31,53.7,34.0,20905.0,2260.0,7250.0,9558.0,4276.0,558.0,20898.0,508.0,243.0,47.8,225.0,44.3,10904.0,54964.0,27955.0,473.0,352.0,105.0,480.0,255.0,13805.0,1306.0,Primeira Liga 2023-2024
Benfica,34,59.1,34.0,24432.0,1845.0,6243.0,11251.0,7197.0,1085.0,24426.0,773.0,369.0,47.7,352.0,45.5,13658.0,76250.0,40580.0,807.0,607.0,241.0,544.0,310.0,17122.0,1868.0,Primeira Liga 2023-2024
Boavista,23,48.2,34.0,18742.0,2038.0,6825.0,8514.0,3559.0,495.0,18737.0,520.0,223.0,42.9,260.0,50.0,9582.0,48631.0,23385.0,411.0,291.0,72.0,530.0,252.0,11651.0,1000.0,Primeira Liga 2023-2024
Braga,25,56.8,34.0,22609.0,1972.0,6552.0,10293.0,5932.0,952.0,22603.0,586.0,273.0,46.6,265.0,45.2,12669.0,62132.0,31308.0,601.0,444.0,149.0,542.0,270.0,15258.0,1664.0,Primeira Liga 2023-2024
Casa Pia,32,43.8,34.0,17791.0,2271.0,6767.0,7656.0,3557.0,481.0,17787.0,619.0,281.0,45.4,280.0,45.2,9050.0,50661.0,24830.0,472.0,306.0,105.0,598.0,271.0,10780.0,972.0,Primeira Liga 2023-2024
Chaves,31,43.8,34.0,17046.0,2077.0,6175.0,7639.0,3429.0,467.0,17040.0,534.0,254.0,47.6,238.0,44.6,8403.0,46069.0,22908.0,414.0,299.0,67.0,531.0,265.0,9961.0,917.0,Primeira Liga 2023-2024
Estoril,31,48.7,34.0,19136.0,2095.0,6711.0,8676.0,3943.0,631.0,19134.0,691.0,313.0,45.3,333.0,48.2,10553.0,58365.0,30478.0,570.0,444.0,125.0,526.0,287.0,12048.0,1052.0,Primeira Liga 2023-2024
Estrela,34,47.0,34.0,18594.0,2114.0,7050.0,8013.0,3740.0,608.0,18593.0,590.0,262.0,44.4,286.0,48.5,9084.0,46167.0,22322.0,405.0,284.0,113.0,567.0,269.0,10973.0,1046.0,Primeira Liga 2023-2024
Famalicão,27,47.1,34.0,18291.0,2235.0,7434.0,7356.0,3716.0,598.0,18286.0,690.0,342.0,49.6,273.0,39.6,9939.0,54147.0,26335.0,507.0,357.0,107.0,544.0,279.0,11142.0,968.0,Primeira Liga 2023-2024
Farense,25,42.4,34.0,17135.0,2595.0,6848.0,7046.0,3391.0,507.0,17128.0,454.0,209.0,46.0,213.0,46.9,7767.0,42405.0,20841.0,406.0,277.0,97.0,469.0,187.0,9306.0,932.0,Primeira Liga 2023-2024
Gil Vicente FC,31,49.3,34.0,19718.0,2249.0,7128.0,8671.0,4112.0,598.0,19710.0,589.0,281.0,47.7,248.0,42.1,10467.0,55371.0,28612.0,565.0,375.0,118.0,488.0,337.0,12429.0,1138.0,Primeira Liga 2023-2024
Moreirense,29,46.2,34.0,18755.0,2275.0,6895.0,8309.0,3737.0,540.0,18752.0,561.0,262.0,46.7,257.0,45.8,9797.0,50289.0,26038.0,503.0,355.0,118.0,556.0,263.0,11531.0,1047.0,Primeira Liga 2023-2024
Portimonense,31,44.7,34.0,17990.0,2247.0,6692.0,7922.0,3599.0,474.0,17984.0,610.0,277.0,45.4,279.0,45.7,9175.0,52324.0,25732.0,516.0,353.0,97.0,583.0,264.0,10297.0,968.0,Primeira Liga 2023-2024
Porto,32,63.1,34.0,22988.0,1726.0,5783.0,10752.0,6634.0,1185.0,22980.0,729.0,353.0,48.4,313.0,42.9,13096.0,72343.0,39335.0,819.0,524.0,241.0,517.0,254.0,16094.0,1856.0,Primeira Liga 2023-2024
Rio Ave,33,48.7,34.0,19527.0,2257.0,7291.0,8763.0,3670.0,549.0,19518.0,578.0,226.0,39.1,298.0,51.6,10066.0,51090.0,25454.0,451.0,327.0,83.0,559.0,248.0,12200.0,1075.0,Primeira Liga 2023-2024
Sporting CP,29,59.1,34.0,22840.0,1575.0,5540.0,11340.0,6143.0,1084.0,22835.0,682.0,297.0,43.5,323.0,47.4,14627.0,70866.0,37219.0,719.0,490.0,263.0,483.0,255.0,16169.0,1647.0,Primeira Liga 2023-2024
Vitória,27,48.6,34.0,18766.0,1700.0,5296.0,8761.0,4877.0,713.0,18757.0,506.0,219.0,43.3,254.0,50.2,9436.0,48116.0,23432.0,467.0,349.0,97.0,537.0,223.0,11217.0,1353.0,Primeira Liga 2023-2024
Vizela,31,49.6,34.0,19292.0,2145.0,6415.0,8607.0,4472.0,618.0,19288.0,547.0,248.0,45.3,250.0,45.7,10276.0,53639.0,25175.0,462.0,358.0,109.0,593.0,317.0,11912.0,1234.0,Primeira Liga 2023-2024
Birmingham City,30,44.1,46.0,24358.0,3186.0,9359.0,10021.0,5242.0,891.0,24355.0,899.0,392.0,43.6,436.0,48.5,12294.0,68858.0,32710.0,751.0,449.0,231.0,787.0,478.0,13714.0,1386.0,Championship 2023-2024
Blackburn,31,51.6,46.0,29899.0,3416.0,10820.0,12200.0,7146.0,1046.0,29898.0,693.0,334.0,48.2,318.0,45.9,16135.0,76356.0,38256.0,651.0,433.0,205.0,704.0,402.0,19490.0,2012.0,Championship 2023-2024
Bristol City,26,47.8,46.0,27589.0,3094.0,9199.0,12804.0,5861.0,874.0,27582.0,684.0,293.0,42.8,340.0,49.7,14376.0,74209.0,36950.0,731.0,481.0,188.0,686.0,342.0,17174.0,1509.0,Championship 2023-2024
Cardiff City,34,45.5,46.0,26343.0,3047.0,9815.0,11573.0,5210.0,707.0,26341.0,764.0,330.0,43.2,377.0,49.3,14097.0,67209.0,31039.0,629.0,450.0,184.0,691.0,330.0,16106.0,1301.0,Championship 2023-2024
Coventry City,26,51.3,46.0,29209.0,3250.0,9726.0,12668.0,7056.0,1009.0,29203.0,715.0,309.0,43.2,349.0,48.8,16189.0,82002.0,41495.0,809.0,566.0,226.0,807.0,428.0,19194.0,1951.0,Championship 2023-2024
Huddersfield,33,40.0,46.0,22134.0,2787.0,7621.0,9633.0,5166.0,862.0,22133.0,679.0,293.0,43.2,310.0,45.7,10618.0,61089.0,30720.0,657.0,397.0,160.0,740.0,333.0,11518.0,1302.0,Championship 2023-2024
Hull City,33,55.4,46.0,32275.0,3755.0,12134.0,13889.0,6502.0,976.0,32268.0,862.0,375.0,43.5,413.0,47.9,19441.0,89809.0,44697.0,815.0,527.0,282.0,675.0,398.0,22754.0,1626.0,Championship 2023-2024
Ipswich Town,32,53.0,46.0,29209.0,3151.0,10091.0,12409.0,7000.0,1207.0,29206.0,696.0,307.0,44.1,332.0,47.7,16167.0,86178.0,43668.0,843.0,539.0,252.0,720.0,385.0,18954.0,1888.0,Championship 2023-2024
Leeds United,33,58.2,46.0,31627.0,2570.0,9528.0,14625.0,7788.0,1342.0,31618.0,1021.0,470.0,46.0,472.0,46.2,18593.0,104370.0,54991.0,1025.0,632.0,353.0,785.0,453.0,21885.0,2093.0,Championship 2023-2024
Leicester City,27,61.6,46.0,35527.0,3018.0,10563.0,17169.0,8090.0,1283.0,35514.0,875.0,407.0,46.5,384.0,43.9,21506.0,108756.0,58904.0,1039.0,672.0,310.0,736.0,367.0,26193.0,2205.0,Championship 2023-2024
Middlesbrough,35,52.9,46.0,31224.0,3051.0,10037.0,13930.0,7487.0,1108.0,31219.0,780.0,329.0,42.2,389.0,49.9,18146.0,89419.0,45973.0,924.0,590.0,250.0,685.0,440.0,21540.0,2037.0,Championship 2023-2024
Millwall,27,42.3,46.0,23814.0,2563.0,8182.0,10536.0,5326.0,823.0,23812.0,661.0,295.0,44.6,314.0,47.5,11465.0,59541.0,27621.0,568.0,424.0,141.0,731.0,373.0,13040.0,1277.0,Championship 2023-2024
Norwich City,31,49.3,46.0,28292.0,3415.0,11075.0,11790.0,5701.0,910.0,28289.0,744.0,325.0,43.7,362.0,48.7,15982.0,84377.0,43346.0,774.0,505.0,183.0,727.0,317.0,18385.0,1566.0,Championship 2023-2024
Plymouth Argyle,31,45.0,46.0,25119.0,3747.0,10087.0,10072.0,5204.0,854.0,25118.0,731.0,317.0,43.4,346.0,47.3,12825.0,73307.0,35956.0,774.0,463.0,248.0,697.0,364.0,14863.0,1454.0,Championship 2023-2024
Preston,28,44.6,46.0,24605.0,2536.0,7730.0,11518.0,5610.0,747.0,24602.0,646.0,302.0,46.7,296.0,45.8,11906.0,60713.0,27234.0,567.0,426.0,163.0,701.0,360.0,13496.0,1295.0,Championship 2023-2024
QPR,30,46.3,46.0,25536.0,3261.0,9844.0,10063.0,5859.0,892.0,25534.0,734.0,361.0,49.2,333.0,45.4,12559.0,67983.0,32475.0,739.0,454.0,220.0,676.0,383.0,15430.0,1306.0,Championship 2023-2024
Rotherham Utd,35,37.2,46.0,20765.0,2988.0,7647.0,8575.0,4762.0,606.0,20763.0,529.0,234.0,44.2,262.0,49.5,9736.0,52772.0,23264.0,498.0,364.0,88.0,674.0,348.0,10384.0,942.0,Championship 2023-2024
Sheffield Weds,33,43.4,46.0,23911.0,3126.0,9177.0,9849.0,5149.0,815.0,23911.0,823.0,366.0,44.5,396.0,48.1,11652.0,59435.0,28842.0,609.0,417.0,162.0,775.0,375.0,13439.0,1229.0,Championship 2023-2024
Southampton,28,65.5,46.0,37469.0,3244.0,10335.0,17834.0,9578.0,1509.0,37464.0,946.0,437.0,46.2,425.0,44.9,22864.0,118319.0,64376.0,1203.0,759.0,340.0,631.0,373.0,28477.0,2543.0,Championship 2023-2024
Stoke City,35,50.6,46.0,27199.0,2894.0,8778.0,11893.0,6771.0,986.0,27195.0,669.0,299.0,44.7,318.0,47.5,14089.0,73686.0,34683.0,714.0,468.0,197.0,743.0,395.0,16371.0,1859.0,Championship 2023-2024
Sunderland,32,55.4,46.0,30540.0,2915.0,9829.0,13706.0,7310.0,1163.0,30534.0,1014.0,482.0,47.5,450.0,44.4,18216.0,102714.0,51950.0,1066.0,715.0,366.0,757.0,428.0,20810.0,1988.0,Championship 2023-2024
Swansea City,30,54.8,46.0,29990.0,3165.0,10573.0,13546.0,6107.0,861.0,29983.0,716.0,293.0,40.9,356.0,49.7,16535.0,89487.0,44909.0,818.0,517.0,158.0,699.0,361.0,19865.0,1667.0,Championship 2023-2024
Watford,27,51.9,46.0,28456.0,2985.0,9619.0,12531.0,6567.0,971.0,28455.0,838.0,388.0,46.3,393.0,46.9,15728.0,86722.0,43494.0,828.0,563.0,237.0,791.0,404.0,18288.0,1850.0,Championship 2023-2024
West Brom,28,52.2,46.0,28422.0,2958.0,9482.0,12477.0,6702.0,891.0,28417.0,782.0,340.0,43.5,378.0,48.3,15777.0,86231.0,43824.0,854.0,582.0,185.0,719.0,400.0,18813.0,1673.0,Championship 2023-2024
Aberdeen,25,49.0,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2023-2024
Celtic,34,69.2,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2023-2024
Dundee,29,43.8,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2023-2024
Hearts,30,55.0,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2023-2024
Hibernian,37,53.1,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2023-2024
Kilmarnock,26,45.1,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2023-2024
Livingston,31,43.6,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2023-2024
Motherwell,30,45.7,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2023-2024
Rangers,32,62.6,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2023-2024
Ross County,30,44.4,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2023-2024
St Johnstone,31,43.6,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2023-2024
St Mirren,25,45.3,38.0,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership 2023-2024
Augsburg,34,41.7,34.0,16607.0,2548.0,6859.0,6323.0,3604.0,574.0,16602.0,491.0,202.0,41.1,234.0,47.7,7744.0,41189.0,20165.0,331.0,241.0,70.0,490.0,266.0,8309.0,831.0,Bundesliga 2022-2023
Bayern Munich,28,64.2,34.0,26741.0,2210.0,7657.0,12339.0,6998.0,1185.0,26736.0,912.0,466.0,51.1,362.0,39.7,17141.0,88991.0,44959.0,863.0,577.0,286.0,601.0,354.0,19261.0,2019.0,Bundesliga 2022-2023
Bochum,26,46.1,34.0,17478.0,2270.0,6243.0,7442.0,3956.0,661.0,17475.0,420.0,175.0,41.7,195.0,46.4,7951.0,40250.0,18371.0,350.0,274.0,86.0,500.0,258.0,9060.0,1007.0,Bundesliga 2022-2023
Dortmund,30,58.2,34.0,23758.0,2099.0,7166.0,10816.0,6011.0,944.0,23752.0,879.0,415.0,47.2,366.0,41.6,14458.0,75809.0,39242.0,783.0,514.0,205.0,483.0,356.0,16318.0,1614.0,Bundesliga 2022-2023
Eint Frankfurt,28,52.9,34.0,21945.0,2034.0,6815.0,10478.0,4867.0,850.0,21939.0,695.0,292.0,42.0,331.0,47.6,12138.0,61277.0,31167.0,632.0,431.0,220.0,533.0,293.0,13832.0,1361.0,Bundesliga 2022-2023
Freiburg,27,48.1,34.0,19068.0,2247.0,6546.0,8368.0,4296.0,723.0,19060.0,483.0,216.0,44.7,200.0,41.4,10112.0,53575.0,25969.0,427.0,297.0,108.0,444.0,240.0,11445.0,1027.0,Bundesliga 2022-2023
Gladbach,27,53.7,34.0,22583.0,2744.0,8415.0,10217.0,4133.0,720.0,22577.0,548.0,240.0,43.8,226.0,41.2,13046.0,62465.0,31728.0,518.0,396.0,143.0,493.0,304.0,15408.0,1159.0,Bundesliga 2022-2023
Hertha BSC,32,42.0,34.0,17023.0,2095.0,6263.0,7457.0,3531.0,612.0,17016.0,711.0,323.0,45.4,316.0,44.4,8139.0,43026.0,19959.0,413.0,269.0,132.0,521.0,301.0,8796.0,905.0,Bundesliga 2022-2023
Hoffenheim,31,48.3,34.0,19434.0,2364.0,6926.0,8417.0,4271.0,705.0,19425.0,577.0,249.0,43.2,268.0,46.4,10627.0,53164.0,25890.0,457.0,330.0,138.0,551.0,258.0,11634.0,1168.0,Bundesliga 2022-2023
Köln,27,49.9,34.0,20320.0,2232.0,7198.0,8697.0,4630.0,751.0,20316.0,521.0,226.0,43.4,236.0,45.3,11017.0,58246.0,28164.0,522.0,383.0,117.0,485.0,287.0,12123.0,1240.0,Bundesliga 2022-2023
Leverkusen,27,52.0,34.0,21877.0,2184.0,7160.0,10575.0,4338.0,702.0,21870.0,714.0,352.0,49.3,268.0,37.5,12070.0,67165.0,36395.0,678.0,469.0,187.0,524.0,327.0,14558.0,1232.0,Bundesliga 2022-2023
Mainz 05,27,44.8,34.0,18471.0,1946.0,6200.0,8219.0,4257.0,780.0,18465.0,495.0,224.0,45.3,220.0,44.4,9265.0,44936.0,20625.0,364.0,275.0,106.0,552.0,251.0,9946.0,1139.0,Bundesliga 2022-2023
RB Leipzig,25,58.1,34.0,24322.0,2220.0,7782.0,11436.0,5327.0,834.0,24315.0,697.0,345.0,49.5,270.0,38.7,15273.0,73350.0,36506.0,599.0,440.0,168.0,525.0,316.0,16801.0,1437.0,Bundesliga 2022-2023
Schalke 04,35,46.0,34.0,17260.0,2252.0,6541.0,7024.0,3912.0,677.0,17255.0,515.0,198.0,38.4,250.0,48.5,8384.0,42807.0,19961.0,415.0,295.0,66.0,513.0,274.0,9126.0,928.0,Bundesliga 2022-2023
Stuttgart,30,50.2,34.0,20930.0,2407.0,7525.0,9226.0,4438.0,738.0,20925.0,734.0,337.0,45.9,319.0,43.5,11707.0,63068.0,31698.0,609.0,440.0,161.0,563.0,336.0,13345.0,1261.0,Bundesliga 2022-2023
Union Berlin,28,43.8,34.0,17952.0,2108.0,6656.0,7246.0,4222.0,622.0,17945.0,415.0,182.0,43.9,180.0,43.4,9245.0,45321.0,21951.0,375.0,228.0,90.0,435.0,244.0,10177.0,990.0,Bundesliga 2022-2023
Werder Bremen,25,49.3,34.0,20465.0,2390.0,7294.0,9382.0,3965.0,671.0,20459.0,516.0,233.0,45.2,228.0,44.2,10736.0,52169.0,25197.0,412.0,317.0,104.0,503.0,246.0,12329.0,1130.0,Bundesliga 2022-2023
Wolfsburg,28,50.6,34.0,20053.0,2304.0,7013.0,8781.0,4423.0,694.0,20046.0,600.0,256.0,42.7,268.0,44.7,11350.0,55720.0,28117.0,455.0,301.0,103.0,560.0,272.0,12444.0,1294.0,Bundesliga 2022-2023
Arsenal,26,59.3,38.0,25910.0,1994.0,6632.0,11453.0,8015.0,1296.0,25906.0,758.0,358.0,47.2,290.0,38.3,15923.0,83916.0,44184.0,824.0,584.0,281.0,526.0,378.0,18101.0,2024.0,Premier League 2022-2023
Aston Villa,26,49.3,38.0,21500.0,2783.0,7912.0,9077.0,4705.0,746.0,21495.0,682.0,293.0,43.0,279.0,40.9,12295.0,65580.0,33150.0,637.0,434.0,174.0,565.0,371.0,13587.0,1227.0,Premier League 2022-2023
Bournemouth,31,40.4,38.0,19950.0,2934.0,8004.0,7933.0,4256.0,699.0,19950.0,743.0,329.0,44.3,344.0,46.3,10340.0,55360.0,27431.0,504.0,389.0,144.0,589.0,367.0,11617.0,986.0,Premier League 2022-2023
Brentford,25,43.8,38.0,19749.0,2632.0,7290.0,7803.0,4835.0,827.0,19741.0,600.0,267.0,44.5,248.0,41.3,10409.0,49018.0,23993.0,392.0,300.0,102.0,520.0,336.0,11203.0,1121.0,Premier League 2022-2023
Brighton,29,60.2,38.0,26728.0,2471.0,7844.0,12213.0,6873.0,1102.0,26722.0,726.0,345.0,47.5,279.0,38.4,16331.0,83718.0,43965.0,809.0,547.0,250.0,558.0,324.0,18991.0,1828.0,Premier League 2022-2023
Chelsea,32,58.7,38.0,27166.0,2564.0,8461.0,12057.0,6850.0,958.0,27163.0,838.0,380.0,45.3,352.0,42.0,16538.0,83509.0,43596.0,829.0,622.0,216.0,568.0,381.0,19065.0,1729.0,Premier League 2022-2023
Crystal Palace,26,46.3,38.0,21713.0,2580.0,7668.0,9275.0,4991.0,766.0,21710.0,784.0,367.0,46.8,314.0,40.1,11687.0,60301.0,30015.0,556.0,393.0,206.0,643.0,457.0,13304.0,1238.0,Premier League 2022-2023
Everton,28,42.8,38.0,20233.0,2527.0,7219.0,8418.0,4830.0,742.0,20229.0,674.0,310.0,46.0,296.0,43.9,10479.0,56737.0,27858.0,500.0,391.0,137.0,605.0,300.0,11708.0,1042.0,Premier League 2022-2023
Fulham,29,48.8,38.0,22162.0,2563.0,7462.0,9525.0,5416.0,758.0,22153.0,607.0,281.0,46.3,238.0,39.2,12252.0,68216.0,35374.0,663.0,474.0,124.0,535.0,379.0,13848.0,1316.0,Premier League 2022-2023
