Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League
vs Manchester Utd,1,38.0,58.0,3.0,0.0,3.0,2.0,63.8,0.3,7.8,0.21,215.0,556.0,38.7,1198.0,189.0,35.6,32.3,291.0,44.7,36.9,406.0,19.0,4.7,64.0,1.68,18.2,Premier League 2022-2023
vs Newcastle Utd,2,38.0,68.0,6.0,1.0,6.0,4.0,66.5,0.32,2.5,0.07,222.0,736.0,30.2,1064.0,195.0,48.9,38.7,316.0,68.4,48.3,580.0,55.0,9.5,51.0,1.34,14.2,Premier League 2022-2023
vs Nott'ham Forest,3,38.0,38.0,3.0,0.0,4.0,2.0,32.9,0.23,-3.1,-0.08,97.0,280.0,34.6,905.0,192.0,23.4,28.4,231.0,29.4,30.0,416.0,27.0,6.5,49.0,1.29,15.4,Premier League 2022-2023
vs Southampton,2,38.0,36.0,2.0,3.0,5.0,0.0,36.1,0.25,0.1,0.0,161.0,428.0,37.6,1037.0,186.0,30.3,31.3,241.0,47.3,40.0,475.0,32.0,6.7,50.0,1.32,15.9,Premier League 2022-2023
vs Tottenham,2,38.0,70.0,5.0,1.0,13.0,2.0,56.6,0.27,-11.4,-0.3,184.0,611.0,30.1,997.0,169.0,45.6,37.3,248.0,62.9,45.3,530.0,30.0,5.7,60.0,1.58,15.7,Premier League 2022-2023
vs West Ham,2,38.0,42.0,6.0,0.0,10.0,1.0,40.1,0.24,-0.9,-0.02,140.0,432.0,32.4,1077.0,176.0,29.6,31.1,268.0,42.2,36.4,595.0,35.0,5.9,54.0,1.42,14.7,Premier League 2022-2023
vs Wolves,2,38.0,31.0,3.0,0.0,4.0,3.0,28.6,0.21,0.6,0.02,158.0,450.0,35.1,964.0,166.0,35.1,33.2,245.0,45.7,37.3,509.0,30.0,5.9,72.0,1.89,18.6,Premier League 2022-2023
vs Almería,3,38.0,49.0,2.0,1.0,11.0,0.0,43.2,0.27,-5.8,-0.15,187.0,493.0,37.9,931.0,166.0,36.8,35.4,267.0,56.2,45.0,453.0,36.0,7.9,50.0,1.32,16.4,La Liga 2022-2023
vs Athletic Club,2,38.0,47.0,5.0,1.0,2.0,1.0,52.0,0.28,6.0,0.16,271.0,721.0,37.6,1128.0,211.0,44.9,37.7,363.0,59.0,46.8,703.0,44.0,6.3,43.0,1.13,13.5,La Liga 2022-2023
vs Atlético Madrid,3,38.0,70.0,1.0,0.0,8.0,2.0,62.5,0.32,-5.5,-0.14,199.0,468.0,42.5,1002.0,189.0,33.1,34.2,298.0,45.6,40.7,497.0,32.0,6.4,66.0,1.74,15.6,La Liga 2022-2023
vs Barcelona,2,38.0,70.0,0.0,0.0,4.0,1.0,63.6,0.34,-5.4,-0.14,287.0,724.0,39.6,923.0,149.0,52.2,41.2,387.0,62.5,47.0,561.0,26.0,4.6,50.0,1.32,15.5,La Liga 2022-2023
vs Betis,2,38.0,46.0,8.0,1.0,5.0,3.0,48.6,0.27,5.6,0.15,186.0,449.0,41.4,944.0,160.0,33.3,33.5,271.0,49.8,42.6,400.0,17.0,4.3,37.0,0.97,16.7,La Liga 2022-2023
vs Cádiz,2,38.0,30.0,4.0,0.0,1.0,1.0,32.7,0.26,3.7,0.1,219.0,518.0,42.3,948.0,194.0,36.7,34.5,323.0,52.6,42.6,519.0,39.0,7.5,55.0,1.45,15.3,La Liga 2022-2023
vs Celta Vigo,2,38.0,43.0,2.0,0.0,3.0,2.0,42.7,0.25,1.7,0.04,208.0,523.0,39.8,950.0,142.0,37.8,36.3,279.0,58.8,45.2,559.0,29.0,5.2,26.0,0.68,12.5,La Liga 2022-2023
vs Elche,2,38.0,30.0,4.0,0.0,7.0,0.0,33.4,0.23,3.4,0.09,202.0,487.0,41.5,898.0,133.0,34.7,34.0,284.0,61.6,46.4,581.0,26.0,4.5,29.0,0.76,13.1,La Liga 2022-2023
vs Espanyol,4,38.0,52.0,5.0,0.0,9.0,1.0,50.2,0.29,-0.8,-0.02,199.0,501.0,39.7,937.0,195.0,35.9,35.2,310.0,53.2,42.2,542.0,38.0,7.0,33.0,0.87,13.4,La Liga 2022-2023
vs Getafe,1,38.0,34.0,5.0,2.0,2.0,0.0,36.4,0.25,2.4,0.06,217.0,582.0,37.3,1110.0,169.0,39.1,36.2,250.0,59.2,46.4,512.0,32.0,6.3,51.0,1.34,16.6,La Liga 2022-2023
vs Girona,2,38.0,58.0,8.0,0.0,3.0,3.0,51.2,0.25,-3.8,-0.1,219.0,563.0,38.9,925.0,133.0,41.3,36.9,292.0,62.0,47.7,568.0,27.0,4.8,37.0,0.97,14.8,La Liga 2022-2023
vs Mallorca,3,38.0,37.0,4.0,0.0,7.0,1.0,32.3,0.25,-3.7,-0.1,156.0,454.0,34.4,857.0,183.0,34.1,33.8,235.0,68.9,50.0,486.0,32.0,6.6,37.0,0.97,13.9,La Liga 2022-2023
vs Osasuna,2,38.0,37.0,4.0,0.0,4.0,1.0,36.6,0.24,0.6,0.02,197.0,564.0,34.9,1096.0,178.0,35.7,34.4,325.0,53.2,43.6,649.0,45.0,6.9,49.0,1.29,15.1,La Liga 2022-2023
vs Rayo Vallecano,2,38.0,45.0,4.0,2.0,4.0,4.0,38.0,0.21,-3.0,-0.08,253.0,634.0,39.9,1048.0,159.0,41.1,37.5,329.0,61.7,47.8,622.0,26.0,4.2,51.0,1.34,17.6,La Liga 2022-2023
vs Real Madrid,2,38.0,75.0,9.0,3.0,9.0,2.0,67.6,0.27,-5.4,-0.14,237.0,594.0,39.9,864.0,152.0,42.8,38.1,351.0,63.8,48.2,448.0,27.0,6.0,21.0,0.55,12.2,La Liga 2022-2023
vs Real Sociedad,1,38.0,51.0,2.0,1.0,4.0,4.0,53.4,0.29,6.4,0.17,221.0,736.0,30.0,1144.0,158.0,46.7,39.4,301.0,67.1,49.9,422.0,29.0,6.9,40.0,1.05,16.1,La Liga 2022-2023
vs Sevilla,2,38.0,47.0,4.0,0.0,7.0,0.0,43.2,0.28,-3.8,-0.1,202.0,590.0,34.2,991.0,176.0,40.7,36.3,327.0,57.2,44.2,649.0,28.0,4.3,39.0,1.03,13.8,La Liga 2022-2023
vs Valencia,1,38.0,42.0,5.0,1.0,3.0,2.0,46.9,0.28,6.9,0.18,217.0,594.0,36.5,951.0,159.0,44.0,37.7,323.0,54.5,44.8,701.0,42.0,6.0,35.0,0.92,12.8,La Liga 2022-2023
vs Valladolid,3,38.0,33.0,3.0,0.0,4.0,1.0,34.2,0.22,2.2,0.06,250.0,605.0,41.3,902.0,152.0,43.6,37.8,323.0,65.6,49.9,527.0,18.0,3.4,45.0,1.18,17.1,La Liga 2022-2023
vs Villarreal,3,38.0,59.0,4.0,1.0,5.0,2.0,60.0,0.29,3.0,0.08,233.0,548.0,42.5,850.0,148.0,42.9,37.8,300.0,61.0,47.4,394.0,22.0,5.6,41.0,1.08,14.9,La Liga 2022-2023
vs Atalanta,3,38.0,66.0,6.0,0.0,7.0,2.0,56.1,0.28,-7.9,-0.21,217.0,620.0,35.0,1301.0,177.0,38.0,35.9,331.0,37.8,35.5,500.0,18.0,3.6,55.0,1.45,16.1,Serie A 2022-2023
vs Bologna,2,38.0,53.0,6.0,0.0,9.0,1.0,44.1,0.25,-7.9,-0.21,229.0,600.0,38.2,981.0,168.0,44.9,37.5,316.0,50.6,41.0,440.0,22.0,5.0,46.0,1.21,16.2,Serie A 2022-2023
vs Cremonese,3,38.0,36.0,5.0,0.0,2.0,1.0,33.4,0.21,-1.6,-0.04,161.0,422.0,38.2,990.0,196.0,31.0,33.8,324.0,35.5,34.4,517.0,30.0,5.8,34.0,0.89,14.9,Serie A 2022-2023
vs Empoli,3,38.0,37.0,2.0,1.0,5.0,2.0,30.9,0.23,-4.1,-0.11,147.0,386.0,38.1,919.0,172.0,31.2,33.9,278.0,35.6,35.2,459.0,15.0,3.3,32.0,0.84,14.6,Serie A 2022-2023
vs Fiorentina,4,38.0,53.0,4.0,2.0,8.0,2.0,50.5,0.26,-0.5,-0.01,267.0,756.0,35.3,1241.0,193.0,44.9,38.2,372.0,53.5,42.2,677.0,37.0,5.5,30.0,0.79,12.3,Serie A 2022-2023
vs Hellas Verona,2,38.0,31.0,1.0,0.0,5.0,2.0,30.6,0.26,1.6,0.04,257.0,729.0,35.3,1210.0,151.0,47.3,38.7,327.0,48.0,37.9,494.0,27.0,5.5,43.0,1.13,15.4,Serie A 2022-2023
vs Inter,3,38.0,71.0,4.0,2.0,6.0,3.0,63.3,0.3,-4.7,-0.12,185.0,563.0,32.9,961.0,180.0,38.6,37.1,359.0,53.5,43.4,705.0,30.0,4.3,20.0,0.53,11.0,Serie A 2022-2023
vs Juventus,2,38.0,56.0,3.0,4.0,11.0,0.0,51.7,0.28,-4.3,-0.11,183.0,445.0,41.1,906.0,164.0,34.4,34.8,313.0,42.5,37.6,568.0,17.0,3.0,31.0,0.82,14.6,Serie A 2022-2023
vs Lazio,2,38.0,60.0,6.0,1.0,5.0,1.0,57.4,0.3,-1.6,-0.04,182.0,445.0,40.9,1224.0,168.0,27.9,30.6,254.0,40.6,37.2,382.0,21.0,5.5,47.0,1.24,14.4,Serie A 2022-2023
vs Lecce,1,38.0,33.0,4.0,0.0,5.0,2.0,30.1,0.23,-0.9,-0.02,183.0,486.0,37.7,1098.0,208.0,34.2,33.4,330.0,33.6,32.6,536.0,32.0,6.0,38.0,1.0,15.9,Serie A 2022-2023
vs Milan,3,38.0,64.0,5.0,1.0,5.0,3.0,60.8,0.31,-0.2,0.0,189.0,548.0,34.5,889.0,191.0,42.6,37.6,327.0,51.7,42.2,538.0,25.0,4.6,42.0,1.11,14.2,Serie A 2022-2023
vs Monza,2,38.0,48.0,5.0,2.0,3.0,2.0,42.2,0.25,-3.8,-0.1,153.0,379.0,40.4,925.0,156.0,30.8,33.7,263.0,35.7,35.1,458.0,26.0,5.7,48.0,1.26,16.3,Serie A 2022-2023
vs Napoli,2,38.0,77.0,8.0,0.0,16.0,2.0,63.7,0.25,-11.3,-0.3,207.0,628.0,33.0,1015.0,171.0,43.8,37.4,356.0,51.4,41.0,530.0,16.0,3.0,26.0,0.68,12.6,Serie A 2022-2023
vs Roma,2,38.0,50.0,7.0,0.0,8.0,0.0,50.4,0.27,0.4,0.01,162.0,491.0,33.0,1056.0,180.0,33.3,35.0,284.0,48.9,40.3,473.0,26.0,5.5,57.0,1.5,15.4,Serie A 2022-2023
vs Salernitana,3,38.0,48.0,2.0,1.0,5.0,2.0,39.0,0.32,-7.0,-0.18,121.0,387.0,31.3,928.0,167.0,32.5,33.7,247.0,34.4,32.7,434.0,23.0,5.3,42.0,1.11,15.9,Serie A 2022-2023
vs Sampdoria,3,38.0,24.0,1.0,0.0,3.0,1.0,26.2,0.21,3.2,0.08,159.0,449.0,35.4,999.0,163.0,36.3,34.7,249.0,34.5,34.9,483.0,27.0,5.6,28.0,0.74,13.9,Serie A 2022-2023
vs Sassuolo,3,38.0,47.0,9.0,1.0,5.0,1.0,48.1,0.23,2.1,0.06,197.0,491.0,40.1,1111.0,195.0,32.9,32.5,316.0,39.9,34.5,471.0,17.0,3.6,25.0,0.66,13.9,Serie A 2022-2023
vs Spezia,4,38.0,31.0,4.0,1.0,3.0,2.0,31.8,0.23,2.8,0.07,155.0,483.0,32.1,950.0,163.0,36.0,36.0,299.0,47.2,40.8,503.0,27.0,5.4,55.0,1.45,15.6,Serie A 2022-2023
vs Torino,1,38.0,42.0,2.0,0.0,2.0,1.0,44.2,0.29,3.2,0.08,244.0,657.0,37.1,1157.0,171.0,44.3,37.9,302.0,47.7,37.9,477.0,22.0,4.6,17.0,0.45,12.3,Serie A 2022-2023
vs Udinese,1,38.0,47.0,1.0,1.0,4.0,1.0,40.4,0.26,-5.6,-0.15,140.0,390.0,35.9,816.0,169.0,35.0,35.5,289.0,36.0,34.3,440.0,26.0,5.9,40.0,1.05,14.6,Serie A 2022-2023
vs Ajaccio,3,38.0,23.0,6.0,0.0,3.0,1.0,30.0,0.25,8.0,0.21,156.0,414.0,37.7,926.0,154.0,31.7,33.1,245.0,49.0,39.5,504.0,31.0,6.2,28.0,0.74,13.4,Ligue 1 2022-2023
vs Angers,2,38.0,33.0,4.0,1.0,3.0,2.0,36.6,0.26,5.6,0.15,156.0,440.0,35.5,914.0,138.0,34.1,34.0,252.0,50.8,39.7,466.0,41.0,8.8,30.0,0.79,12.9,Ligue 1 2022-2023
vs Auxerre,3,38.0,35.0,7.0,1.0,5.0,3.0,32.3,0.2,0.3,0.01,174.0,400.0,43.5,886.0,167.0,31.6,31.2,281.0,42.7,35.8,494.0,29.0,5.9,37.0,0.97,14.2,Ligue 1 2022-2023
vs Brest,2,38.0,44.0,7.0,1.0,10.0,1.0,37.0,0.22,-6.0,-0.16,125.0,382.0,32.7,858.0,182.0,32.9,31.7,283.0,35.3,33.9,625.0,49.0,7.8,27.0,0.71,10.9,Ligue 1 2022-2023
vs Clermont Foot,2,38.0,45.0,7.0,0.0,5.0,1.0,49.8,0.3,5.8,0.15,121.0,326.0,37.1,882.0,189.0,26.2,30.4,236.0,40.3,36.6,443.0,25.0,5.6,27.0,0.71,13.4,Ligue 1 2022-2023
vs Lens,2,38.0,68.0,6.0,0.0,3.0,2.0,61.6,0.29,-4.4,-0.12,168.0,510.0,32.9,864.0,155.0,39.9,35.2,326.0,50.6,39.3,637.0,33.0,5.2,35.0,0.92,12.0,Ligue 1 2022-2023
vs Lille,2,38.0,65.0,11.0,0.0,7.0,0.0,64.9,0.27,-0.1,0.0,230.0,620.0,37.1,1095.0,169.0,42.9,37.2,290.0,51.7,41.3,521.0,19.0,3.6,31.0,0.82,12.9,Ligue 1 2022-2023
vs Lorient,2,38.0,52.0,4.0,3.0,8.0,3.0,43.7,0.25,-5.3,-0.14,147.0,341.0,43.1,736.0,155.0,32.6,33.2,222.0,45.5,37.2,346.0,17.0,4.9,39.0,1.03,15.2,Ligue 1 2022-2023
vs Lyon,2,38.0,65.0,6.0,2.0,7.0,2.0,62.7,0.28,-0.3,-0.01,188.0,487.0,38.6,944.0,167.0,38.5,35.4,258.0,48.1,37.0,522.0,32.0,6.1,36.0,0.95,13.1,Ligue 1 2022-2023
vs Marseille,2,38.0,67.0,6.0,2.0,11.0,6.0,55.5,0.28,-5.5,-0.15,243.0,717.0,33.9,1024.0,150.0,51.3,39.9,309.0,62.1,44.8,591.0,33.0,5.6,25.0,0.66,10.7,Ligue 1 2022-2023
vs Monaco,1,38.0,70.0,5.0,1.0,10.0,1.0,69.2,0.3,0.2,0.01,153.0,460.0,33.3,1120.0,206.0,31.8,32.1,256.0,40.6,35.2,514.0,38.0,7.4,26.0,0.68,11.9,Ligue 1 2022-2023
vs Montpellier,4,38.0,65.0,7.0,2.0,7.0,1.0,56.0,0.29,-8.0,-0.21,158.0,371.0,42.6,823.0,175.0,28.8,31.3,261.0,51.3,41.2,507.0,29.0,5.7,48.0,1.26,13.0,Ligue 1 2022-2023
vs Nantes,2,38.0,37.0,3.0,0.0,5.0,2.0,41.2,0.25,6.2,0.16,196.0,496.0,39.5,973.0,190.0,37.3,34.6,271.0,49.1,39.0,652.0,53.0,8.1,31.0,0.82,10.9,Ligue 1 2022-2023
vs Nice,2,38.0,48.0,6.0,0.0,6.0,1.0,55.7,0.26,8.7,0.23,132.0,346.0,38.2,961.0,215.0,24.3,30.7,269.0,41.6,36.4,534.0,29.0,5.4,31.0,0.82,13.9,Ligue 1 2022-2023
vs Paris S-G,2,38.0,89.0,5.0,2.0,6.0,3.0,85.1,0.32,-0.9,-0.02,133.0,345.0,38.6,803.0,160.0,33.0,33.6,254.0,31.5,31.4,317.0,19.0,6.0,20.0,0.53,11.4,Ligue 1 2022-2023
vs Reims,2,38.0,45.0,7.0,0.0,5.0,0.0,54.0,0.28,9.0,0.24,230.0,617.0,37.3,1053.0,168.0,40.0,35.4,348.0,56.3,41.2,528.0,39.0,7.4,58.0,1.53,14.1,Ligue 1 2022-2023
vs Rennes,2,38.0,69.0,3.0,1.0,6.0,3.0,59.4,0.3,-6.6,-0.17,161.0,510.0,31.6,918.0,130.0,38.9,34.8,264.0,58.0,43.1,431.0,21.0,4.9,21.0,0.55,12.4,Ligue 1 2022-2023
vs Strasbourg,1,38.0,51.0,5.0,1.0,8.0,3.0,51.1,0.29,3.1,0.08,176.0,493.0,35.7,1053.0,174.0,34.1,34.1,276.0,48.6,38.8,525.0,48.0,9.1,39.0,1.03,13.8,Ligue 1 2022-2023
vs Toulouse,1,38.0,51.0,4.0,1.0,7.0,1.0,48.8,0.27,-1.2,-0.03,155.0,480.0,32.3,905.0,163.0,36.0,34.6,296.0,52.0,40.2,534.0,44.0,8.2,24.0,0.63,11.3,Ligue 1 2022-2023
vs Troyes,2,38.0,45.0,5.0,1.0,3.0,2.0,36.5,0.24,-6.5,-0.17,139.0,340.0,40.9,889.0,141.0,29.2,31.3,222.0,36.0,33.3,423.0,30.0,7.1,47.0,1.24,15.7,Ligue 1 2022-2023
vs Ajax,2,34.0,86.0,5.0,1.0,9.0,0.0,78.0,0.33,-8.0,-0.23,237.0,686.0,34.5,902.0,127.0,54.7,41.7,317.0,60.9,46.3,615.0,36.0,5.9,26.0,0.76,12.3,Eredivisie 2022-2023
vs AZ Alkmaar,2,34.0,68.0,2.0,0.0,7.0,3.0,62.1,0.3,-2.9,-0.08,241.0,615.0,39.2,1221.0,168.0,37.5,34.4,285.0,55.1,45.8,446.0,39.0,8.7,56.0,1.65,15.8,Eredivisie 2022-2023
vs Cambuur,3,34.0,26.0,1.0,0.0,1.0,1.0,33.2,0.25,8.2,0.24,222.0,548.0,40.5,883.0,144.0,43.4,37.5,266.0,62.0,47.3,543.0,40.0,7.4,30.0,0.88,13.4,Eredivisie 2022-2023
vs Emmen,2,34.0,33.0,1.0,1.0,2.0,2.0,34.8,0.27,3.8,0.11,188.0,554.0,33.9,954.0,158.0,42.5,36.8,257.0,58.0,43.9,489.0,33.0,6.7,40.0,1.18,15.3,Eredivisie 2022-2023
vs Excelsior,2,34.0,32.0,0.0,0.0,6.0,2.0,33.0,0.32,3.0,0.09,161.0,421.0,38.2,901.0,179.0,35.4,33.8,223.0,45.7,39.7,461.0,36.0,7.8,45.0,1.32,15.3,Eredivisie 2022-2023
vs Feyenoord,2,34.0,81.0,3.0,2.0,8.0,4.0,76.1,0.3,-0.9,-0.03,241.0,740.0,32.6,1084.0,178.0,45.1,37.1,402.0,62.4,46.9,600.0,34.0,5.7,19.0,0.56,10.6,Eredivisie 2022-2023
vs Fortuna Sittard,2,34.0,39.0,7.0,1.0,3.0,0.0,37.7,0.26,-1.3,-0.04,159.0,427.0,37.2,759.0,152.0,36.9,35.5,248.0,59.3,46.1,501.0,35.0,7.0,43.0,1.26,15.3,Eredivisie 2022-2023
vs Go Ahead Eag,1,34.0,46.0,2.0,1.0,8.0,1.0,44.9,0.32,-0.1,0.0,218.0,545.0,40.0,1028.0,172.0,38.1,35.3,297.0,51.5,42.2,491.0,37.0,7.5,45.0,1.32,14.8,Eredivisie 2022-2023
vs Groningen,3,34.0,31.0,1.0,1.0,3.0,1.0,30.2,0.29,0.2,0.01,172.0,447.0,38.5,842.0,143.0,37.4,35.2,255.0,51.8,43.2,429.0,34.0,7.9,29.0,0.85,13.9,Eredivisie 2022-2023
vs Heerenveen,3,34.0,44.0,1.0,1.0,6.0,1.0,45.1,0.29,2.1,0.06,210.0,583.0,36.0,967.0,158.0,44.6,38.1,265.0,57.4,45.1,510.0,29.0,5.7,42.0,1.24,15.1,Eredivisie 2022-2023
vs NEC Nijmegen,2,34.0,42.0,4.0,2.0,5.0,0.0,43.1,0.25,1.1,0.03,182.0,468.0,38.9,798.0,161.0,39.5,35.9,249.0,61.4,48.0,500.0,32.0,6.4,29.0,0.85,14.1,Eredivisie 2022-2023
vs PSV Eindhoven,2,34.0,89.0,6.0,0.0,16.0,2.0,82.3,0.32,-4.7,-0.14,248.0,680.0,36.5,946.0,150.0,48.5,38.5,344.0,64.2,47.8,569.0,35.0,6.2,43.0,1.26,14.5,Eredivisie 2022-2023
vs RKC Waalwijk,2,34.0,50.0,4.0,1.0,3.0,1.0,46.3,0.32,-2.7,-0.08,189.0,445.0,42.5,820.0,144.0,38.2,35.5,226.0,58.4,46.6,386.0,26.0,6.7,59.0,1.74,16.6,Eredivisie 2022-2023
vs Sparta R'dam,2,34.0,60.0,4.0,1.0,9.0,1.0,50.7,0.3,-8.3,-0.24,217.0,549.0,39.5,923.0,185.0,41.9,36.5,263.0,61.6,46.2,510.0,35.0,6.9,30.0,0.88,13.7,Eredivisie 2022-2023
vs Twente,2,34.0,66.0,3.0,1.0,6.0,1.0,60.4,0.3,-4.6,-0.14,288.0,740.0,38.9,989.0,150.0,52.1,40.0,319.0,70.5,50.5,614.0,36.0,5.9,28.0,0.82,12.2,Eredivisie 2022-2023
vs Utrecht,2,34.0,55.0,3.0,0.0,13.0,1.0,55.8,0.31,1.8,0.05,189.0,514.0,36.8,992.0,155.0,40.7,35.9,239.0,46.0,40.1,535.0,40.0,7.5,46.0,1.35,15.0,Eredivisie 2022-2023
vs Vitesse,3,34.0,45.0,1.0,2.0,5.0,2.0,42.7,0.25,-0.3,-0.01,157.0,482.0,32.6,894.0,197.0,37.1,35.6,305.0,49.2,41.1,528.0,36.0,6.8,26.0,0.76,13.0,Eredivisie 2022-2023
vs Volendam,2,34.0,42.0,0.0,0.0,7.0,1.0,41.4,0.3,0.4,0.01,184.0,472.0,39.0,1009.0,172.0,35.7,33.8,248.0,45.2,39.9,437.0,34.0,7.8,55.0,1.62,15.5,Eredivisie 2022-2023
vs Arouca,4,34.0,36.0,5.0,0.0,3.0,0.0,38.1,0.27,2.1,0.06,123.0,319.0,38.6,730.0,174.0,27.4,32.4,237.0,50.2,41.7,343.0,17.0,5.0,53.0,1.56,17.2,Primeira Liga 2022-2023
vs Benfica,2,34.0,82.0,9.0,2.0,6.0,4.0,86.3,0.38,8.3,0.25,194.0,524.0,37.0,927.0,183.0,35.5,34.9,356.0,54.8,43.5,626.0,37.0,5.9,27.0,0.79,10.9,Primeira Liga 2022-2023
vs Boavista,3,34.0,43.0,2.0,2.0,4.0,0.0,37.1,0.28,-5.9,-0.17,170.0,375.0,45.3,923.0,185.0,28.0,31.4,252.0,46.4,39.8,521.0,30.0,5.8,38.0,1.12,14.6,Primeira Liga 2022-2023
vs Braga,3,34.0,75.0,4.0,1.0,6.0,3.0,72.3,0.31,0.3,0.01,183.0,470.0,38.9,844.0,177.0,36.8,34.9,298.0,53.4,42.7,547.0,33.0,6.0,36.0,1.06,13.7,Primeira Liga 2022-2023
vs Casa Pia,3,34.0,31.0,3.0,2.0,3.0,2.0,35.0,0.28,6.0,0.18,136.0,319.0,42.6,818.0,170.0,24.7,29.6,259.0,45.2,39.3,470.0,20.0,4.3,45.0,1.32,16.8,Primeira Liga 2022-2023
vs Chaves,3,34.0,35.0,7.0,0.0,5.0,1.0,45.6,0.27,11.6,0.34,151.0,401.0,37.7,846.0,168.0,32.6,33.1,285.0,43.9,39.3,467.0,31.0,6.6,38.0,1.12,13.6,Primeira Liga 2022-2023
vs Estoril,2,34.0,33.0,3.0,0.0,3.0,0.0,37.4,0.31,4.4,0.13,191.0,443.0,43.1,771.0,159.0,36.3,33.9,268.0,60.8,44.7,468.0,37.0,7.9,33.0,0.97,13.1,Primeira Liga 2022-2023
vs Famalicão,2,34.0,39.0,3.0,1.0,4.0,2.0,35.6,0.26,-1.4,-0.04,150.0,352.0,42.6,804.0,166.0,28.0,31.1,285.0,44.6,39.8,549.0,28.0,5.1,41.0,1.21,15.2,Primeira Liga 2022-2023
vs Gil Vicente FC,2,34.0,32.0,5.0,0.0,4.0,1.0,45.5,0.28,14.5,0.43,177.0,465.0,38.1,875.0,144.0,35.8,34.9,296.0,51.4,43.0,583.0,24.0,4.1,24.0,0.71,13.6,Primeira Liga 2022-2023
vs Marítimo,4,34.0,32.0,4.0,0.0,4.0,1.0,35.9,0.24,4.9,0.14,181.0,538.0,33.6,839.0,141.0,42.2,36.8,322.0,57.1,45.3,537.0,36.0,6.7,36.0,1.06,13.2,Primeira Liga 2022-2023
vs Paços de Ferreira,4,34.0,26.0,3.0,1.0,6.0,1.0,35.2,0.27,10.2,0.3,129.0,343.0,37.6,779.0,167.0,29.5,32.1,241.0,46.9,41.2,586.0,34.0,5.8,28.0,0.82,12.5,Primeira Liga 2022-2023
vs Portimonense,2,34.0,25.0,3.0,0.0,2.0,0.0,32.6,0.24,7.6,0.22,129.0,412.0,31.3,835.0,174.0,33.3,34.3,274.0,48.9,42.0,504.0,29.0,5.8,40.0,1.18,13.7,Primeira Liga 2022-2023
vs Porto,2,34.0,73.0,10.0,0.0,8.0,2.0,70.8,0.33,-0.2,0.0,231.0,623.0,37.1,847.0,178.0,45.5,38.1,390.0,61.0,46.5,469.0,30.0,6.4,34.0,1.0,12.3,Primeira Liga 2022-2023
vs Rio Ave,2,34.0,36.0,3.0,0.0,3.0,1.0,38.0,0.26,3.0,0.09,171.0,489.0,35.0,824.0,151.0,39.2,35.4,290.0,57.2,43.9,499.0,37.0,7.4,43.0,1.26,15.6,Primeira Liga 2022-2023
vs Santa Clara,2,34.0,26.0,6.0,0.0,2.0,0.0,32.4,0.22,6.4,0.19,152.0,433.0,35.1,893.0,169.0,32.8,32.2,268.0,52.2,41.4,458.0,41.0,9.0,33.0,0.97,13.6,Primeira Liga 2022-2023
vs Sporting CP,2,34.0,71.0,7.0,0.0,8.0,5.0,69.8,0.32,3.8,0.11,182.0,572.0,31.8,892.0,178.0,43.3,37.7,342.0,54.4,42.9,627.0,45.0,7.2,46.0,1.35,12.6,Primeira Liga 2022-2023
vs Vitória,3,34.0,34.0,5.0,0.0,4.0,0.0,33.7,0.24,-0.3,-0.01,164.0,405.0,40.5,719.0,128.0,37.0,34.7,266.0,52.3,42.4,460.0,36.0,7.8,42.0,1.24,14.7,Primeira Liga 2022-2023
vs Vizela,2,34.0,34.0,1.0,0.0,1.0,4.0,42.0,0.27,12.0,0.35,183.0,434.0,42.2,944.0,204.0,33.7,32.9,259.0,44.8,38.9,457.0,29.0,6.3,55.0,1.62,15.8,Primeira Liga 2022-2023
vs Birmingham City,2,46.0,47.0,4.0,2.0,11.0,0.0,44.4,0.28,-2.6,-0.06,228.0,676.0,33.7,1120.0,226.0,44.0,37.4,347.0,52.7,43.5,686.0,54.0,7.9,36.0,0.78,12.9,Championship 2022-2023
vs Blackburn,2,46.0,52.0,1.0,1.0,6.0,2.0,49.3,0.3,-0.7,-0.01,279.0,774.0,36.0,1275.0,203.0,44.9,37.1,320.0,62.8,48.2,501.0,36.0,7.2,70.0,1.52,17.9,Championship 2022-2023
vs Blackpool,2,46.0,48.0,3.0,0.0,6.0,0.0,43.6,0.29,-4.4,-0.09,186.0,697.0,26.7,1220.0,198.0,42.0,36.4,333.0,55.6,44.3,544.0,34.0,6.3,34.0,0.74,13.1,Championship 2022-2023
vs Bristol City,2,46.0,55.0,2.0,0.0,5.0,3.0,52.4,0.35,0.4,0.01,271.0,779.0,34.8,1118.0,203.0,48.4,38.4,384.0,62.0,46.8,701.0,41.0,5.8,75.0,1.63,16.9,Championship 2022-2023
vs Burnley,2,46.0,87.0,3.0,4.0,9.0,2.0,71.6,0.32,-13.4,-0.29,403.0,1042.0,38.7,1192.0,142.0,60.0,35.5,427.0,76.6,54.4,700.0,31.0,4.4,50.0,1.09,13.9,Championship 2022-2023
