Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League
vs Köln,1,34.0,28.0,5.0,1.0,5.0,0.0,37.6,0.23,9.6,0.28,160.0,428.0,37.4,1142.0,175.0,27.3,31.2,271.0,42.8,37.7,588.0,48.0,8.2,47.0,1.38,14.7,Bundesliga 2023-2024
vs Leverkusen,2,34.0,89.0,8.0,2.0,12.0,2.0,80.0,0.3,-7.0,-0.21,211.0,572.0,36.9,1128.0,135.0,40.4,36.0,289.0,40.1,35.0,454.0,27.0,5.9,39.0,1.15,14.0,Bundesliga 2023-2024
vs Mainz 05,2,34.0,39.0,1.0,1.0,5.0,1.0,42.7,0.29,4.7,0.14,201.0,608.0,33.1,1277.0,147.0,38.7,35.4,258.0,44.2,36.5,499.0,35.0,7.0,38.0,1.12,14.5,Bundesliga 2023-2024
vs RB Leipzig,2,34.0,77.0,4.0,1.0,8.0,3.0,69.8,0.29,-4.2,-0.12,198.0,458.0,43.2,1018.0,144.0,32.7,33.0,267.0,46.8,39.4,485.0,29.0,6.0,36.0,1.06,14.2,Bundesliga 2023-2024
vs Stuttgart,2,34.0,78.0,5.0,0.0,5.0,0.0,75.5,0.32,-2.5,-0.07,180.0,454.0,39.6,1111.0,133.0,32.8,33.4,266.0,33.8,31.5,407.0,21.0,5.2,36.0,1.06,15.3,Bundesliga 2023-2024
vs Union Berlin,2,34.0,33.0,3.0,0.0,6.0,0.0,35.6,0.23,2.6,0.08,174.0,415.0,41.9,1009.0,157.0,28.7,31.8,264.0,47.3,39.6,520.0,33.0,6.3,64.0,1.88,16.8,Bundesliga 2023-2024
vs Werder Bremen,2,34.0,48.0,5.0,1.0,4.0,3.0,42.6,0.29,-2.4,-0.07,194.0,517.0,37.5,1111.0,152.0,38.1,35.2,241.0,39.0,36.9,409.0,25.0,6.1,52.0,1.53,17.7,Bundesliga 2023-2024
vs Wolfsburg,2,34.0,41.0,2.0,1.0,6.0,0.0,38.9,0.25,-2.1,-0.06,199.0,456.0,43.6,1191.0,142.0,31.2,33.0,226.0,37.2,35.5,467.0,33.0,7.1,59.0,1.74,16.1,Bundesliga 2023-2024
vs Arsenal,2,38.0,91.0,10.0,0.0,14.0,5.0,70.5,0.28,-15.5,-0.41,213.0,652.0,32.7,1193.0,125.0,39.6,35.3,328.0,54.9,40.6,518.0,28.0,5.4,36.0,0.95,12.7,Premier League 2023-2024
vs Aston Villa,2,38.0,76.0,4.0,1.0,7.0,4.0,62.1,0.33,-9.9,-0.26,136.0,334.0,40.7,820.0,163.0,29.0,31.6,228.0,42.1,36.3,476.0,33.0,6.9,62.0,1.63,15.4,Premier League 2023-2024
vs Bournemouth,3,38.0,54.0,2.0,0.0,11.0,2.0,47.7,0.26,-4.3,-0.11,250.0,650.0,38.5,1289.0,161.0,37.0,34.1,316.0,54.7,41.3,557.0,34.0,6.1,60.0,1.58,15.5,Premier League 2023-2024
vs Brentford,2,38.0,56.0,3.0,2.0,6.0,2.0,52.5,0.31,-1.5,-0.04,228.0,717.0,31.8,1039.0,151.0,52.0,40.7,278.0,63.7,44.9,557.0,50.0,9.0,50.0,1.32,15.5,Premier League 2023-2024
vs Brighton,2,38.0,55.0,5.0,0.0,6.0,5.0,62.8,0.28,12.8,0.34,174.0,626.0,27.8,1280.0,157.0,36.7,34.4,286.0,54.5,41.1,515.0,31.0,6.0,32.0,0.84,13.6,Premier League 2023-2024
vs Burnley,2,38.0,41.0,3.0,0.0,4.0,1.0,36.3,0.24,-3.7,-0.1,218.0,559.0,39.0,1156.0,152.0,38.0,33.9,261.0,46.0,36.5,426.0,18.0,4.2,39.0,1.03,16.3,Premier League 2023-2024
vs Chelsea,2,38.0,77.0,11.0,1.0,9.0,1.0,71.3,0.3,-4.7,-0.12,172.0,463.0,37.1,1064.0,197.0,32.0,32.4,254.0,48.4,37.4,426.0,34.0,8.0,70.0,1.84,17.4,Premier League 2023-2024
vs Crystal Palace,3,38.0,57.0,4.0,1.0,3.0,1.0,49.1,0.28,-6.9,-0.18,122.0,404.0,30.2,1257.0,193.0,26.3,29.0,246.0,30.1,30.3,452.0,31.0,6.9,50.0,1.32,15.4,Premier League 2023-2024
vs Everton,1,38.0,40.0,2.0,1.0,12.0,0.0,44.6,0.29,4.6,0.12,123.0,401.0,30.7,1377.0,249.0,21.8,28.6,312.0,32.4,30.2,588.0,50.0,8.5,60.0,1.58,14.7,Premier League 2023-2024
vs Fulham,1,38.0,55.0,2.0,0.0,10.0,1.0,54.8,0.3,0.8,0.02,143.0,400.0,35.8,1116.0,209.0,25.6,29.4,282.0,40.4,35.8,600.0,33.0,5.5,52.0,1.37,14.8,Premier League 2023-2024
vs Liverpool,2,38.0,86.0,6.0,1.0,11.0,6.0,82.3,0.28,2.3,0.06,168.0,666.0,25.2,1001.0,182.0,44.0,36.9,365.0,61.9,44.8,664.0,52.0,7.8,55.0,1.45,14.5,Premier League 2023-2024
vs Luton Town,2,38.0,52.0,5.0,1.0,10.0,3.0,46.7,0.31,-2.3,-0.06,204.0,626.0,32.6,1239.0,141.0,36.6,34.2,265.0,64.9,47.4,653.0,51.0,7.8,38.0,1.0,13.2,Premier League 2023-2024
vs Manchester City,2,38.0,96.0,9.0,3.0,11.0,2.0,89.5,0.3,-4.5,-0.12,176.0,537.0,32.8,1191.0,163.0,33.4,32.5,315.0,44.1,36.0,521.0,28.0,5.4,34.0,0.89,12.7,Premier League 2023-2024
vs Manchester Utd,1,38.0,57.0,6.0,0.0,6.0,0.0,55.5,0.26,-1.5,-0.04,183.0,489.0,37.4,1243.0,177.0,31.6,31.6,269.0,35.7,32.2,461.0,30.0,6.5,51.0,1.34,15.9,Premier League 2023-2024
vs Newcastle Utd,3,38.0,85.0,8.0,0.0,7.0,2.0,78.0,0.34,-5.0,-0.13,214.0,680.0,31.5,1216.0,158.0,40.5,35.1,307.0,60.9,43.5,508.0,30.0,5.9,48.0,1.26,14.5,Premier League 2023-2024
vs Nott'ham Forest,3,38.0,49.0,1.0,0.0,3.0,0.0,44.9,0.31,-4.1,-0.11,114.0,319.0,35.7,1110.0,162.0,22.7,27.8,245.0,27.3,28.8,466.0,34.0,7.3,57.0,1.5,14.7,Premier League 2023-2024
vs Sheffield Utd,2,38.0,35.0,5.0,0.0,3.0,4.0,37.8,0.27,6.8,0.18,111.0,302.0,36.8,1053.0,167.0,22.7,29.2,203.0,31.0,31.2,350.0,35.0,10.0,56.0,1.47,18.5,Premier League 2023-2024
vs Tottenham,1,38.0,74.0,2.0,0.0,9.0,5.0,65.6,0.31,-3.4,-0.09,285.0,674.0,42.3,1110.0,175.0,45.2,37.2,287.0,59.9,44.1,525.0,31.0,5.9,42.0,1.11,15.2,Premier League 2023-2024
vs West Ham,2,38.0,60.0,4.0,0.0,12.0,2.0,53.5,0.33,-4.5,-0.12,132.0,401.0,32.9,1187.0,185.0,26.5,29.3,247.0,35.2,31.7,499.0,33.0,6.6,24.0,0.63,11.9,Premier League 2023-2024
vs Wolves,2,38.0,50.0,4.0,0.0,10.0,3.0,46.0,0.28,-1.0,-0.03,124.0,405.0,30.6,1076.0,177.0,28.0,30.7,250.0,41.6,34.0,473.0,35.0,7.4,80.0,2.11,19.2,Premier League 2023-2024
vs Alavés,2,38.0,36.0,3.0,0.0,5.0,3.0,43.1,0.26,10.1,0.27,193.0,497.0,38.8,1023.0,203.0,32.7,33.2,338.0,47.9,40.8,584.0,38.0,6.5,29.0,0.76,12.4,La Liga 2023-2024
vs Almería,3,38.0,43.0,2.0,0.0,1.0,1.0,46.2,0.28,4.2,0.11,204.0,568.0,35.9,992.0,158.0,39.7,35.2,302.0,57.6,44.6,503.0,35.0,7.0,43.0,1.13,15.0,La Liga 2023-2024
vs Athletic Club,2,38.0,61.0,3.0,0.0,6.0,2.0,59.7,0.34,0.7,0.02,216.0,576.0,37.5,1189.0,170.0,34.4,33.3,306.0,54.6,43.4,651.0,32.0,4.9,45.0,1.18,15.0,La Liga 2023-2024
vs Atlético Madrid,1,38.0,70.0,5.0,0.0,4.0,2.0,65.7,0.3,-2.3,-0.06,194.0,535.0,36.3,1020.0,160.0,38.5,36.1,297.0,47.8,40.8,476.0,34.0,7.1,42.0,1.11,14.0,La Liga 2023-2024
vs Barcelona,2,38.0,79.0,6.0,2.0,9.0,3.0,73.1,0.3,-2.9,-0.08,251.0,737.0,34.1,960.0,152.0,53.2,41.0,328.0,68.9,50.2,515.0,36.0,7.0,45.0,1.19,14.2,La Liga 2023-2024
vs Betis,3,38.0,48.0,2.0,1.0,5.0,2.0,40.5,0.25,-5.5,-0.15,199.0,532.0,37.4,1055.0,152.0,37.5,33.8,279.0,48.7,40.4,483.0,31.0,6.4,33.0,0.87,12.9,La Liga 2023-2024
vs Cádiz,2,38.0,26.0,3.0,1.0,4.0,1.0,32.8,0.25,7.8,0.21,203.0,523.0,38.8,871.0,179.0,41.2,37.5,304.0,53.9,42.2,602.0,41.0,6.8,47.0,1.24,15.3,La Liga 2023-2024
vs Celta Vigo,2,38.0,46.0,3.0,0.0,3.0,1.0,50.4,0.3,5.4,0.14,202.0,559.0,36.1,958.0,141.0,41.0,36.4,299.0,55.5,42.8,504.0,29.0,5.8,59.0,1.55,15.9,La Liga 2023-2024
vs Getafe,2,38.0,42.0,6.0,0.0,6.0,0.0,48.1,0.27,6.1,0.16,193.0,611.0,31.6,1204.0,194.0,38.0,34.9,280.0,55.0,44.3,559.0,38.0,6.8,31.0,0.82,13.5,La Liga 2023-2024
vs Girona,1,38.0,85.0,7.0,0.0,7.0,1.0,73.2,0.37,-10.8,-0.28,234.0,555.0,42.2,921.0,146.0,41.8,37.2,299.0,56.9,44.6,525.0,32.0,6.1,45.0,1.18,15.2,La Liga 2023-2024
vs Granada,4,38.0,38.0,5.0,0.0,1.0,3.0,37.5,0.25,2.5,0.07,220.0,610.0,36.1,1057.0,154.0,41.9,36.9,271.0,61.6,46.6,508.0,34.0,6.7,42.0,1.11,14.4,La Liga 2023-2024
vs Las Palmas,2,38.0,33.0,3.0,1.0,4.0,0.0,37.2,0.26,4.2,0.11,231.0,627.0,36.8,1046.0,154.0,45.4,37.3,263.0,57.8,45.9,429.0,23.0,5.4,68.0,1.79,17.6,La Liga 2023-2024
vs Mallorca,3,38.0,33.0,1.0,0.0,10.0,0.0,34.1,0.25,1.1,0.03,211.0,611.0,34.5,955.0,162.0,45.3,38.3,273.0,65.2,47.4,589.0,44.0,7.5,52.0,1.37,14.5,La Liga 2023-2024
vs Osasuna,2,38.0,45.0,4.0,0.0,7.0,0.0,42.5,0.3,-2.5,-0.07,175.0,538.0,32.5,1024.0,189.0,37.1,35.1,304.0,52.0,42.5,641.0,28.0,4.4,52.0,1.37,15.7,La Liga 2023-2024
vs Rayo Vallecano,2,38.0,29.0,6.0,1.0,3.0,0.0,43.4,0.23,14.4,0.38,245.0,640.0,38.3,1122.0,148.0,40.6,35.8,332.0,55.4,45.1,526.0,29.0,5.5,45.0,1.18,15.4,La Liga 2023-2024
vs Real Madrid,3,38.0,87.0,2.0,0.0,9.0,2.0,73.2,0.29,-11.8,-0.31,181.0,508.0,35.6,928.0,189.0,36.1,35.0,322.0,53.7,43.3,468.0,21.0,4.5,28.0,0.74,12.5,La Liga 2023-2024
vs Real Sociedad,2,38.0,51.0,4.0,2.0,7.0,3.0,49.5,0.32,1.5,0.04,269.0,777.0,34.6,1090.0,107.0,52.2,40.9,331.0,62.8,47.1,519.0,30.0,5.8,30.0,0.79,13.8,La Liga 2023-2024
vs Sevilla,3,38.0,48.0,2.0,0.0,10.0,2.0,51.1,0.31,5.1,0.13,170.0,501.0,33.9,871.0,168.0,36.9,35.3,348.0,51.7,42.1,727.0,28.0,3.9,38.0,1.0,13.8,La Liga 2023-2024
vs Valencia,3,38.0,40.0,8.0,0.0,1.0,1.0,42.4,0.27,3.4,0.09,236.0,535.0,44.1,1101.0,147.0,35.0,34.5,260.0,57.7,46.1,441.0,33.0,7.5,58.0,1.53,15.4,La Liga 2023-2024
vs Villarreal,2,38.0,65.0,5.0,0.0,8.0,1.0,61.0,0.33,-3.0,-0.08,195.0,551.0,35.4,1005.0,136.0,41.0,36.2,246.0,56.5,44.0,478.0,27.0,5.6,52.0,1.37,15.2,La Liga 2023-2024
vs Atalanta,3,38.0,72.0,5.0,1.0,10.0,0.0,61.3,0.29,-10.7,-0.28,213.0,658.0,32.4,1329.0,131.0,40.4,36.4,317.0,38.2,35.1,542.0,24.0,4.4,30.0,0.79,13.7,Serie A 2023-2024
vs Bologna,3,38.0,54.0,4.0,2.0,6.0,2.0,46.3,0.26,-5.7,-0.15,134.0,392.0,34.2,873.0,139.0,33.9,33.6,280.0,34.3,32.4,411.0,22.0,5.4,25.0,0.66,13.0,Serie A 2023-2024
vs Cagliari,3,38.0,42.0,4.0,0.0,5.0,1.0,39.9,0.27,-1.1,-0.03,152.0,428.0,35.5,973.0,185.0,32.1,33.1,339.0,34.2,34.5,686.0,38.0,5.5,35.0,0.92,13.4,Serie A 2023-2024
vs Empoli,3,38.0,29.0,5.0,0.0,0.0,3.0,33.9,0.25,7.9,0.21,176.0,446.0,39.5,1118.0,186.0,31.7,33.4,251.0,36.7,33.7,493.0,27.0,5.5,34.0,0.89,14.6,Serie A 2023-2024
vs Fiorentina,3,38.0,61.0,4.0,1.0,7.0,1.0,55.1,0.27,-4.9,-0.13,241.0,672.0,35.9,1226.0,177.0,41.3,36.4,293.0,56.7,43.4,593.0,37.0,6.2,15.0,0.39,10.8,Serie A 2023-2024
vs Frosinone,2,38.0,44.0,8.0,3.0,7.0,0.0,43.8,0.23,-0.2,-0.01,212.0,601.0,35.3,1019.0,126.0,43.4,37.8,327.0,48.6,38.7,409.0,18.0,4.4,30.0,0.79,14.4,Serie A 2023-2024
vs Genoa,3,38.0,45.0,5.0,1.0,6.0,2.0,36.8,0.26,-6.2,-0.16,115.0,372.0,30.9,854.0,163.0,30.3,33.2,268.0,42.2,37.5,479.0,21.0,4.4,43.0,1.13,16.0,Serie A 2023-2024
vs Hellas Verona,2,38.0,38.0,3.0,0.0,4.0,0.0,38.3,0.22,0.3,0.01,170.0,558.0,30.5,1125.0,194.0,36.4,34.3,316.0,46.8,38.7,553.0,44.0,8.0,27.0,0.71,11.8,Serie A 2023-2024
vs Inter,3,38.0,89.0,13.0,0.0,8.0,2.0,74.7,0.3,-12.3,-0.32,161.0,490.0,32.9,896.0,153.0,36.8,36.5,342.0,46.8,41.1,622.0,21.0,3.4,30.0,0.79,12.9,Serie A 2023-2024
vs Juventus,3,38.0,54.0,3.0,3.0,11.0,2.0,43.3,0.26,-8.7,-0.23,172.0,503.0,34.2,978.0,135.0,37.3,35.9,315.0,43.8,36.2,560.0,16.0,2.9,23.0,0.61,12.7,Serie A 2023-2024
vs Lazio,2,38.0,49.0,4.0,2.0,4.0,3.0,45.9,0.31,-0.1,0.0,219.0,486.0,45.1,1206.0,185.0,30.1,30.7,281.0,43.8,38.8,490.0,21.0,4.3,30.0,0.79,13.1,Serie A 2023-2024
vs Lecce,1,38.0,32.0,3.0,1.0,4.0,2.0,29.5,0.17,-0.5,-0.01,178.0,489.0,36.4,1030.0,191.0,34.0,34.0,298.0,46.6,38.4,520.0,24.0,4.6,36.0,0.95,14.5,Serie A 2023-2024
vs Milan,4,38.0,76.0,6.0,0.0,14.0,0.0,70.0,0.31,-6.0,-0.16,174.0,446.0,39.0,895.0,161.0,35.5,34.6,293.0,43.7,37.0,515.0,26.0,5.0,22.0,0.58,11.4,Serie A 2023-2024
vs Monza,2,38.0,39.0,4.0,1.0,4.0,1.0,36.6,0.25,-1.4,-0.04,110.0,279.0,39.4,796.0,141.0,24.9,30.7,250.0,32.4,32.9,456.0,17.0,3.7,29.0,0.76,15.3,Serie A 2023-2024
vs Napoli,3,38.0,55.0,6.0,2.0,4.0,1.0,60.7,0.26,6.7,0.18,211.0,576.0,36.6,894.0,147.0,44.5,37.5,362.0,49.2,38.2,582.0,22.0,3.8,17.0,0.45,10.3,Serie A 2023-2024
vs Roma,2,38.0,65.0,11.0,1.0,9.0,1.0,51.8,0.27,-12.2,-0.32,172.0,474.0,36.3,1002.0,166.0,34.9,35.2,272.0,45.6,38.6,529.0,39.0,7.4,37.0,0.97,13.0,Serie A 2023-2024
vs Salernitana,3,38.0,32.0,2.0,0.0,6.0,0.0,30.9,0.24,-1.1,-0.03,155.0,439.0,35.3,934.0,134.0,37.7,35.0,229.0,38.0,33.6,451.0,22.0,4.9,27.0,0.71,13.7,Serie A 2023-2024
