Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,League
vs Bayern Munich,30,34.0,678.0,386.0,367.0,236.0,75.0,340.0,832.0,40.9,492.0,457.0,154.0,303.0,498.0,1176.0,798.0,22.0,Bundesliga 2021-2022
vs Bochum,28,34.0,498.0,314.0,242.0,205.0,51.0,216.0,442.0,48.9,226.0,313.0,86.0,227.0,293.0,791.0,591.0,13.0,Bundesliga 2021-2022
vs Dortmund,33,34.0,594.0,342.0,292.0,229.0,73.0,284.0,636.0,44.7,352.0,402.0,104.0,298.0,481.0,1075.0,573.0,12.0,Bundesliga 2021-2022
vs Eint Frankfurt,27,34.0,552.0,317.0,285.0,209.0,58.0,258.0,543.0,47.5,285.0,420.0,125.0,295.0,417.0,969.0,721.0,10.0,Bundesliga 2021-2022
vs Freiburg,26,34.0,413.0,239.0,181.0,161.0,71.0,194.0,420.0,46.2,226.0,387.0,100.0,287.0,333.0,746.0,692.0,11.0,Bundesliga 2021-2022
vs Gladbach,26,34.0,560.0,321.0,247.0,260.0,53.0,251.0,610.0,41.1,359.0,434.0,134.0,300.0,364.0,924.0,499.0,12.0,Bundesliga 2021-2022
vs Greuther Fürth,29,34.0,578.0,325.0,266.0,251.0,61.0,270.0,536.0,50.4,266.0,368.0,82.0,286.0,312.0,890.0,549.0,7.0,Bundesliga 2021-2022
vs Hertha BSC,36,34.0,561.0,333.0,215.0,269.0,77.0,245.0,526.0,46.6,281.0,372.0,75.0,297.0,352.0,913.0,526.0,11.0,Bundesliga 2021-2022
vs Hoffenheim,32,34.0,516.0,316.0,280.0,178.0,58.0,275.0,524.0,52.5,249.0,414.0,106.0,308.0,362.0,878.0,658.0,11.0,Bundesliga 2021-2022
vs Köln,26,34.0,514.0,324.0,218.0,228.0,68.0,256.0,508.0,50.4,252.0,395.0,95.0,300.0,367.0,881.0,880.0,9.0,Bundesliga 2021-2022
vs Leverkusen,29,34.0,601.0,347.0,272.0,246.0,83.0,305.0,706.0,43.2,401.0,395.0,95.0,300.0,414.0,1015.0,588.0,13.0,Bundesliga 2021-2022
vs Mainz 05,28,34.0,532.0,312.0,244.0,231.0,57.0,237.0,506.0,46.8,269.0,385.0,105.0,280.0,359.0,891.0,748.0,10.0,Bundesliga 2021-2022
vs RB Leipzig,29,34.0,569.0,318.0,272.0,231.0,66.0,213.0,560.0,38.0,347.0,389.0,96.0,293.0,402.0,971.0,569.0,11.0,Bundesliga 2021-2022
vs Stuttgart,34,34.0,623.0,346.0,279.0,268.0,76.0,321.0,693.0,46.3,372.0,390.0,109.0,281.0,345.0,968.0,607.0,7.0,Bundesliga 2021-2022
vs Union Berlin,28,34.0,399.0,227.0,186.0,163.0,50.0,168.0,412.0,40.8,244.0,350.0,71.0,279.0,354.0,753.0,641.0,15.0,Bundesliga 2021-2022
vs Wolfsburg,30,34.0,506.0,282.0,207.0,228.0,71.0,222.0,541.0,41.0,319.0,356.0,94.0,262.0,349.0,855.0,583.0,10.0,Bundesliga 2021-2022
vs Arsenal,27,38.0,608.0,339.0,314.0,212.0,82.0,271.0,590.0,45.9,319.0,427.0,164.0,263.0,364.0,972.0,737.0,18.0,Premier League 2021-2022
vs Aston Villa,31,38.0,598.0,343.0,278.0,246.0,74.0,254.0,587.0,43.3,333.0,356.0,127.0,229.0,339.0,937.0,743.0,6.0,Premier League 2021-2022
vs Brentford,29,38.0,505.0,285.0,216.0,225.0,64.0,214.0,476.0,45.0,262.0,423.0,132.0,291.0,381.0,886.0,830.0,12.0,Premier League 2021-2022
vs Brighton,26,38.0,591.0,358.0,301.0,224.0,66.0,242.0,559.0,43.3,317.0,481.0,140.0,341.0,389.0,980.0,752.0,8.0,Premier League 2021-2022
vs Burnley,23,38.0,512.0,306.0,249.0,202.0,61.0,221.0,479.0,46.1,258.0,369.0,104.0,265.0,280.0,792.0,853.0,9.0,Premier League 2021-2022
vs Chelsea,26,38.0,643.0,356.0,337.0,237.0,69.0,260.0,624.0,41.7,364.0,487.0,169.0,318.0,376.0,1019.0,793.0,12.0,Premier League 2021-2022
vs Crystal Palace,24,38.0,776.0,440.0,354.0,310.0,112.0,305.0,687.0,44.4,382.0,386.0,110.0,276.0,378.0,1154.0,712.0,16.0,Premier League 2021-2022
vs Everton,33,38.0,620.0,336.0,298.0,240.0,82.0,295.0,632.0,46.7,337.0,443.0,146.0,297.0,333.0,953.0,653.0,6.0,Premier League 2021-2022
vs Leeds United,29,38.0,614.0,351.0,282.0,248.0,84.0,316.0,655.0,48.2,339.0,459.0,138.0,321.0,398.0,1012.0,735.0,20.0,Premier League 2021-2022
vs Leicester City,28,38.0,618.0,370.0,262.0,264.0,92.0,250.0,547.0,45.7,297.0,455.0,117.0,338.0,400.0,1018.0,630.0,13.0,Premier League 2021-2022
vs Liverpool,27,38.0,657.0,350.0,407.0,211.0,39.0,291.0,634.0,45.9,343.0,542.0,212.0,330.0,487.0,1144.0,999.0,18.0,Premier League 2021-2022
vs Manchester City,26,38.0,632.0,359.0,392.0,194.0,46.0,316.0,741.0,42.6,425.0,509.0,209.0,300.0,374.0,1006.0,909.0,24.0,Premier League 2021-2022
vs Manchester Utd,29,38.0,596.0,347.0,273.0,228.0,95.0,263.0,631.0,41.7,368.0,468.0,143.0,325.0,430.0,1026.0,686.0,17.0,Premier League 2021-2022
vs Newcastle Utd,29,38.0,632.0,364.0,298.0,260.0,74.0,273.0,632.0,43.2,359.0,373.0,120.0,253.0,268.0,900.0,665.0,12.0,Premier League 2021-2022
vs Norwich City,28,38.0,596.0,363.0,273.0,234.0,89.0,283.0,581.0,48.7,298.0,382.0,115.0,267.0,330.0,926.0,586.0,13.0,Premier League 2021-2022
vs Southampton,25,38.0,640.0,357.0,309.0,249.0,82.0,274.0,624.0,43.9,350.0,438.0,137.0,301.0,349.0,989.0,820.0,18.0,Premier League 2021-2022
vs Tottenham,25,38.0,632.0,369.0,278.0,267.0,87.0,291.0,666.0,43.7,375.0,419.0,135.0,284.0,368.0,1000.0,676.0,10.0,Premier League 2021-2022
vs Watford,30,38.0,745.0,438.0,356.0,287.0,102.0,356.0,751.0,47.4,395.0,377.0,93.0,284.0,347.0,1092.0,608.0,15.0,Premier League 2021-2022
vs West Ham,25,38.0,533.0,324.0,284.0,184.0,65.0,239.0,545.0,43.9,306.0,408.0,133.0,275.0,337.0,870.0,776.0,9.0,Premier League 2021-2022
vs Wolves,26,38.0,662.0,388.0,297.0,277.0,88.0,321.0,771.0,41.6,450.0,404.0,108.0,296.0,383.0,1045.0,630.0,14.0,Premier League 2021-2022
vs Alavés,33,38.0,511.0,273.0,249.0,193.0,69.0,233.0,504.0,46.2,271.0,351.0,87.0,264.0,311.0,822.0,729.0,12.0,La Liga 2021-2022
vs Athletic Club,26,38.0,573.0,353.0,293.0,224.0,56.0,232.0,529.0,43.9,297.0,393.0,131.0,262.0,387.0,960.0,817.0,14.0,La Liga 2021-2022
vs Atlético Madrid,26,38.0,570.0,309.0,297.0,201.0,72.0,217.0,600.0,36.2,383.0,364.0,103.0,261.0,404.0,974.0,803.0,10.0,La Liga 2021-2022
vs Barcelona,38,38.0,631.0,352.0,309.0,250.0,72.0,273.0,747.0,36.5,474.0,376.0,109.0,267.0,392.0,1023.0,809.0,10.0,La Liga 2021-2022
vs Betis,31,38.0,647.0,370.0,331.0,254.0,62.0,282.0,654.0,43.1,372.0,416.0,135.0,281.0,375.0,1022.0,614.0,11.0,La Liga 2021-2022
vs Cádiz,33,38.0,529.0,312.0,265.0,197.0,67.0,238.0,519.0,45.9,281.0,328.0,89.0,239.0,323.0,852.0,792.0,12.0,La Liga 2021-2022
vs Celta Vigo,25,38.0,554.0,324.0,236.0,237.0,81.0,244.0,590.0,41.4,346.0,410.0,97.0,313.0,454.0,1008.0,776.0,14.0,La Liga 2021-2022
vs Elche,28,38.0,588.0,346.0,244.0,268.0,76.0,258.0,597.0,43.2,339.0,363.0,87.0,276.0,359.0,947.0,617.0,9.0,La Liga 2021-2022
vs Espanyol,34,38.0,574.0,350.0,248.0,249.0,77.0,243.0,616.0,39.4,373.0,338.0,98.0,240.0,287.0,861.0,591.0,4.0,La Liga 2021-2022
vs Getafe,31,38.0,511.0,279.0,204.0,239.0,68.0,210.0,452.0,46.5,242.0,343.0,106.0,237.0,357.0,868.0,668.0,8.0,La Liga 2021-2022
vs Granada,32,38.0,546.0,280.0,268.0,193.0,85.0,225.0,495.0,45.5,270.0,359.0,106.0,253.0,307.0,853.0,662.0,11.0,La Liga 2021-2022
vs Levante,31,38.0,637.0,384.0,345.0,238.0,54.0,335.0,683.0,49.0,348.0,379.0,107.0,272.0,327.0,964.0,621.0,17.0,La Liga 2021-2022
vs Mallorca,33,38.0,648.0,351.0,257.0,304.0,87.0,244.0,612.0,39.9,368.0,377.0,121.0,256.0,306.0,954.0,746.0,10.0,La Liga 2021-2022
vs Osasuna,29,38.0,515.0,326.0,265.0,204.0,46.0,206.0,467.0,44.1,261.0,355.0,99.0,256.0,353.0,868.0,843.0,15.0,La Liga 2021-2022
vs Rayo Vallecano,28,38.0,653.0,391.0,304.0,274.0,75.0,282.0,639.0,44.1,357.0,400.0,130.0,270.0,343.0,996.0,711.0,15.0,La Liga 2021-2022
vs Real Madrid,31,38.0,601.0,346.0,347.0,159.0,95.0,324.0,780.0,41.5,456.0,443.0,161.0,282.0,342.0,943.0,696.0,16.0,La Liga 2021-2022
vs Real Sociedad,32,38.0,701.0,415.0,344.0,276.0,81.0,310.0,670.0,46.3,360.0,424.0,117.0,307.0,339.0,1040.0,693.0,9.0,La Liga 2021-2022
vs Sevilla,33,38.0,609.0,353.0,312.0,203.0,94.0,283.0,588.0,48.1,305.0,344.0,91.0,253.0,348.0,957.0,748.0,8.0,La Liga 2021-2022
vs Valencia,34,38.0,576.0,335.0,299.0,211.0,66.0,282.0,642.0,43.9,360.0,314.0,90.0,224.0,286.0,862.0,795.0,7.0,La Liga 2021-2022
vs Villarreal,29,38.0,628.0,380.0,310.0,234.0,84.0,296.0,746.0,39.7,450.0,469.0,112.0,357.0,387.0,1015.0,690.0,11.0,La Liga 2021-2022
vs Atalanta,32,38.0,683.0,407.0,385.0,234.0,64.0,307.0,679.0,45.2,372.0,515.0,184.0,331.0,429.0,1112.0,721.0,8.0,Serie A 2021-2022
vs Bologna,36,38.0,574.0,321.0,237.0,231.0,106.0,272.0,598.0,45.5,326.0,383.0,108.0,275.0,376.0,950.0,618.0,8.0,Serie A 2021-2022
vs Cagliari,33,38.0,488.0,275.0,209.0,212.0,67.0,227.0,479.0,47.4,252.0,390.0,117.0,273.0,306.0,794.0,637.0,9.0,Serie A 2021-2022
vs Empoli,28,38.0,590.0,361.0,283.0,215.0,92.0,255.0,546.0,46.7,291.0,434.0,142.0,292.0,377.0,967.0,706.0,7.0,Serie A 2021-2022
vs Fiorentina,28,38.0,515.0,289.0,264.0,191.0,60.0,240.0,541.0,44.4,301.0,386.0,119.0,267.0,351.0,866.0,687.0,4.0,Serie A 2021-2022
vs Genoa,40,38.0,651.0,370.0,277.0,304.0,70.0,278.0,580.0,47.9,302.0,418.0,105.0,313.0,350.0,1001.0,736.0,7.0,Serie A 2021-2022
vs Hellas Verona,31,38.0,659.0,367.0,305.0,287.0,67.0,276.0,589.0,46.9,313.0,425.0,117.0,308.0,425.0,1084.0,569.0,16.0,Serie A 2021-2022
vs Inter,27,38.0,461.0,251.0,230.0,172.0,59.0,216.0,471.0,45.9,255.0,447.0,172.0,275.0,395.0,856.0,832.0,8.0,Serie A 2021-2022
vs Juventus,32,38.0,582.0,334.0,277.0,224.0,81.0,270.0,637.0,42.4,367.0,389.0,120.0,269.0,364.0,946.0,570.0,12.0,Serie A 2021-2022
vs Lazio,27,38.0,547.0,319.0,243.0,223.0,81.0,274.0,608.0,45.1,334.0,351.0,89.0,262.0,399.0,946.0,621.0,14.0,Serie A 2021-2022
vs Milan,28,38.0,635.0,352.0,318.0,250.0,67.0,323.0,779.0,41.5,456.0,431.0,158.0,273.0,356.0,991.0,722.0,16.0,Serie A 2021-2022
vs Napoli,27,38.0,532.0,320.0,248.0,220.0,64.0,238.0,595.0,40.0,357.0,455.0,155.0,300.0,397.0,929.0,613.0,19.0,Serie A 2021-2022
vs Roma,29,38.0,586.0,361.0,290.0,226.0,70.0,299.0,630.0,47.5,331.0,402.0,165.0,237.0,383.0,969.0,722.0,5.0,Serie A 2021-2022
vs Salernitana,42,38.0,602.0,341.0,267.0,244.0,91.0,272.0,586.0,46.4,314.0,373.0,114.0,259.0,315.0,917.0,702.0,12.0,Serie A 2021-2022
vs Sampdoria,34,38.0,464.0,276.0,177.0,196.0,91.0,194.0,422.0,46.0,228.0,410.0,108.0,302.0,363.0,827.0,631.0,7.0,Serie A 2021-2022
vs Sassuolo,29,38.0,661.0,371.0,286.0,271.0,104.0,275.0,678.0,40.6,403.0,440.0,154.0,286.0,374.0,1035.0,573.0,12.0,Serie A 2021-2022
vs Spezia,30,38.0,607.0,366.0,270.0,234.0,103.0,254.0,546.0,46.5,292.0,388.0,105.0,283.0,334.0,941.0,514.0,7.0,Serie A 2021-2022
vs Torino,31,38.0,502.0,284.0,267.0,190.0,45.0,216.0,511.0,42.3,295.0,390.0,123.0,267.0,300.0,802.0,625.0,9.0,Serie A 2021-2022
vs Udinese,29,38.0,650.0,363.0,301.0,254.0,95.0,316.0,679.0,46.5,363.0,390.0,126.0,264.0,340.0,990.0,611.0,9.0,Serie A 2021-2022
vs Venezia,39,38.0,589.0,341.0,251.0,246.0,92.0,276.0,576.0,47.9,300.0,377.0,82.0,295.0,370.0,959.0,560.0,5.0,Serie A 2021-2022
vs Angers,30,38.0,811.0,504.0,365.0,344.0,102.0,438.0,839.0,52.2,401.0,347.0,89.0,258.0,423.0,1234.0,538.0,11.0,Ligue 1 2021-2022
vs Bordeaux,39,38.0,615.0,377.0,283.0,258.0,74.0,302.0,657.0,46.0,355.0,394.0,122.0,272.0,397.0,1012.0,641.0,15.0,Ligue 1 2021-2022
vs Brest,25,38.0,637.0,390.0,340.0,244.0,53.0,325.0,640.0,50.8,315.0,341.0,88.0,253.0,366.0,1003.0,616.0,4.0,Ligue 1 2021-2022
vs Clermont Foot,28,38.0,682.0,393.0,288.0,293.0,101.0,272.0,599.0,45.4,327.0,395.0,103.0,292.0,475.0,1157.0,642.0,9.0,Ligue 1 2021-2022
vs Lens,28,38.0,585.0,333.0,296.0,228.0,61.0,249.0,594.0,41.9,345.0,369.0,119.0,250.0,474.0,1059.0,613.0,17.0,Ligue 1 2021-2022
vs Lille,26,38.0,653.0,395.0,321.0,262.0,70.0,306.0,619.0,49.4,313.0,410.0,101.0,309.0,437.0,1090.0,601.0,10.0,Ligue 1 2021-2022
vs Lorient,29,38.0,622.0,388.0,267.0,270.0,85.0,290.0,597.0,48.6,307.0,373.0,116.0,257.0,392.0,1014.0,540.0,9.0,Ligue 1 2021-2022
vs Lyon,30,38.0,733.0,403.0,382.0,279.0,72.0,325.0,814.0,39.9,489.0,435.0,147.0,288.0,485.0,1218.0,629.0,9.0,Ligue 1 2021-2022
vs Marseille,27,38.0,594.0,351.0,307.0,210.0,77.0,266.0,573.0,46.4,307.0,414.0,127.0,287.0,404.0,998.0,610.0,5.0,Ligue 1 2021-2022
vs Metz,36,38.0,639.0,387.0,244.0,303.0,92.0,275.0,609.0,45.2,334.0,355.0,96.0,259.0,359.0,998.0,504.0,4.0,Ligue 1 2021-2022
vs Monaco,27,38.0,607.0,360.0,308.0,246.0,53.0,286.0,652.0,43.9,366.0,407.0,113.0,294.0,506.0,1113.0,806.0,9.0,Ligue 1 2021-2022
vs Montpellier,27,38.0,614.0,384.0,266.0,246.0,102.0,274.0,590.0,46.4,316.0,376.0,120.0,256.0,411.0,1025.0,683.0,9.0,Ligue 1 2021-2022
vs Nantes,26,38.0,695.0,409.0,386.0,233.0,76.0,343.0,676.0,50.7,333.0,319.0,93.0,226.0,357.0,1052.0,666.0,10.0,Ligue 1 2021-2022
vs Nice,27,38.0,658.0,386.0,321.0,252.0,85.0,310.0,697.0,44.5,387.0,372.0,100.0,272.0,381.0,1039.0,677.0,9.0,Ligue 1 2021-2022
vs Paris S-G,36,38.0,729.0,393.0,417.0,240.0,72.0,381.0,871.0,43.7,490.0,380.0,127.0,253.0,455.0,1184.0,571.0,8.0,Ligue 1 2021-2022
vs Reims,35,38.0,589.0,335.0,246.0,251.0,92.0,265.0,594.0,44.6,329.0,368.0,86.0,282.0,367.0,956.0,551.0,9.0,Ligue 1 2021-2022
vs Rennes,28,38.0,512.0,295.0,240.0,212.0,60.0,243.0,530.0,45.8,287.0,396.0,137.0,259.0,392.0,904.0,665.0,11.0,Ligue 1 2021-2022
vs Saint-Étienne,39,38.0,737.0,415.0,316.0,321.0,100.0,339.0,736.0,46.1,397.0,380.0,105.0,275.0,402.0,1139.0,591.0,16.0,Ligue 1 2021-2022
vs Strasbourg,26,38.0,526.0,284.0,269.0,199.0,58.0,226.0,498.0,45.4,272.0,348.0,99.0,249.0,406.0,932.0,771.0,19.0,Ligue 1 2021-2022
vs Troyes,35,38.0,590.0,356.0,257.0,256.0,77.0,268.0,586.0,45.7,318.0,361.0,79.0,282.0,379.0,969.0,597.0,4.0,Ligue 1 2021-2022
vs Ajax,30,34.0,609.0,365.0,339.0,208.0,62.0,257.0,657.0,39.1,400.0,481.0,174.0,307.0,437.0,1046.0,937.0,15.0,Eredivisie 2021-2022
vs AZ Alkmaar,28,34.0,565.0,344.0,258.0,236.0,71.0,239.0,547.0,43.7,308.0,391.0,107.0,284.0,373.0,938.0,617.0,11.0,Eredivisie 2021-2022
vs Cambuur,27,34.0,485.0,309.0,208.0,208.0,69.0,219.0,486.0,45.1,267.0,294.0,73.0,221.0,292.0,777.0,458.0,12.0,Eredivisie 2021-2022
vs Feyenoord,31,34.0,583.0,332.0,327.0,182.0,74.0,250.0,712.0,35.1,462.0,446.0,168.0,278.0,446.0,1029.0,854.0,15.0,Eredivisie 2021-2022
vs Fortuna Sittard,29,34.0,511.0,309.0,205.0,225.0,81.0,247.0,576.0,42.9,329.0,304.0,75.0,229.0,250.0,761.0,549.0,8.0,Eredivisie 2021-2022
vs Go Ahead Eag,26,34.0,585.0,342.0,258.0,228.0,99.0,245.0,530.0,46.2,285.0,393.0,81.0,312.0,333.0,918.0,550.0,10.0,Eredivisie 2021-2022
vs Groningen,28,34.0,498.0,298.0,237.0,194.0,67.0,235.0,486.0,48.4,251.0,292.0,91.0,201.0,282.0,780.0,717.0,10.0,Eredivisie 2021-2022
vs Heerenveen,32,34.0,550.0,321.0,254.0,208.0,88.0,253.0,552.0,45.8,299.0,326.0,87.0,239.0,360.0,910.0,649.0,9.0,Eredivisie 2021-2022
vs Heracles Almelo,31,34.0,632.0,363.0,265.0,275.0,92.0,288.0,671.0,42.9,383.0,401.0,129.0,272.0,332.0,964.0,628.0,12.0,Eredivisie 2021-2022
vs NEC Nijmegen,25,34.0,688.0,405.0,283.0,295.0,110.0,302.0,681.0,44.3,379.0,392.0,121.0,271.0,381.0,1069.0,510.0,22.0,Eredivisie 2021-2022
vs PSV Eindhoven,30,34.0,695.0,418.0,372.0,256.0,67.0,348.0,770.0,45.2,422.0,488.0,165.0,323.0,503.0,1198.0,734.0,11.0,Eredivisie 2021-2022
vs RKC Waalwijk,26,34.0,599.0,352.0,268.0,241.0,90.0,283.0,571.0,49.6,288.0,379.0,99.0,280.0,369.0,968.0,557.0,13.0,Eredivisie 2021-2022
vs Sparta R'dam,32,34.0,473.0,274.0,219.0,192.0,62.0,226.0,453.0,49.9,227.0,315.0,84.0,231.0,359.0,832.0,588.0,6.0,Eredivisie 2021-2022
vs Twente,28,34.0,554.0,337.0,291.0,202.0,61.0,296.0,593.0,49.9,297.0,352.0,107.0,245.0,426.0,980.0,607.0,18.0,Eredivisie 2021-2022
vs Utrecht,36,34.0,632.0,350.0,291.0,264.0,77.0,314.0,599.0,52.4,285.0,449.0,131.0,318.0,378.0,1010.0,778.0,8.0,Eredivisie 2021-2022
vs Vitesse,29,34.0,598.0,349.0,280.0,238.0,80.0,264.0,565.0,46.7,301.0,395.0,117.0,278.0,383.0,981.0,700.0,14.0,Eredivisie 2021-2022
vs Willem II,33,34.0,586.0,344.0,278.0,254.0,54.0,278.0,627.0,44.3,349.0,331.0,86.0,245.0,323.0,909.0,658.0,11.0,Eredivisie 2021-2022
vs Zwolle,32,34.0,624.0,338.0,308.0,254.0,62.0,288.0,582.0,49.5,294.0,412.0,112.0,300.0,374.0,998.0,699.0,9.0,Eredivisie 2021-2022
vs Arouca,35,34.0,513.0,316.0,231.0,215.0,67.0,218.0,486.0,44.9,268.0,333.0,114.0,219.0,362.0,875.0,706.0,9.0,Primeira Liga 2021-2022
vs B-SAD,37,34.0,417.0,,175.0,186.0,56.0,204.0,412.0,49.5,208.0,289.0,83.0,206.0,,,571.0,4.0,Primeira Liga 2021-2022
vs Benfica,35,34.0,619.0,373.0,351.0,221.0,47.0,323.0,733.0,44.1,410.0,369.0,110.0,259.0,393.0,1012.0,702.0,10.0,Primeira Liga 2021-2022
vs Boavista,28,34.0,558.0,346.0,242.0,240.0,76.0,318.0,668.0,47.6,350.0,325.0,93.0,232.0,304.0,862.0,477.0,12.0,Primeira Liga 2021-2022
vs Braga,40,34.0,519.0,316.0,266.0,211.0,42.0,245.0,517.0,47.4,272.0,342.0,97.0,245.0,424.0,943.0,542.0,4.0,Primeira Liga 2021-2022
vs Estoril,31,34.0,460.0,278.0,226.0,167.0,67.0,217.0,482.0,45.0,265.0,291.0,75.0,216.0,355.0,815.0,526.0,2.0,Primeira Liga 2021-2022
vs Famalicão,37,34.0,595.0,375.0,279.0,249.0,67.0,289.0,619.0,46.7,330.0,295.0,96.0,199.0,319.0,914.0,555.0,5.0,Primeira Liga 2021-2022
vs Gil Vicente FC,29,34.0,486.0,304.0,239.0,177.0,70.0,251.0,524.0,47.9,273.0,385.0,111.0,274.0,376.0,862.0,627.0,8.0,Primeira Liga 2021-2022
vs Marítimo,30,34.0,598.0,339.0,236.0,273.0,89.0,304.0,641.0,47.4,337.0,315.0,81.0,234.0,352.0,950.0,491.0,7.0,Primeira Liga 2021-2022
vs Moreirense,29,34.0,492.0,309.0,232.0,218.0,42.0,241.0,525.0,45.9,284.0,331.0,109.0,222.0,318.0,810.0,777.0,12.0,Primeira Liga 2021-2022
vs Paços de Ferreira,30,34.0,454.0,270.0,200.0,197.0,57.0,204.0,412.0,49.5,208.0,325.0,97.0,228.0,320.0,774.0,618.0,11.0,Primeira Liga 2021-2022
vs Portimonense,35,34.0,523.0,302.0,247.0,216.0,60.0,281.0,603.0,46.6,322.0,287.0,91.0,196.0,309.0,832.0,525.0,3.0,Primeira Liga 2021-2022
vs Porto,33,34.0,527.0,314.0,330.0,157.0,40.0,301.0,668.0,45.1,367.0,380.0,132.0,248.0,378.0,905.0,768.0,15.0,Primeira Liga 2021-2022
vs Santa Clara,32,34.0,485.0,285.0,191.0,206.0,88.0,234.0,504.0,46.4,270.0,323.0,81.0,242.0,321.0,806.0,526.0,7.0,Primeira Liga 2021-2022
vs Sporting CP,31,34.0,514.0,303.0,228.0,207.0,79.0,234.0,597.0,39.2,363.0,347.0,119.0,228.0,349.0,863.0,701.0,11.0,Primeira Liga 2021-2022
vs Tondela,27,34.0,516.0,305.0,226.0,199.0,91.0,205.0,476.0,43.1,271.0,315.0,55.0,260.0,351.0,867.0,486.0,8.0,Primeira Liga 2021-2022
vs Vitória,31,34.0,530.0,322.0,285.0,204.0,41.0,271.0,576.0,47.0,305.0,300.0,122.0,178.0,316.0,846.0,695.0,10.0,Primeira Liga 2021-2022
vs Vizela,31,34.0,446.0,261.0,195.0,189.0,62.0,210.0,437.0,48.1,227.0,414.0,139.0,275.0,373.0,819.0,651.0,12.0,Primeira Liga 2021-2022
vs Barnsley,34,46.0,828.0,500.0,351.0,361.0,116.0,359.0,734.0,48.9,375.0,458.0,113.0,345.0,518.0,1346.0,730.0,6.0,Championship 2021-2022
vs Birmingham City,35,46.0,696.0,389.0,352.0,269.0,75.0,324.0,676.0,47.9,352.0,416.0,143.0,273.0,399.0,1095.0,1015.0,13.0,Championship 2021-2022
vs Blackburn,32,46.0,791.0,453.0,427.0,287.0,77.0,360.0,752.0,47.9,392.0,426.0,126.0,300.0,443.0,1234.0,832.0,15.0,Championship 2021-2022
vs Blackpool,34,46.0,721.0,438.0,370.0,272.0,79.0,348.0,682.0,51.0,334.0,448.0,137.0,311.0,423.0,1144.0,854.0,7.0,Championship 2021-2022
vs Bournemouth,32,46.0,750.0,429.0,372.0,288.0,90.0,352.0,713.0,49.4,361.0,507.0,155.0,352.0,520.0,1270.0,772.0,16.0,Championship 2021-2022
vs Bristol City,30,46.0,576.0,337.0,257.0,253.0,66.0,291.0,570.0,51.1,279.0,379.0,112.0,267.0,394.0,970.0,921.0,5.0,Championship 2021-2022
vs Cardiff City,32,46.0,633.0,375.0,316.0,262.0,55.0,259.0,495.0,52.3,236.0,411.0,130.0,281.0,472.0,1105.0,1028.0,12.0,Championship 2021-2022
vs Coventry City,25,46.0,730.0,467.0,392.0,275.0,63.0,356.0,672.0,53.0,316.0,564.0,200.0,364.0,666.0,1396.0,899.0,19.0,Championship 2021-2022
vs Derby County,31,46.0,750.0,433.0,375.0,292.0,83.0,353.0,737.0,47.9,384.0,452.0,150.0,302.0,383.0,1133.0,776.0,13.0,Championship 2021-2022
vs Fulham,29,46.0,718.0,429.0,342.0,278.0,98.0,323.0,730.0,44.2,407.0,513.0,179.0,334.0,485.0,1203.0,928.0,19.0,Championship 2021-2022
vs Huddersfield,28,46.0,625.0,368.0,248.0,293.0,84.0,254.0,580.0,43.8,326.0,472.0,138.0,334.0,454.0,1079.0,750.0,9.0,Championship 2021-2022
vs Hull City,34,46.0,597.0,380.0,295.0,235.0,67.0,273.0,599.0,45.6,326.0,415.0,129.0,286.0,387.0,984.0,841.0,10.0,Championship 2021-2022
vs Luton Town,29,46.0,697.0,437.0,399.0,228.0,70.0,354.0,618.0,57.3,264.0,439.0,133.0,306.0,442.0,1139.0,941.0,12.0,Championship 2021-2022
vs Middlesbrough,30,46.0,729.0,456.0,401.0,259.0,69.0,342.0,694.0,49.3,352.0,461.0,152.0,309.0,485.0,1214.0,871.0,14.0,Championship 2021-2022
vs Millwall,26,46.0,589.0,363.0,297.0,240.0,52.0,279.0,555.0,50.3,276.0,428.0,122.0,306.0,405.0,994.0,1059.0,5.0,Championship 2021-2022
vs Nott'ham Forest,33,46.0,830.0,512.0,398.0,335.0,97.0,377.0,802.0,47.0,425.0,462.0,168.0,294.0,441.0,1271.0,757.0,23.0,Championship 2021-2022
vs P'borough Utd,33,46.0,656.0,395.0,270.0,292.0,94.0,263.0,604.0,43.5,341.0,433.0,133.0,300.0,472.0,1128.0,777.0,10.0,Championship 2021-2022
vs Preston,29,46.0,687.0,392.0,362.0,259.0,66.0,287.0,521.0,55.1,234.0,507.0,155.0,352.0,497.0,1184.0,939.0,8.0,Championship 2021-2022
vs QPR,27,46.0,624.0,393.0,291.0,247.0,86.0,262.0,606.0,43.2,344.0,468.0,154.0,314.0,466.0,1090.0,907.0,7.0,Championship 2021-2022
vs Reading,36,46.0,799.0,451.0,349.0,356.0,94.0,346.0,743.0,46.6,397.0,437.0,126.0,311.0,497.0,1296.0,743.0,7.0,Championship 2021-2022
vs Sheffield Utd,33,46.0,692.0,419.0,358.0,266.0,68.0,297.0,653.0,45.5,356.0,521.0,152.0,369.0,531.0,1223.0,1011.0,7.0,Championship 2021-2022
