Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,League,Season
15,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,22,2002,3,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,Ligue 1,2024/25
16,Jean-Eudes Aholou,ci CIV,MF,Angers,30,1994,26,26,"1,959",21.8,2,0,2,2,0,0,7,0,1.8,1.8,1.0,2.8,15,68,16,0.09,0.00,0.09,0.09,0.09,0.08,0.05,0.13,0.08,0.13,Matches,Ligue 1,2024/25
17,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,19,2005,5,1,127,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,5,8,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches,Ligue 1,2024/25
18,Ludovic Ajorque,fr FRA,FW,Brest,30,1994,31,29,"2,495",27.7,13,2,15,13,0,1,5,0,10.4,9.6,3.1,12.7,10,41,124,0.47,0.07,0.54,0.47,0.54,0.38,0.11,0.49,0.35,0.46,Matches,Ligue 1,2024/25
19,Ümit Akdag,ro ROU,DF,Toulouse,20,2003,9,6,500,5.6,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,4,29,9,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Matches,Ligue 1,2024/25
20,Sergio Akieme,es ESP,DF,Reims,26,1997,30,29,"2,523",28.0,2,3,5,2,0,0,5,0,1.5,1.5,2.5,4.0,55,86,97,0.07,0.11,0.18,0.07,0.18,0.05,0.09,0.14,0.05,0.14,Matches,Ligue 1,2024/25
21,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,22,2002,32,27,"2,406",26.7,5,10,15,4,1,1,2,0,9.2,8.4,7.3,15.7,127,173,226,0.19,0.37,0.56,0.15,0.52,0.35,0.27,0.62,0.32,0.59,Matches,Ligue 1,2024/25
22,Paul Akouokou,ci CIV,MF,Lyon,26,1997,2,0,19,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2024/25
23,Clément Akpa,ci CIV,DF,Auxerre,22,2001,31,29,"2,486",27.6,0,1,1,0,0,0,7,0,0.3,0.3,0.9,1.2,27,74,24,0.00,0.04,0.04,0.00,0.04,0.01,0.03,0.04,0.01,0.04,Matches,Ligue 1,2024/25
24,Chuba Akpom,eng ENG,FW,Lille,28,1995,14,6,639,7.1,3,1,4,2,1,2,0,0,5.0,3.4,0.5,3.9,6,7,38,0.42,0.14,0.56,0.28,0.42,0.70,0.08,0.78,0.48,0.56,Matches,Ligue 1,2024/25
