Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,League,Season
70,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,22,2001,30,14,"1,263",14.0,1,3,4,1,0,0,6,0,1.6,1.6,1.9,3.6,43,48,152,0.07,0.21,0.29,0.07,0.29,0.12,0.14,0.26,0.12,0.26,Matches,laliga,2024/25
71,Pablo Barrios,es ESP,MF,Atlético Madrid,21,2003,31,28,"2,330",25.9,1,4,5,1,0,0,4,1,1.3,1.3,2.4,3.7,29,142,69,0.04,0.15,0.19,0.04,0.19,0.05,0.09,0.14,0.05,0.14,Matches,laliga,2024/25
72,Thierno Barry,fr FRA,FW,Villarreal,21,2002,35,25,"2,323",25.8,11,4,15,10,1,1,4,0,12.5,11.7,2.9,14.6,44,27,124,0.43,0.15,0.58,0.39,0.54,0.48,0.11,0.60,0.45,0.57,Matches,laliga,2024/25
73,Marc Bartra,es ESP,DF,Betis,33,1991,25,23,"2,099",23.3,2,1,3,2,0,0,2,0,1.2,1.2,0.2,1.4,7,68,1,0.09,0.04,0.13,0.09,0.13,0.05,0.01,0.06,0.05,0.06,Matches,laliga,2024/25
74,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,laliga,2024/25
75,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,32,"2,880",32.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,laliga,2024/25
76,Rafael Bauza,es ESP,MF,Espanyol,19,2005,5,2,183,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,7,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,laliga,2024/25
77,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,29,1995,22,11,995,11.1,2,1,3,2,0,0,1,1,2.0,2.0,2.0,4.0,51,23,110,0.18,0.09,0.27,0.18,0.27,0.18,0.18,0.36,0.18,0.36,Matches,laliga,2024/25
78,Donny van de Beek,nl NED,MF,Girona,27,1997,26,16,"1,421",15.8,2,2,4,2,0,0,5,0,1.5,1.5,3.2,4.7,17,45,85,0.13,0.13,0.25,0.13,0.25,0.10,0.21,0.30,0.09,0.30,Matches,laliga,2024/25
79,Luken Beitia,es ESP,DF,Real Sociedad,20,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,laliga,2024/25
80,Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,19,2004,5,0,69,0.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,laliga,2024/25
81,Héctor Bellerín,es ESP,DF,Betis,29,1995,9,6,580,6.4,0,2,2,0,0,0,1,0,0.2,0.2,2.0,2.2,3,24,22,0.00,0.31,0.31,0.00,0.31,0.03,0.32,0.35,0.03,0.35,Matches,laliga,2024/25
82,Jude Bellingham,eng ENG,MF,Real Madrid,21,2003,31,29,"2,488",27.6,9,8,17,8,1,2,5,1,11.4,9.9,3.9,13.7,74,199,143,0.33,0.29,0.61,0.29,0.58,0.41,0.14,0.55,0.36,0.50,Matches,laliga,2024/25
83,Fran Beltrán,es ESP,MF,Celta Vigo,25,1999,34,29,"2,421",26.9,2,1,3,2,0,0,3,0,1.0,1.0,1.8,2.8,28,152,29,0.07,0.04,0.11,0.07,0.11,0.04,0.07,0.10,0.04,0.10,Matches,laliga,2024/25
