Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,League,Season
Fiorentina,34,26.3,51.0,37,407,"3,419",38.0,55,37,92,49,6,8,81,3,48.9,42.6,35.1,77.7,620,1240,1.45,0.97,2.42,1.29,2.26,1.29,0.92,2.21,1.12,2.04,Serie A,2024/25
Genoa,37,26.2,45.6,38,418,"3,420",38.0,35,27,62,35,0,2,71,1,37.2,35.5,26.8,62.3,470,980,0.92,0.71,1.63,0.92,1.63,0.98,0.71,1.68,0.93,1.64,Serie A,2024/25
Hellas Verona,32,25.1,38.7,38,418,"3,420",38.0,31,20,51,29,2,2,98,9,33.8,32.3,24.8,57.1,449,1011,0.82,0.53,1.34,0.76,1.29,0.89,0.65,1.54,0.85,1.5,Serie A,2024/25
Inter,26,29.4,59.4,37,407,"3,419",38.0,76,57,133,68,8,9,56,1,66.9,60.1,48.3,108.5,694,1730,2.0,1.5,3.5,1.79,3.29,1.76,1.27,3.03,1.58,2.85,Serie A,2024/25
Juventus,29,24.6,57.2,38,418,"3,420",38.0,56,40,96,50,6,6,67,3,51.0,46.3,35.9,82.2,810,1561,1.47,1.05,2.53,1.32,2.37,1.34,0.94,2.29,1.22,2.16,Serie A,2024/25
Lazio,27,27.1,55.1,38,418,"3,420",38.0,60,43,103,54,6,7,93,7,57.2,52.0,38.5,90.4,774,1588,1.58,1.13,2.71,1.42,2.55,1.51,1.01,2.52,1.37,2.38,Serie A,2024/25
Lecce,31,26.1,43.8,38,418,"3,420",38.0,27,21,48,24,3,4,61,7,34.6,31.8,24.5,56.3,519,1071,0.71,0.55,1.26,0.63,1.18,0.91,0.65,1.56,0.84,1.48,Serie A,2024/25
Milan,35,25.6,53.9,38,418,"3,420",38.0,59,43,102,55,4,8,70,6,63.7,57.5,46.8,104.4,915,1589,1.55,1.13,2.68,1.45,2.58,1.68,1.23,2.91,1.51,2.75,Serie A,2024/25
Monza,36,26.8,48.5,38,418,"3,420",38.0,27,18,45,24,3,3,90,3,29.9,27.7,20.9,48.6,533,1096,0.71,0.47,1.18,0.63,1.11,0.79,0.55,1.34,0.73,1.28,Serie A,2024/25
Napoli,27,28.6,54.6,38,418,"3,420",38.0,56,42,98,52,4,5,47,0,52.9,49.1,39.1,88.2,739,1546,1.47,1.11,2.58,1.37,2.47,1.39,1.03,2.42,1.29,2.32,Serie A,2024/25
Parma,32,23.8,44.2,38,418,"3,420",38.0,43,31,74,37,6,7,78,6,43.1,37.6,29.3,66.9,578,1059,1.13,0.82,1.95,0.97,1.79,1.13,0.77,1.9,0.99,1.76,Serie A,2024/25
Roma,28,26.5,53.9,38,418,"3,420",38.0,55,35,90,47,8,8,66,1,53.0,46.7,35.0,81.7,691,1501,1.45,0.92,2.37,1.24,2.16,1.39,0.92,2.32,1.23,2.15,Serie A,2024/25
Torino,31,26.7,47.5,38,418,"3,420",38.0,36,21,57,34,2,4,80,3,34.6,31.6,22.5,54.0,529,1113,0.95,0.55,1.5,0.89,1.45,0.91,0.59,1.5,0.83,1.42,Serie A,2024/25
Udinese,31,26.4,47.2,38,418,"3,420",38.0,41,28,69,39,2,4,88,5,38.2,35.0,27.2,62.1,566,1160,1.08,0.74,1.82,1.03,1.76,1.01,0.71,1.72,0.92,1.64,Serie A,2024/25
Venezia,36,25.4,45.1,38,418,"3,420",38.0,31,16,47,27,4,5,75,2,35.8,32.0,22.2,54.2,507,1066,0.82,0.42,1.24,0.71,1.13,0.94,0.58,1.53,0.84,1.43,Serie A,2024/25
