Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,League,Season
Heracles Almelo,24,24.4,45.4,34,374,"3,060",34.0,42,29,71,37,5,5,58,2,41.8,38.2,29.4,67.6,531,1040,1.24,0.85,2.09,1.09,1.94,1.23,0.87,2.09,1.12,1.99,Eredivisie,2024/25
NAC Breda,30,25.2,45.0,34,374,"3,060",34.0,34,22,56,31,3,3,63,5,38.8,36.4,27.9,64.3,504,1044,1.0,0.65,1.65,0.91,1.56,1.14,0.82,1.96,1.07,1.89,Eredivisie,2024/25
NEC Nijmegen,25,25.2,48.6,34,374,"3,060",34.0,51,31,82,48,3,3,51,3,44.7,42.3,30.7,73.1,514,1101,1.5,0.91,2.41,1.41,2.32,1.31,0.9,2.22,1.24,2.15,Eredivisie,2024/25
PSV Eindhoven,32,26.2,67.5,34,374,"3,060",34.0,99,85,184,97,2,4,34,1,83.0,79.8,68.6,148.4,952,2237,2.91,2.5,5.41,2.85,5.35,2.44,2.02,4.46,2.35,4.37,Eredivisie,2024/25
RKC Waalwijk,29,25.6,43.9,34,374,"3,060",34.0,41,24,65,38,3,3,43,7,41.3,39.0,31.1,70.2,572,1052,1.21,0.71,1.91,1.12,1.82,1.21,0.92,2.13,1.15,2.06,Eredivisie,2024/25
Sparta R'dam,29,25.0,48.9,34,374,"3,060",34.0,38,29,67,36,2,2,50,3,42.8,41.2,32.7,73.9,619,1350,1.12,0.85,1.97,1.06,1.91,1.26,0.96,2.22,1.21,2.17,Eredivisie,2024/25
Twente,29,25.7,53.3,34,374,"3,060",34.0,61,43,104,54,7,7,44,1,54.9,49.5,40.2,89.7,616,1511,1.79,1.26,3.06,1.59,2.85,1.62,1.18,2.8,1.46,2.64,Eredivisie,2024/25
Utrecht,27,26.0,46.6,34,374,"3,060",34.0,58,43,101,56,2,2,48,1,49.3,47.8,37.5,85.2,578,1312,1.71,1.26,2.97,1.65,2.91,1.45,1.1,2.55,1.41,2.51,Eredivisie,2024/25
Willem II,26,25.8,44.0,34,374,"3,060",34.0,30,18,48,27,3,3,61,3,26.5,24.3,19.2,43.5,458,977,0.88,0.53,1.41,0.79,1.32,0.78,0.57,1.35,0.71,1.28,Eredivisie,2024/25
Zwolle,26,24.3,50.2,34,374,"3,060",34.0,42,28,70,39,3,3,52,3,39.0,36.6,29.9,66.5,524,1244,1.24,0.82,2.06,1.15,1.97,1.15,0.88,2.02,1.08,1.96,Eredivisie,2024/25
Alavés,29,26.6,45.3,38,418,"3,420",38.0,38,20,58,29,9,11,107,5,42.8,34.1,25.4,59.5,449,1160,1.0,0.53,1.53,0.76,1.29,1.13,0.67,1.79,0.9,1.57,La Liga,2024/25
Athletic Club,31,26.9,48.4,38,418,"3,420",38.0,53,40,93,50,3,6,64,3,53.0,48.2,36.7,84.9,682,1579,1.39,1.05,2.45,1.32,2.37,1.39,0.97,2.36,1.27,2.23,La Liga,2024/25
Atlético Madrid,24,28.4,52.6,38,418,"3,420",38.0,68,51,119,62,6,7,75,3,64.6,59.3,47.9,107.2,760,1559,1.79,1.34,3.13,1.63,2.97,1.7,1.26,2.96,1.56,2.82,La Liga,2024/25
Barcelona,28,24.7,68.3,38,418,"3,420",38.0,99,72,171,92,7,8,63,3,91.5,85.2,67.5,152.7,860,2212,2.61,1.89,4.5,2.42,4.32,2.41,1.78,4.18,2.24,4.02,La Liga,2024/25
Betis,36,27.5,52.4,38,418,"3,420",38.0,55,37,92,48,7,10,75,4,54.7,46.9,37.5,84.5,679,1486,1.45,0.97,2.42,1.26,2.24,1.44,0.99,2.43,1.23,2.22,La Liga,2024/25
Celta Vigo,30,26.9,53.6,38,418,"3,420",38.0,58,40,98,50,8,9,84,6,54.2,47.3,38.4,85.7,709,1659,1.53,1.05,2.58,1.32,2.37,1.43,1.01,2.44,1.24,2.26,La Liga,2024/25
