Empty,Empty,Empty,Empty,Empty,Empty,Empty,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Matches,League,Season
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
16,Pedro Amaral,pt POR,"DF,MF",Estoril,26,1997,29,27,"2,395",26.6,0,2,2,0,0,0,4,0,0.7,0.7,2.1,2.8,30,100,103,0.00,0.08,0.08,0.00,0.08,0.03,0.08,0.11,0.03,0.11,Matches,Primeira Liga,2024/25
17,Zeki Amdouni,ch SUI,"MF,FW",Benfica,23,2000,24,9,854,9.5,7,2,9,7,0,0,1,0,5.2,5.2,3.4,8.5,23,33,66,0.74,0.21,0.95,0.74,0.95,0.55,0.36,0.90,0.55,0.90,Matches,Primeira Liga,2024/25
18,Artur Jorge Marques Amorim,pt POR,DF,Farense,29,1994,19,15,"1,281",14.2,0,1,1,0,0,0,9,0,0.9,0.9,0.3,1.2,1,22,1,0.00,0.07,0.07,0.00,0.07,0.07,0.02,0.09,0.07,0.09,Matches,Primeira Liga,2024/25
19,Andrew,br BRA,GK,Gil Vicente FC,23,2001,33,33,"2,970",33.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
20,Jeremy Antonisse,cw CUW,"FW,MF",Moreirense,22,2002,29,7,839,9.3,0,0,0,0,0,0,2,0,1.9,1.9,1.1,3.0,24,12,51,0.00,0.00,0.00,0.00,0.00,0.21,0.12,0.32,0.21,0.32,Matches,Primeira Liga,2024/25
21,Arvin Appiah,eng ENG,"DF,FW",Nacional,23,2001,26,16,"1,384",15.4,0,0,0,0,0,0,3,0,0.9,0.9,0.8,1.6,33,36,67,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Matches,Primeira Liga,2024/25
22,Óscar Aranda,es ESP,FW,Famalicão,22,2002,33,33,"2,599",28.9,9,3,12,5,4,5,5,0,7.3,3.4,2.4,5.8,69,126,140,0.31,0.10,0.42,0.17,0.28,0.25,0.08,0.34,0.12,0.20,Matches,Primeira Liga,2024/25
23,Brian Araújo,fr FRA,GK,Gil Vicente FC,24,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
24,Henrique Araújo,pt POR,FW,Arouca,22,2002,24,14,"1,107",12.3,6,2,8,3,3,3,3,0,6.1,3.4,1.1,4.5,13,25,51,0.49,0.16,0.65,0.24,0.41,0.50,0.09,0.58,0.28,0.36,Matches,Primeira Liga,2024/25
25,Maximiliano Araújo,uy URU,"DF,MF",Sporting CP,24,2000,28,19,"1,771",19.7,3,4,7,3,0,0,7,1,2.6,2.6,4.3,6.9,52,89,201,0.15,0.20,0.36,0.15,0.36,0.13,0.22,0.35,0.13,0.35,Matches,Primeira Liga,2024/25
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Primeira Liga,2024/25
