Empty,Empty,Empty,Empty,Empty,Empty,Empty,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Matches,League,Season
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
86,Leonel Bucca,ar ARG,"MF,FW",Estrela,25,1999,30,16,"1,346",15.0,2,2,4,2,0,0,8,0,2.0,2.0,1.8,3.7,9,45,57,0.13,0.13,0.27,0.13,0.27,0.13,0.12,0.25,0.13,0.25,Matches,Primeira Liga,2024/25
87,Leonardo Buta,pt POR,DF,Moreirense,22,2002,7,5,508,5.6,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,9,15,23,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches,Primeira Liga,2024/25
88,Adrián Butzke,es ESP,FW,Nacional,25,1999,10,5,484,5.4,0,1,1,0,0,0,2,0,1.7,1.7,0.4,2.1,4,13,25,0.00,0.19,0.19,0.00,0.19,0.31,0.08,0.39,0.31,0.39,Matches,Primeira Liga,2024/25
89,Arthur Cabral,br BRA,FW,Benfica,26,1998,21,2,376,4.2,2,0,2,2,0,1,2,0,2.1,1.3,1.4,2.7,4,1,30,0.48,0.00,0.48,0.48,0.48,0.51,0.34,0.85,0.32,0.66,Matches,Primeira Liga,2024/25
90,Daniel Cabral,br BRA,MF,Estrela,22,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
91,Jovane Cabral,cv CPV,"FW,MF",Estrela,26,1998,26,13,"1,154",12.8,2,1,3,2,0,1,4,0,2.4,1.6,1.4,3.0,21,46,59,0.16,0.08,0.23,0.16,0.23,0.19,0.11,0.30,0.12,0.24,Matches,Primeira Liga,2024/25
92,Lucas Calegari,br BRA,DF,Famalicão,22,2002,18,17,"1,489",16.5,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.8,16,49,53,0.00,0.06,0.06,0.00,0.06,0.01,0.04,0.05,0.01,0.05,Matches,Primeira Liga,2024/25
93,Diogo Calila,pt POR,"MF,DF",Santa Clara,25,1998,31,21,"1,750",19.4,1,2,3,1,0,0,9,0,0.9,0.9,1.1,2.0,36,42,100,0.05,0.10,0.15,0.05,0.15,0.05,0.06,0.10,0.05,0.10,Matches,Primeira Liga,2024/25
94,Ibrahima Camará,gn GUI,MF,Boavista,25,1999,26,16,"1,332",14.8,0,0,0,0,0,0,6,1,0.1,0.1,0.7,0.8,4,48,7,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches,Primeira Liga,2024/25
95,André Candeias,pt POR,"FW,MF",Farense,21,2003,2,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,9,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches,Primeira Liga,2024/25
96,Lazar Carević,me MNE,GK,Famalicão,25,1999,18,18,"1,620",18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
97,Zé Carlos,pt POR,"MF,DF",Vitória,22,2001,7,1,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,7,9,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,Primeira Liga,2024/25
98,Zé Carlos,pt POR,MF,Farense,22,2001,9,8,670,7.4,0,0,0,0,0,0,1,1,0.1,0.1,0.1,0.1,2,27,9,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,Primeira Liga,2024/25
99,Zé Carlos,pt POR,DF,Gil Vicente FC,26,1998,31,31,"2,707",30.1,0,0,0,0,0,0,4,0,0.6,0.6,2.0,2.6,57,99,101,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches,Primeira Liga,2024/25
100,Álvaro Carreras,es ESP,DF,Benfica,21,2003,32,30,"2,743",30.5,3,1,4,3,0,0,9,0,1.3,1.3,3.0,4.3,87,202,211,0.10,0.03,0.13,0.10,0.13,0.04,0.10,0.14,0.04,0.14,Matches,Primeira Liga,2024/25
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Primeira Liga,2024/25
101,João Carvalho,pt POR,"MF,FW",Estoril,27,1997,28,27,"2,308",25.6,6,3,9,6,0,0,5,1,1.8,1.8,4.1,5.9,39,135,128,0.23,0.12,0.35,0.23,0.35,0.07,0.16,0.23,0.07,0.23,Matches,Primeira Liga,2024/25
102,Pedro Carvalho,pt POR,"DF,MF",Estoril,21,2003,19,6,765,8.5,0,2,2,0,0,0,2,0,0.9,0.9,2.3,3.2,30,35,57,0.00,0.24,0.24,0.00,0.24,0.10,0.28,0.38,0.10,0.38,Matches,Primeira Liga,2024/25
103,Vitor Carvalho,br BRA,MF,Braga,27,1997,23,18,"1,501",16.7,0,0,0,0,0,0,3,0,1.0,1.0,0.6,1.7,13,82,19,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10,Matches,Primeira Liga,2024/25
104,Facundo Cáseres,ar ARG,MF,Gil Vicente FC,23,2001,20,16,"1,404",15.6,0,0,0,0,0,0,3,0,0.4,0.4,0.7,1.1,7,65,10,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,Matches,Primeira Liga,2024/25
105,Cassiano,br BRA,FW,Casa Pia,35,1989,26,24,"1,976",22.0,10,2,12,6,4,4,4,0,8.9,5.7,1.6,7.3,21,21,63,0.46,0.09,0.55,0.27,0.36,0.40,0.07,0.48,0.26,0.33,Matches,Primeira Liga,2024/25
106,Jesús Castillo,pe PER,MF,Gil Vicente FC,23,2001,15,9,822,9.1,0,0,0,0,0,0,1,0,0.7,0.7,0.9,1.6,4,37,10,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.18,0.08,0.18,Matches,Primeira Liga,2024/25
107,André Castro,pt POR,MF,Moreirense,36,1988,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
108,Cristian Castro,co COL,DF,AVS Futebol,23,2001,32,32,"2,745",30.5,1,1,2,1,0,0,5,0,0.6,0.6,1.4,2.0,10,65,1,0.03,0.03,0.07,0.03,0.07,0.02,0.04,0.07,0.02,0.07,Matches,Primeira Liga,2024/25
109,Geny Catamo,mz MOZ,"MF,DF",Sporting CP,23,2001,30,20,"1,911",21.2,5,2,7,5,0,0,3,0,5.4,5.4,4.8,10.2,108,104,240,0.24,0.09,0.33,0.24,0.33,0.25,0.22,0.48,0.25,0.48,Matches,Primeira Liga,2024/25
110,Cauê,br BRA,FW,Gil Vicente FC,21,2002,15,7,667,7.4,1,0,1,1,0,0,3,1,0.8,0.8,0.1,0.9,7,12,35,0.13,0.00,0.13,0.13,0.13,0.11,0.01,0.12,0.11,0.12,Matches,Primeira Liga,2024/25
111,Cauê,br BRA,"FW,MF",Casa Pia,21,2002,12,3,349,3.9,1,0,1,1,0,0,2,0,1.0,1.0,0.0,1.0,3,8,21,0.26,0.00,0.26,0.26,0.26,0.27,0.00,0.27,0.27,0.27,Matches,Primeira Liga,2024/25
112,César,br BRA,GK,Boavista,32,1992,16,16,"1,440",16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
113,Tidjany Chabrol,fr FRA,"FW,MF",Gil Vicente FC,22,2002,25,13,"1,046",11.6,1,2,3,1,0,0,4,1,1.8,1.8,1.0,2.8,37,29,78,0.09,0.17,0.26,0.09,0.26,0.16,0.08,0.24,0.16,0.24,Matches,Primeira Liga,2024/25
114,Kevin Chamorro,cr CRC,GK,Estoril,24,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
115,Francisco Chissumba,pt POR,DF,Braga,19,2005,16,16,"1,429",15.9,0,1,1,0,0,0,3,0,0.6,0.6,1.0,1.6,31,62,104,0.00,0.06,0.06,0.00,0.06,0.03,0.07,0.10,0.03,0.10,Matches,Primeira Liga,2024/25
116,Till Cissokho,fr FRA,DF,Estrela,24,2000,4,4,360,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,Primeira Liga,2024/25
117,Clayton,br BRA,DF,AVS Futebol,24,2000,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
118,Clayton,br BRA,FW,Rio Ave,25,1999,31,31,"2,707",30.1,14,2,16,11,3,3,13,1,12.7,10.3,1.7,12.1,40,30,143,0.47,0.07,0.53,0.37,0.43,0.42,0.06,0.48,0.34,0.40,Matches,Primeira Liga,2024/25
119,Diego Collado,es ESP,"MF,FW",Gil Vicente FC,23,2001,5,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,Primeira Liga,2024/25
120,Semeu Commey,gh GHA,DF,Estrela,20,2004,2,0,45,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches,Primeira Liga,2024/25
121,Fábio Conceição,pt POR,"MF,FW",Estrela,23,2001,11,7,680,7.6,0,0,0,0,0,0,0,0,0.5,0.5,0.7,1.2,9,18,41,0.00,0.00,0.00,0.00,0.00,0.06,0.10,0.16,0.06,0.16,Matches,Primeira Liga,2024/25
122,Fábio Conceição,pt POR,"FW,DF",Rio Ave,23,2001,12,2,423,4.7,1,1,2,1,0,0,0,0,0.5,0.5,0.6,1.1,19,12,39,0.21,0.21,0.43,0.21,0.43,0.10,0.13,0.23,0.10,0.23,Matches,Primeira Liga,2024/25
123,Leo Cordeiro,br BRA,MF,Estrela,28,1995,27,19,"1,866",20.7,1,1,2,1,0,0,3,0,1.9,1.9,0.6,2.5,26,108,46,0.05,0.05,0.10,0.05,0.10,0.09,0.03,0.12,0.09,0.12,Matches,Primeira Liga,2024/25
124,Félix Correia,pt POR,"FW,MF",Gil Vicente FC,23,2001,33,32,"2,892",32.1,9,3,12,6,3,3,3,0,9.1,6.8,5.4,12.2,81,163,242,0.28,0.09,0.37,0.19,0.28,0.28,0.17,0.45,0.21,0.38,Matches,Primeira Liga,2024/25
125,Alberto costa,pt POR,DF,Vitória,20,2003,10,7,675,7.5,0,2,2,0,0,0,0,0,0.2,0.2,1.5,1.7,30,31,52,0.00,0.27,0.27,0.00,0.27,0.03,0.20,0.23,0.03,0.23,Matches,Primeira Liga,2024/25
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Primeira Liga,2024/25
126,Bruno Xavier Almeida Costa,pt POR,"MF,FW",Nacional,27,1997,18,11,919,10.2,2,1,3,1,1,1,0,0,1.7,0.9,1.8,2.7,16,40,35,0.20,0.10,0.29,0.10,0.20,0.17,0.17,0.34,0.09,0.26,Matches,Primeira Liga,2024/25
127,Diogo Costa,pt POR,GK,Porto,24,1999,32,32,"2,880",32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
128,Gonçalo Costa,pt POR,"DF,MF",Estoril,24,2000,18,3,509,5.7,2,0,2,2,0,0,1,0,0.1,0.1,0.4,0.6,16,12,38,0.35,0.00,0.35,0.35,0.35,0.02,0.08,0.10,0.02,0.10,Matches,Primeira Liga,2024/25
129,Hélder Costa,ao ANG,"FW,MF",Estoril,30,1994,13,8,606,6.7,1,0,1,1,0,0,1,0,0.5,0.5,0.7,1.2,19,20,44,0.15,0.00,0.15,0.15,0.15,0.07,0.10,0.18,0.07,0.18,Matches,Primeira Liga,2024/25
130,João Costa,pt POR,FW,Santa Clara,24,2000,24,8,728,8.1,3,0,3,3,0,0,1,0,4.0,4.0,1.3,5.3,3,10,28,0.37,0.00,0.37,0.37,0.37,0.50,0.16,0.66,0.50,0.66,Matches,Primeira Liga,2024/25
131,João Paulo Santos Costa,pt POR,GK,Estrela,28,1996,14,14,"1,260",14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
132,Michel Costa,br BRA,MF,Estoril,22,2001,10,7,597,6.6,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.2,3,26,8,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,Primeira Liga,2024/25
133,Rui Costa,pt POR,"FW,MF",Farense,28,1996,15,6,696,7.7,2,1,3,2,0,0,1,0,2.3,2.3,0.7,3.0,5,6,46,0.26,0.13,0.39,0.26,0.39,0.30,0.09,0.39,0.30,0.39,Matches,Primeira Liga,2024/25
134,Marco Cruz,pt POR,"DF,MF",Vitória,20,2004,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
135,Sandro Cruz,ao ANG,DF,Gil Vicente FC,23,2001,25,24,"2,082",23.1,0,0,0,0,0,0,11,1,0.8,0.8,0.9,1.7,33,73,63,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches,Primeira Liga,2024/25
136,Augusto Dabo,gw GNB,DF,Boavista,20,2004,13,7,546,6.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,6,17,10,0.00,0.16,0.16,0.00,0.16,0.02,0.01,0.03,0.02,0.03,Matches,Primeira Liga,2024/25
137,Samuel Dahl,se SWE,"DF,MF",Benfica,24,2000,11,6,595,6.6,0,4,4,0,0,0,0,0,0.3,0.3,2.6,2.9,11,36,61,0.00,0.61,0.61,0.00,0.61,0.04,0.40,0.44,0.04,0.44,Matches,Primeira Liga,2024/25
138,Amadou Dante,ml MLI,"DF,MF",Arouca,23,2000,16,12,"1,059",11.8,0,0,0,0,0,0,1,0,0.1,0.1,1.4,1.5,24,43,47,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.13,0.01,0.13,Matches,Primeira Liga,2024/25
139,Mathias De Amorim,pt POR,MF,Famalicão,19,2004,24,10,"1,072",11.9,1,1,2,1,0,0,4,0,1.2,1.2,1.5,2.6,13,62,60,0.08,0.08,0.17,0.08,0.17,0.10,0.12,0.22,0.10,0.22,Matches,Primeira Liga,2024/25
140,Zeno Debast,be BEL,"DF,MF",Sporting CP,20,2003,31,23,"2,126",23.6,0,3,3,0,0,0,3,0,0.5,0.5,2.3,2.8,24,192,23,0.00,0.13,0.13,0.00,0.13,0.02,0.10,0.12,0.02,0.12,Matches,Primeira Liga,2024/25
141,Depú,ao ANG,FW,Gil Vicente FC,24,2000,3,0,43,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,3,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.53,0.53,0.53,Matches,Primeira Liga,2024/25
142,Derick,br BRA,"DF,MF",Farense,30,1993,23,17,"1,417",15.7,1,3,4,1,0,0,3,0,0.6,0.6,2.0,2.7,31,25,60,0.06,0.19,0.25,0.06,0.25,0.04,0.13,0.17,0.04,0.17,Matches,Primeira Liga,2024/25
143,Ángel Di María,ar ARG,FW,Benfica,36,1988,25,20,"1,646",18.3,8,5,13,3,5,5,5,0,8.9,5.0,5.2,10.1,70,160,199,0.44,0.27,0.71,0.16,0.44,0.49,0.28,0.77,0.27,0.55,Matches,Primeira Liga,2024/25
144,Abdoulay Diaby,ml MLI,"FW,MF",Boavista,33,1991,12,9,894,9.9,1,1,2,1,0,0,1,0,2.6,2.6,0.4,3.0,11,21,48,0.10,0.10,0.20,0.10,0.20,0.26,0.04,0.30,0.26,0.30,Matches,Primeira Liga,2024/25
145,Matheus Dias,br BRA,"MF,DF",Nacional,22,2002,26,20,"1,750",19.4,0,1,1,0,0,0,7,0,0.3,0.3,0.8,1.1,19,84,8,0.00,0.05,0.05,0.00,0.05,0.01,0.04,0.05,0.01,0.05,Matches,Primeira Liga,2024/25
146,Tiago Dias,pt POR,"FW,DF",Casa Pia,26,1998,8,0,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,8,0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.37,0.00,0.37,Matches,Primeira Liga,2024/25
147,Ousmane Diomande,ci CIV,DF,Sporting CP,20,2003,31,29,"2,521",28.0,2,0,2,2,0,0,7,2,1.7,1.7,0.6,2.3,13,82,4,0.07,0.00,0.07,0.07,0.07,0.06,0.02,0.08,0.06,0.08,Matches,Primeira Liga,2024/25
148,Tiago Djaló,pt POR,DF,Porto,24,2000,8,6,590,6.6,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.5,13,23,5,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,Primeira Liga,2024/25
149,Maxime Dominguez,ch SUI,MF,Gil Vicente FC,28,1996,4,3,249,2.8,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.6,5,11,9,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21,Matches,Primeira Liga,2024/25
150,Issiar Dramé,ml MLI,DF,Estrela,25,1999,21,18,"1,589",17.7,0,0,0,0,0,0,3,0,0.7,0.7,0.2,0.9,16,19,7,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,Primeira Liga,2024/25
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Primeira Liga,2024/25
151,Dudu,br BRA,"FW,MF",Nacional,24,1999,21,17,"1,338",14.9,3,2,5,2,1,2,0,0,4.8,3.3,1.1,4.3,28,19,65,0.20,0.13,0.34,0.13,0.27,0.31,0.07,0.37,0.21,0.27,Matches,Primeira Liga,2024/25
152,Carlos Eduardo,br BRA,"FW,MF",Gil Vicente FC,21,2002,7,3,244,2.7,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.8,3,1,17,0.00,0.00,0.00,0.00,0.00,0.03,0.24,0.28,0.03,0.28,Matches,Primeira Liga,2024/25
153,Marcus Edwards,eng ENG,"MF,FW",Sporting CP,25,1998,6,1,111,1.2,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.7,15,11,16,0.81,0.00,0.81,0.81,0.81,0.46,0.14,0.60,0.46,0.60,Matches,Primeira Liga,2024/25
154,Demir Ege Tıknaz,tr TUR,MF,Rio Ave,19,2004,28,24,"1,976",22.0,4,2,6,4,0,0,7,0,2.0,2.0,1.6,3.6,23,96,17,0.18,0.09,0.27,0.18,0.27,0.09,0.07,0.16,0.09,0.16,Matches,Primeira Liga,2024/25
155,Marvin Elimbi,fr FRA,DF,Gil Vicente FC,21,2003,11,5,434,4.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,Primeira Liga,2024/25
156,Simon Elisor,fr FRA,FW,Famalicão,25,1999,15,6,597,6.6,4,0,4,4,0,0,2,0,3.6,3.6,0.5,4.1,11,10,37,0.60,0.00,0.60,0.60,0.60,0.54,0.08,0.62,0.54,0.62,Matches,Primeira Liga,2024/25
157,Úmaro Embaló,pt POR,"FW,MF",Vitória,23,2001,7,0,148,1.6,2,0,2,2,0,0,0,0,1.7,1.7,0.0,1.7,4,4,16,1.22,0.00,1.22,1.22,1.22,1.06,0.00,1.06,1.06,1.06,Matches,Primeira Liga,2024/25
158,Rui Encarnação,pt POR,GK,Nacional,26,1998,2,1,135,1.5,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
159,Ricardo Esgaio,pt POR,DF,Sporting CP,31,1993,9,2,230,2.6,0,0,0,0,0,0,0,1,0.0,0.0,0.4,0.4,5,13,4,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16,Matches,Primeira Liga,2024/25
160,Tiago Esgaio,pt POR,DF,Arouca,28,1995,25,25,"2,180",24.2,2,1,3,2,0,0,2,0,1.7,1.7,1.8,3.5,27,91,78,0.08,0.04,0.12,0.08,0.12,0.07,0.07,0.14,0.07,0.14,Matches,Primeira Liga,2024/25
161,Dario Essugo,pt POR,MF,Sporting CP,19,2005,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
162,Luís Esteves,pt POR,MF,Nacional,26,1998,33,31,"2,808",31.2,0,3,3,0,0,0,6,0,2.8,2.8,3.1,5.9,54,167,77,0.00,0.10,0.10,0.00,0.10,0.09,0.10,0.19,0.09,0.19,Matches,Primeira Liga,2024/25
163,Stephen Eustáquio,ca CAN,"MF,DF",Porto,27,1996,30,22,"1,918",21.3,0,0,0,0,0,0,7,0,1.0,1.0,1.7,2.6,11,149,41,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.12,0.05,0.12,Matches,Primeira Liga,2024/25
164,Evanilson,br BRA,FW,Porto,24,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
165,Claudio Falcão,br BRA,"DF,MF",Farense,30,1994,32,32,"2,851",31.7,1,2,3,1,0,0,10,1,2.1,2.1,1.8,3.9,7,81,13,0.03,0.06,0.09,0.03,0.09,0.07,0.06,0.12,0.07,0.12,Matches,Primeira Liga,2024/25
166,Eduardo Felicíssimo,pt POR,MF,Sporting CP,17,2007,6,2,195,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,2,7,1,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches,Primeira Liga,2024/25
167,Nuno Felix,pt POR,MF,Benfica,20,2004,2,0,17,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2024/25
168,Vando Félix,gw GNB,"FW,MF",Vitória,21,2002,16,5,548,6.1,0,0,0,0,0,0,2,0,0.3,0.3,0.5,0.8,20,16,51,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13,Matches,Primeira Liga,2024/25
169,Jorge Filipe Oliveira Fernandes,pt POR,DF,Vitória,27,1997,6,5,415,4.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,2,25,1,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Matches,Primeira Liga,2024/25
170,Lucas Fernandes,br BRA,"MF,FW",AVS Futebol,26,1997,8,6,496,5.5,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,7,11,7,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.00,0.06,Matches,Primeira Liga,2024/25
171,Martim Fernandes,pt POR,DF,Porto,18,2006,25,15,"1,311",14.6,0,6,6,0,0,0,5,0,0.7,0.7,4.8,5.5,39,46,108,0.00,0.41,0.41,0.00,0.41,0.05,0.33,0.37,0.05,0.37,Matches,Primeira Liga,2024/25
172,Mateus Fernandes,pt POR,"FW,MF",Sporting CP,20,2004,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,2,2,0.00,0.00,0.00,0.00,0.00,0.08,0.25,0.33,0.08,0.33,Matches,Primeira Liga,2024/25
173,Roger Fernandes,pt POR,"FW,MF",Braga,18,2005,28,21,"1,739",19.3,3,3,6,3,0,0,2,0,3.3,3.3,3.6,6.8,91,56,192,0.16,0.16,0.31,0.16,0.31,0.17,0.18,0.35,0.17,0.35,Matches,Primeira Liga,2024/25
174,Rúben Fernandes,pt POR,DF,Gil Vicente FC,38,1986,28,28,"2,503",27.8,1,1,2,1,0,0,4,1,1.2,1.2,0.6,1.8,21,85,10,0.04,0.04,0.07,0.04,0.07,0.04,0.02,0.06,0.04,0.06,Matches,Primeira Liga,2024/25
175,Roberto Férnandez,es ESP,FW,Braga,22,2002,15,5,505,5.6,2,0,2,2,0,0,1,0,1.5,1.5,0.2,1.7,6,5,31,0.36,0.00,0.36,0.36,0.36,0.27,0.04,0.31,0.27,0.31,Matches,Primeira Liga,2024/25
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Primeira Liga,2024/25
176,João Ferreira Barros,pt POR,"MF,FW",Boavista,18,2006,12,2,260,2.9,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,8,5,11,0.00,0.00,0.00,0.00,0.00,0.13,0.03,0.16,0.13,0.16,Matches,Primeira Liga,2024/25
177,Filipe Ferreira,pt POR,DF,Boavista,33,1990,27,26,"2,223",24.7,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6,21,68,30,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,Primeira Liga,2024/25
178,Fernando Ferreira Fonseca,pt POR,"DF,MF",AVS Futebol,27,1997,26,21,"1,908",21.2,0,0,0,0,0,0,9,0,0.3,0.3,1.8,2.1,38,72,59,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.10,0.01,0.10,Matches,Primeira Liga,2024/25
